product_name,price
Avokado İthal Adet,84.9
Bezelye - 500 Gr.,33.95
Biber California - 500 Gr.,64.95
Biber Dolmalık - 500 Gr.,19.45
Biber Kırmızı - 500 Gr.,129.95
Biber Kırmızı Şili Acı - 500 Gr.,92.45
Biber Köy - 500 Gr.,22.45
Biber Sivri - 500 Gr.,19.95
Biber Tatlı - 500 Gr.,12.45
Börülce - 500 Gr.,142.95
Çilek - 500 Gr.,67.45
Deniz Börülcesi Adet,22.9
Dereotu Demet,11.9
Domates - 500 Gr.,49.95
Domates Cherry - 500 Gr.,44.95
Domates Pembe - 500 Gr.,29.45
Domates Salkım - 500 Gr.,31.95
Elma Golden - 500 Gr.,69.95
Elma Starking - 500 Gr.,62.45
Enginar Adet,29.9
Erik - 500 Gr.,121.45
Fasulye Ayşe Kadın - 500 Gr.,79.95
Fasulye Çalı - 500 Gr.,54.95
Havuç - 500 Gr.,32.45
Hindistan Cevizi,122.9
Avokado İthal Adet,84.9
Bezelye - 500 Gr.,33.95
Biber California - 500 Gr.,64.95
Biber Dolmalık - 500 Gr.,19.45
Biber Kırmızı - 500 Gr.,129.95
Biber Kırmızı Şili Acı - 500 Gr.,92.45
Biber Köy - 500 Gr.,22.45
Biber Sivri - 500 Gr.,19.95
Biber Tatlı - 500 Gr.,12.45
Börülce - 500 Gr.,142.95
Çilek - 500 Gr.,67.45
Deniz Börülcesi Adet,22.9
Dereotu Demet,11.9
Domates - 500 Gr.,49.95
Domates Cherry - 500 Gr.,44.95
Domates Pembe - 500 Gr.,29.45
Domates Salkım - 500 Gr.,31.95
Elma Golden - 500 Gr.,69.95
Elma Starking - 500 Gr.,62.45
Enginar Adet,29.9
Erik - 500 Gr.,121.45
Fasulye Ayşe Kadın - 500 Gr.,79.95
Fasulye Çalı - 500 Gr.,54.95
Havuç - 500 Gr.,32.45
Hindistan Cevizi,122.9
Avokado İthal Adet,84.9
Bezelye - 500 Gr.,33.95
Biber California - 500 Gr.,64.95
Biber Dolmalık - 500 Gr.,19.45
Biber Kırmızı - 500 Gr.,129.95
Biber Kırmızı Şili Acı - 500 Gr.,92.45
Biber Köy - 500 Gr.,22.45
Biber Sivri - 500 Gr.,19.95
