tarih,product_name,product_price
2026-03-11,Salatalık Kg,69.90109.90
2026-03-11,Salatalık Silor Kg,139.90
2026-03-11,Domates Kg,89.90
2026-03-11,Domates Salkım Kg,59.9079.90
2026-03-11,Domates Çeri Kg,169.90
2026-03-11,Biber Çarliston Kg,119.90
2026-03-11,Biber Kapya Kg,149.90
2026-03-11,Biber Acı Kg,169.90
2026-03-11,Şili Biberi Kg,189.00
2026-03-11,Biber Köy Kg,229.00
2026-03-11,Biber Dolmalık Kg,189.90
2026-03-11,Patlıcan Kg,229.00
2026-03-11,Kabak Kg,109.00
2026-03-11,Havuç Kg,39.90
2026-03-11,Limon Adet,15.90
2026-03-11,Karnabahar Kg,64.90
2026-03-11,Soğan Kırmızı Kg,74.90
2026-03-11,Çilek Kg,299.00
2026-03-11,Ayva Kg,199.00
2026-03-11,Patates Kg,22.90
2026-03-11,Soğan Kg,14.90
2026-03-11,Dere Otu Adet,30.00
2026-03-11,Lahana Kırmızı Kg,44.90
2026-03-11,Semiz Otu Bağ,38.00
2026-03-11,Kıvırcık Adet,59.90
2026-03-11,Marul Adet,65.00
2026-03-11,Maydanoz Adet,22.50
2026-03-11,Soğan Taze Demet,27.00
2026-03-11,Brokoli Kg,139.90
2026-03-11,Pazı Bağ,21.50
2026-03-11,Fasulye Çalı Kg,349.90
2026-03-11,Nane Adet,28.00
2026-03-11,Roka Adet,24.00
2026-03-11,Lahana Sarmalık Bağ,22.00
2026-03-11,Lahana Top Kg,26.90
2026-03-11,Pırasa Kg,54.90
2026-03-11,Sarımsak Kg,199.00
2026-03-11,Üzüm Siyah Kg,199.00
2026-03-11,Kereviz Kg,74.90
2026-03-11,Kabak Tatlı Kg,39.90
2026-03-11,Turp Kırmızı Kg,39.90
2026-03-11,Turp Beyaz Kg,39.90
2026-03-11,Muz İthal Kg,139.90
2026-03-11,Zencefil Kg,329.90
2026-03-11,Patates Çuval (10 Kg),150.00
2026-03-11,Soğan Çuval (9 Kg),115.00
2026-03-11,Elma Starking Kg,99.00129.90
2026-03-11,Soğan Sıska Paket,64.90
2026-03-11,Elma Golden Kg,129.90
2026-03-11,POMELO ADET,199.00
2026-03-11,Karpuz Kg,149.90
2026-03-11,Muz Yerli Kg,89.90
2026-03-11,Greyfurt Kg,74.90
2026-03-11,Armut Deveci Kg,149.90
2026-03-11,Mandalina Kg,69.90
2026-03-11,Mango Adet,120.00
2026-03-11,Ananas Adet,179.90
2026-03-11,Elma Gransimit Kg,149.90
2026-03-11,Portakal Dallı Kg,39.90
2026-03-11,Kivi Duble Kg,199.00
2026-03-11,Armut Santa Kg,149.00
2026-03-11,Elma Gala Kg,139.90
2026-03-11,Armut Doktor Kg,99.00
2026-03-11,Avokado Adet,99.00
2026-03-11,Hindistan Cevizi Adet,149.90
2026-03-11,Tere Adet,30.00
2026-03-11,MNV LİKAPA PAKET,229.00
2026-03-11,MNV KUZUKULAĞI,29.00
2026-03-11,Dana Kıyma Kg,850.00
2026-03-11,Dana Kemikli Et Kg,750.00
2026-03-11,Dana Tranç Kg,900.00
2026-03-11,Dana Parça Et Kg,870.00
2026-03-11,Dana Kuşbaşı Kg,900.00
2026-03-11,Kuzu Kuşbaşı Kg,980.00
2026-03-11,Dana Antrikot Kg,980.00
2026-03-11,Dana Sote Kg,950.00
2026-03-11,Dana Yağsız Kıyma kg,950.00
2026-03-11,Dana Yağsız Kuşbaşı Kg,950.00
2026-03-11,Dana Ciğer Kg,690.00
2026-03-11,Kuzu Kaburga Kg,860.00
2026-03-11,Kuzu But Kg,860.00
2026-03-11,Dana Bonfile Kg,1400.00
2026-03-11,Banvit Bonfile Göğüs Kg,210.00
2026-03-11,Banvit Izgara Tava Kg,275.00
2026-03-11,Gedik Tavuk Baget Kg,119.00
2026-03-11,Gedik Tavuk Kanat Kg,250.00
2026-03-11,Gedik Tavuk Izgara Tava Kg,240.00
2026-03-11,Faden Derisiz Fleto Kg,185.00
2026-03-11,Faden Piliç Sarma,129.00
2026-03-11,FADEN Tab.Izgara Kanat,260.00
2026-03-11,Faden Tab.Pirzola,180.00
2026-03-11,Torku Tam Yağlı Süt 1 lt,69.90
2026-03-11,İçim Yarım Yağlı Süt 1 lt,49.50
2026-03-11,İçim Süt Tetra 1 lt,59.50
2026-03-11,Sütaş Süzme Peynir 500 gr,135.00
2026-03-11,Ayca Az Yağlı Beyaz Peynir 800 gr,119.00
2026-03-11,YUMURTA Ümit 30 lu Sarı,185.00
2026-03-11,Ülker Çokokrem 400 gr,99.50
2026-03-11,Sütaş Yarım Yağlı Süt 1lt,48.50
2026-03-11,YUMURTA Köy Kaçkar 15 li,110.00
2026-03-11,Kolot Peyniri Tam Yağlı kg,229.00285.00
2026-03-11,Sütaş Kaymaksız Yoğurt 1 kg,77.50
2026-03-11,Yumurta Kopuz 30 lu Beyaz,175.00
2026-03-11,Kebir Bidon Köy Tipi Yoğurt 1 kg,81.00
2026-03-11,Sütaş Süzme Peynir 250 gr,70.00
2026-03-11,Sütaş Kaymaksız Yoğurt 2 kg,135.00
2026-03-11,Pınar Yarım Yağlı Yoğurt 2000 gr,149.00
2026-03-11,Üçel Kakaolu Helva 830 Gr,239.00
2026-03-11,Kebir Köy Tipi Yoğurt 2 kg,147.00
2026-03-11,Bizim Paket Margarin 250 gr,44.50
2026-03-11,YUMURTA Ümit 15 li Sarı L,95.00
2026-03-11,Marmarabirlik Mega Siyah Zeytin Teneke 800 gr,310.00
2026-03-11,Kaanlar Beyaz Peynir Trakya 800 gr,245.00
2026-03-11,Marmarabirlik Az Tuzlu Zeytin Teneke 800 gr,199.00
2026-03-11,Pınar Krem Peynir 300 GR,109.00
2026-03-11,Pınar Süt 200 ml Y.Yağlı,18.00
2026-03-11,Rizze Dil Peyniri 750 Gr,310.00
2026-03-11,Nestle Nesfit Ballı Badem 400 gr,170.00
2026-03-11,Sütaş Süzme Peynir 900 gr,189.00222.50
2026-03-11,Nestle Nesfit Kırmızı Meyveli 23.5 gr,30.00
2026-03-11,Tereyağı Royal Kg,695.00
2026-03-11,"Sütaş Kaymaksız Yoğurt 1,5 kg",105.00
2026-03-11,Torku Tam Yağlı Beyaz Peynir 900 gr,279.00
2026-03-11,Nestle Nesfit Bitter Çikolatalı Bar 23.5 gr,30.00
2026-03-11,Torku Süzme Peynir 450 gr,132.00
2026-03-11,Torku Süzme Peynir 850 gr,220.00
2026-03-11,İçim Yoğurt 2 kg,149.00
2026-03-11,Nestle Nesfit Çikolatalı 400 gr,170.00
2026-03-11,Nutella 750 gr,265.00
2026-03-11,Nestle Nesfit 420 gr,130.00
2026-03-11,Torku Banada Kakaolu Fındık Kreması 700 gr,199.00
2026-03-11,Nestle Nesquik Mısır Gevreği 225 gr,125.00
2026-03-11,Nestle Nesquik Çokokare Gevrek 310 gr,135.00
2026-03-11,Pınar Hindi Salam Aç Bitir 75 gr,38.00
2026-03-11,Nestle Nesquik Mısır Gevreği 450 gr,129.00
2026-03-11,Pınar Kido Muzlu Süt 180 ml,16.50
2026-03-11,İçim Süt Tetra 200 ml,18.75
2026-03-11,Ülker Cocopops 40 gr,18.50
2026-03-11,Royal Tereyağı 1 kg,565.00
2026-03-11,Pınar Yörük Sucuk Hindi 180 Gr,73.00
2026-03-11,İçim Kaşar Peyniri 600 gr,310.00
2026-03-11,Ülker Cafe Crown Byz.Çikolata 17 Gr,12.00
2026-03-11,Pınar Labne Peynir 180 gr,71.00
2026-03-11,Beşler Hünkar Dilimli Sucuk 220 gr,90.00
2026-03-11,Nestle Nesquik Duo 310 gr,140.00
2026-03-11,Pınar Süzme Peynir 750 gr,215.00
2026-03-11,Nestle Nesquik Çilekkare 310 gr,145.00
2026-03-11,Sütaş Yayık Tereyağı 225 gr,165.00
2026-03-11,İçim Süzme Beyaz Peynir 500 gr,145.00
2026-03-11,İçim Beyaz Peynir 900 gr,229.00
2026-03-11,"Pınar Tam Yağlı Süt 2,5 1 lt",59.00
2026-03-11,İçim Doğal Yoğurt 500 gr,48.00
2026-03-11,"Kebir Köy Tipi Yoğurt 2,5 kg",175.00
2026-03-11,Sütaş Çikolatalı Süt 180 ML,15.00
2026-03-11,Ova Kaşar Peynir 500 Gr,320.00
2026-03-11,Kebir Gurme Tereyağı 750 gr,580.00
2026-03-11,Ekici Tam Yağlı Beyaz Peynir 500 gr,189.00
2026-03-11,Nutella 400 gr,169.00
2026-03-11,Torku Banada Kakaolu Fındık Kreması 400 gr,129.00
2026-03-11,Beyaz Peynir Naturel Ekici,435.00
2026-03-11,Ova Kaşar Peyniri 1 kg,609.00
2026-03-11,Beyaz Peynir Ezine Habir Kg,420.00
2026-03-11,Sucuk Cumhuriyet Kangal Kg,1670.00
2026-03-11,Pınar Şölen Sucuk Sade 180 gr,179.00
2026-03-11,Zeytin Yeşil Domat Kırma Kg,270.00
2026-03-11,Üçel Sade Helva 830 Gr,239.00
2026-03-11,Çeçil Peynir Gezici Çiftlik Kg,460.00
2026-03-11,Eritme Dil Peyniri Kg,330.00
2026-03-11,Pınar Laktozsuz Süt 1 lt,64.00
2026-03-11,Yağ Yemeklik Bitkisel Kg,245.00
2026-03-11,Sarelle Kakaolu Fındık Ezmesi 700 gr,229.00
2026-03-11,Sarelle Kakaolu Fındık Ezmesi 350 gr,175.00
2026-03-11,Üçel Glikozsuz Likapa Reçeli Cam 680 gr,309.00
2026-03-11,Sütaş Beyaz Peynir 900 gr,247.00
2026-03-11,Kebir Lor Peyniri 500 gr,82.00
2026-03-11,Öner Extra Zeytin 800 gr,169.00
2026-03-11,Sarelle Fındık Ezmesi 350 Gr,310.00
2026-03-11,Kebir Gurme Tereyağı 400 gr,310.00
2026-03-11,SÜTAŞ MEYVELİ YOĞURT 475 GR,75.00
2026-03-11,Marmarabirlik Lüks Zeytin Vakumlu 3XS 200 gr,49.00
2026-03-11,Ekici Tereyağ 700 Gr,485.00
2026-03-11,Sütaş Kaşar Peyniri 400 gr,199.00
2026-03-11,Ekici Tel Peyniri 200 gr,79.00
2026-03-11,Beyaz Peynir Naturel Gündoğdu Ezine kg,370.00
2026-03-11,Muratbey Burgu Peyniri 200 gr,119.00
2026-03-11,Sütaş Beyaz Peynir500 gr,149.00
2026-03-11,Ekici İzmir Tulum Peyniri 300 Gr,255.00
2026-03-11,Ova Kaşar Peynir 250 Gr,179.00
2026-03-11,Teremyağ Paket Margarin 250 gr,56.00
2026-03-11,Beyaz Peynir Ekici Tam Yağlı Kg,250.00
2026-03-11,Zeytin Yeşil Çizik kg 230-260,299.00
2026-03-11,Zeytin Yeşil Biberli kg 160-180,280.00
2026-03-11,Muratbey Tel Peyniri 200 Gr,119.00
2026-03-11,Cumhuriyet Fermente Kangal Sucuk 300 gr,520.00
2026-03-11,Fiskobirlik Nuga Kakaolu Fındık Kreması 350 gr,145.00
2026-03-11,Ekici Tam Yağlı Beyaz Peynir 800 gr,239.00
2026-03-11,Namet Macar Salam 50 gr,50.00
2026-03-11,Marmarabirlik Kuru Sele Siyah Zeytin 3XS 400 gr,120.00
2026-03-11,Marmarabirlik Az Tuzlu Zeytin Teneke 400 gr,120.00
2026-03-11,Algida Magnum Mini Classic Badem Beyaz 6 lı 345 ml,325.00
2026-03-11,Fiskobirlik Fındık Ezmesi 300 gr,290.00
2026-03-11,Kebir Çeçil Peynir 200 gr,115.00
2026-03-11,Marmarabirlik Gold Zeytin Teneke 800 gr,339.00
2026-03-11,Pınar Süzme Peynir Az Yağlı Az Tuzlu 500 gr,137.00
2026-03-11,Kebir Tel Peyniri 180 gr,115.00
2026-03-11,Penguen Kayısı Reçel Kavanoz 800 gr,170.00
2026-03-11,Zeytin Gemici Jumbo kg 200-230,535.00
2026-03-11,Penguen Vişne Reçeli 800 gr,330.00
2026-03-11,İçim Tereyağı 225 gr,169.00
2026-03-11,Penguen Çilek Reçeli 800 gr,185.00
2026-03-11,Sana Hamur İşi Margarin 250 gr Paket,60.00
2026-03-11,Yeşil Mavi Bidon Yoğurt 1 Kg,68.00
2026-03-11,Sütaş Dilimli Tost Peyniri 350 gr,175.00
2026-03-11,İçim Süzme Beyaz Peynir 250 gr,78.00
2026-03-11,SÜTAŞ BÜYÜMİX 6LI,40.00
2026-03-11,Erpiliç Piliç Salam 750 gr,109.00
2026-03-11,Şahin Sosis Kokteyl 350 gr,165.00
2026-03-11,Pınar Aç Bitir Hindi Salam Büyük Dilim 60 gr,32.50
2026-03-11,Aytaç Piliç Sucuk Baton 220 Gr,90.00
2026-03-11,Zeytin kg 230-260,379.00
2026-03-11,ICIM YOGURT HOMOJEN 1KG DOĞAL,86.00
2026-03-11,Cebeci Kaşar Peyniri 600 gr,225.00
2026-03-11,Sütaş Yoğurt Kaymaksız 3 Kg,175.00
2026-03-11,Kebir Tel Peyniri 500 gr,265.00
2026-03-11,Pınar Şölen Sucuk Acılı 180 gr,179.00
