product_name,product_price
Salatalık Kg,"89,90"
Salatalık Silor Kg,"139,90"
Domates Kg,"89,90"
Domates Çeri Kg,"159,90"
Biber Çarliston Kg,"139,90"
Biber Kapya Kg,"159,90"
Biber Acı Kg,"159,90"
Şili Biberi Kg,"189,90"
Biber Köy Kg,"199,90"
Biber Dolmalık Kg,"189,90"
Patlıcan Kg,"189,90"
Kabak Kg,"94,90"
Havuç Kg,"39,90"
Limon Adet,"15,90"
Karnabahar Kg,"84,90"
Soğan Kırmızı Kg,"74,90"
Çilek Kg,"229,00"
Ayva Kg,"219,00"
Patates Kg,"22,90"
Soğan Kg,"14,90"
Dere Otu Adet,"30,00"
Lahana Kırmızı Kg,"39,90"
Semiz Otu Bağ,"38,00"
Kıvırcık Adet,"59,90"
Marul Adet,"65,00"
Maydanoz Adet,"22,50"
Soğan Taze Demet,"27,00"
Brokoli Kg,"139,90"
Pazı Bağ,"21,50"
Fasulye Çalı Kg,"299,00"
Roka Adet,"24,00"
Lahana Sarmalık Bağ,"22,00"
Ispanak Kg,"73,90"
Lahana Top Kg,"26,90"
Pırasa Kg,"54,90"
Sarımsak Kg,"199,00"
Üzüm Siyah Kg,"199,00"
Kereviz Kg,"74,00"
Kabak Tatlı Kg,"39,90"
Turp Kırmızı Kg,"39,90"
Turp Beyaz Kg,"39,90"
Muz İthal Kg,"149,90"
Zencefil Kg,"329,90"
Patates Çuval (10 Kg),"150,00"
Soğan Çuval (9 Kg),"115,00"
Elma Starking Kg,"99,00"
Soğan Sıska Paket,"64,90"
Elma Golden Kg,"129,90"
POMELO ADET,"199,00"
Karpuz Kg,"149,90"
Muz Yerli Kg,"89,90"
Greyfurt Kg,"74,90"
Armut Deveci Kg,"139,90"
Mandalina Kg,"74,90"
Mango Adet,"119,00"
Ananas Adet,"179,90"
Elma Gransimit Kg,"149,90"
Mantar Kg,"230,00"
Portakal Dallı Kg,"39,90"
Kivi Duble Kg,"199,00"
Armut Santa Kg,"149,00"
Elma Gala Kg,"139,90"
Armut Doktor Kg,"99,00"
Avokado Adet,"99,00"
Hindistan Cevizi Adet,"159,00"
Tere Adet,"30,00"
MNV LİKAPA PAKET,"229,00"
Domates Salkım Kg,"89,90"
Dana Kıyma Kg,"749,00"
Dana Kemikli Et Kg,"750,00"
Dana Tranç Kg,"900,00"
Dana Parça Et Kg,"870,00"
Dana Kuşbaşı Kg,"900,00"
Kuzu Kuşbaşı Kg,"980,00"
Dana Antrikot Kg,"980,00"
Dana Sote Kg,"950,00"
Dana Yağsız Kıyma kg,"950,00"
Dana Yağsız Kuşbaşı Kg,"950,00"
Dana Ciğer Kg,"690,00"
Kuzu Kaburga Kg,"860,00"
Kuzu But Kg,"860,00"
Gedik Tavuk Sarma Kg,"165,00"
Dana Bonfile Kg,"1,400"
Banvit Izgara Tava Kg,"330,00"
Banvit Tavuk Pirzola Kg,"165,00"
Banvit Baget Kg,"119,00"
Gedik Tavuk Baget Kg,"145,00"
Banvit Izgara Kanat Kg,"225,00"
Gedik Tavuk Fleto Kg,"235,00"
Gedik Tavuk Kanat Kg,"275,00"
Gedik Tavuk Izgara Tava Kg,"270,00"
FADEN Tab.Izgara Kanat,"260,00"
Faden Tab.Pirzola,"180,00"
Torku Tam Yağlı Süt 1 lt,"69,90"
İçim Yarım Yağlı Süt 1 lt,"49,50"
İçim Süt Tetra 1 lt,"59,50"
Sütaş Süzme Peynir 500 gr,"125,00"
Ayca Az Yağlı Beyaz Peynir 800 gr,"119,00"
YUMURTA Ümit 30 lu Sarı,"185,00"
Ülker Çokokrem 400 gr,"99,50"
Sütaş Yarım Yağlı Süt 1lt,"48,50"
YUMURTA Köy Kaçkar 15 li,"110,00"
Kolot Peyniri Tam Yağlı kg,"229,00"
Sütaş Kaymaksız Yoğurt 1 kg,"77,50"
Yumurta Kopuz 30 lu Beyaz,"175,00"
Kebir Bidon Köy Tipi Yoğurt 1 kg,"81,00"
Sütaş Süzme Peynir 250 gr,"70,00"
Sütaş Kaymaksız Yoğurt 2 kg,"135,00"
Pınar Yarım Yağlı Yoğurt 2000 gr,"149,00"
Üçel Kakaolu Helva 830 Gr,"239,00"
Kebir Köy Tipi Yoğurt 2 kg,"147,00"
Bizim Paket Margarin 250 gr,"44,50"
YUMURTA Ümit 15 li Sarı L,"95,00"
Marmarabirlik Mega Siyah Zeytin Teneke 800 gr,"310,00"
Kaanlar Beyaz Peynir Trakya 800 gr,"245,00"
Marmarabirlik Az Tuzlu Zeytin Teneke 800 gr,"199,00"
Pınar Krem Peynir 300 GR,"109,00"
Pınar Süt 200 ml Y.Yağlı,"18,00"
Rizze Dil Peyniri 750 Gr,"310,00"
Nestle Nesfit Ballı Badem 400 gr,"170,00"
Sütaş Süzme Peynir 900 gr,"189,00"
Nestle Nesfit Kırmızı Meyveli 23.5 gr,"30,00"
Tereyağı Royal Kg,"695,00"
"Sütaş Kaymaksız Yoğurt 1,5 kg","105,00"
Torku Tam Yağlı Beyaz Peynir 900 gr,"279,00"
Nestle Nesfit Bitter Çikolatalı Bar 23.5 gr,"30,00"
Torku Süzme Peynir 450 gr,"132,00"
Torku Süzme Peynir 850 gr,"220,00"
İçim Yoğurt 2 kg,"149,00"
Nestle Nesfit Çikolatalı 400 gr,"170,00"
Nutella 750 gr,"265,00"
Nestle Nesfit 420 gr,"130,00"
Torku Banada Kakaolu Fındık Kreması 700 gr,"199,00"
Nestle Nesquik Mısır Gevreği 225 gr,"125,00"
Ekici Kaşar Peyniri 600 gr,"250,00"
Nestle Nesquik Çokokare Gevrek 310 gr,"135,00"
Pınar Hindi Salam Aç Bitir 75 gr,"38,00"
Nestle Nesquik Mısır Gevreği 450 gr,"129,00"
Pınar Kido Muzlu Süt 180 ml,"16,50"
İçim Süt Tetra 200 ml,"18,75"
Ülker Cocopops 40 gr,"18,50"
Royal Tereyağı 1 kg,"645,00"
Pınar Yörük Sucuk Hindi 180 Gr,"73,00"
İçim Kaşar Peyniri 600 gr,"310,00"
Ülker Cafe Crown Byz.Çikolata 17 Gr,"12,00"
Pınar Labne Peynir 180 gr,"71,00"
Beşler Hünkar Dilimli Sucuk 220 gr,"90,00"
Nestle Nesquik Duo 310 gr,"140,00"
Pınar Süzme Peynir 750 gr,"215,00"
Nestle Nesquik Çilekkare 310 gr,"175,00"
Sütaş Yayık Tereyağı 225 gr,"165,00"
İçim Süzme Beyaz Peynir 500 gr,"145,00"
İçim Beyaz Peynir 900 gr,"245,00"
"Pınar Tam Yağlı Süt 2,5 1 lt","59,00"
İçim Doğal Yoğurt 500 gr,"48,00"
"Kebir Köy Tipi Yoğurt 2,5 kg","175,00"
Sütaş Çikolatalı Süt 180 ML,"15,00"
Ova Kaşar Peynir 500 Gr,"320,00"
Kebir Gurme Tereyağı 750 gr,"580,00"
Ekici Tam Yağlı Beyaz Peynir 500 gr,"189,00"
Nutella 400 gr,"169,00"
Torku Banada Kakaolu Fındık Kreması 400 gr,"129,00"
Beyaz Peynir Naturel Ekici,"445,00"
Ova Kaşar Peyniri 1 kg,"609,00"
Beyaz Peynir Ezine Habir Kg,"420,00"
Sucuk Cumhuriyet Kangal Kg,"1,670"
