kategori,product_name,product_price
"Meyve, Sebze",Salatalık Kg,"34,90"
"Meyve, Sebze",Biber Çarliston Kg,"64,90"
"Meyve, Sebze",Patlıcan Kg,"39,90"
"Meyve, Sebze",Kıvırcık Adet,"79,90"
"Meyve, Sebze",Soğan Kg,"17,90"
"Meyve, Sebze",Patates Kg,"26,90"
"Meyve, Sebze",Domates Kg,"149,90"
"Meyve, Sebze",Muz Yerli Kg,"84,90"
"Meyve, Sebze",Çilek Kg,"159,90"
"Meyve, Sebze",Domates Salkım Kg,"149,90"
"Meyve, Sebze",Domates Çeri Kg,"224,90"
"Meyve, Sebze",Biber Kapya Kg,"199,90"
"Meyve, Sebze",Biber Acı Kg,"79,90"
"Meyve, Sebze",Salatalık Silor Kg,"94,90"
"Meyve, Sebze",Şili Biberi Kg,"299,00"
"Meyve, Sebze",Biber Köy Kg,"79,90"
"Meyve, Sebze",Biber Dolmalık Kg,"79,90"
"Meyve, Sebze",Kabak Kg,"59,90"
"Meyve, Sebze",Fasulye Sarıkız Kg,"199,90"
"Meyve, Sebze",Havuç Kg,"49,90"
"Meyve, Sebze",Limon Adet,"16,90"
"Meyve, Sebze",Karnabahar Kg,"54,90"
"Meyve, Sebze",Lahana Kırmızı Kg,"109,90"
"Meyve, Sebze",Maydanoz Adet,"22,50"
"Meyve, Sebze",Lahana Sarmalık Bağ,"23,00"
"Meyve, Sebze",Lahana Top Kg,"19,90"
"Meyve, Sebze",Sarımsak Kg,"199,00"
"Meyve, Sebze",Ispanak Kg,"86,90"
"Meyve, Sebze",Kereviz Kg,"79,90"
"Meyve, Sebze",Kavun Bal Kg,"149,90"
"Meyve, Sebze",Turp Beyaz Kg,"49,90"
"Meyve, Sebze",Muz İthal Kg,"149,90"
"Meyve, Sebze",Zencefil Kg,"299,00"
"Meyve, Sebze",Patates Çuval (10 Kg),"169,90"
"Meyve, Sebze",Soğan Çuval (9 Kg),"159,90"
"Meyve, Sebze",Elma Starking Kg,"129,90"
"Meyve, Sebze",Elma Golden Kg,"129,90"
"Meyve, Sebze",Yeni Dünya Kg,"499,00"
"Meyve, Sebze",Karpuz Kg,"79,90"
"Meyve, Sebze",Armut Deveci Kg,"139,90"
"Meyve, Sebze",Mandalina Kg,"79,90"
"Meyve, Sebze",Mango Adet,"135,00"
"Meyve, Sebze",Ananas Adet,"189,90"
"Meyve, Sebze",Portakal Kg,"79,90"
"Meyve, Sebze",Elma Gransimit Kg,"159,90"
"Meyve, Sebze",Kivi Duble Kg,"219,90"
"Meyve, Sebze",Elma Arapkızı Kg,"139,90"
"Meyve, Sebze",Armut Santa Kg,"149,90"
"Meyve, Sebze",Elma Gala Kg,"149,90"
"Meyve, Sebze",Avokado Adet,"89,90"
"Meyve, Sebze",Hindistan Cevizi Adet,"150,00"
"Meyve, Sebze",MNV LİKAPA PAKET,"239,90"
"Meyve, Sebze",MNV BADEM-ÇAĞLA PAKET,"94,90"
"Meyve, Sebze",Mantar Kg,"230,00"
"Meyve, Sebze",Tere Adet,"30,00"
"Meyve, Sebze",MNV KUZUKULAĞI,"30,00"
"Meyve, Sebze",Dere Otu Adet,"30,00"
"Meyve, Sebze",Marul Adet,"90,00"
"Meyve, Sebze",Soğan Taze Demet,"32,00"
"Meyve, Sebze",Semiz Otu Bağ,"37,00"
"Meyve, Sebze",Roka Adet,"26,00"
"Meyve, Sebze",Pazı Bağ,"23,00"
"Meyve, Sebze",Nane Adet,"25,00"
"Meyve, Sebze",Kırmızı Pancar (Çukundur),"99,90"
"Et, Tavuk",Dana Kıyma Kg,"850,00"
"Et, Tavuk",Dana Kemikli Et Kg,"750,00"
"Et, Tavuk",Kalemar Köfte Kg,"750,00"
"Et, Tavuk",Dana Tranç Kg,"900,00"
"Et, Tavuk",Dana Parça Et Kg,"890,00"
"Et, Tavuk",Dana Kuşbaşı Kg,"900,00"
"Et, Tavuk",Kuzu Kuşbaşı Kg,"980,00"
"Et, Tavuk",Dana Sote Kg,"950,00"
"Et, Tavuk",Dana Yağsız Kıyma kg,"950,00"
"Et, Tavuk",Dana Yağsız Kuşbaşı Kg,"950,00"
"Et, Tavuk",Dana Ciğer Kg,"690,00"
"Et, Tavuk",Kuzu Kaburga Kg,"860,00"
"Et, Tavuk",Kuzu But Kg,"890,00"
"Et, Tavuk",Gedik Tavuk Sarma Kg,"139,00"
"Et, Tavuk",Dana Bonfile Kg,"1,400"
"Et, Tavuk",Banvit Bonfile Göğüs Kg,"280,00"
"Et, Tavuk",Banvit Izgara Tava Kg,"395,00"
"Et, Tavuk",Banvit Tavuk Pirzola Kg,"190,00"
"Et, Tavuk",Gedik Tavuk Baget Kg,"149,00"
"Et, Tavuk",Gedik Bütün Poşet Tavuk Kg,"140,00"
"Et, Tavuk",Gedik Tavuk Kanat Kg,"275,00"
"Et, Tavuk",Gedik Tavuk Fleto Kg,"235,00"
"Et, Tavuk",Gedik Tavuk Ciğer-Yürek Kg,"79,00"
"Et, Tavuk",Gedik Tavuk Izgara Tava Kg,"270,00"
"Et, Tavuk",Gedik Tavuk Pirzola Kg,"200,00"
"Et, Tavuk",FADEN Tab.Izgara Kanat,"290,00"
"Et, Tavuk",Faden Tab.Pirzola,"200,00"
"Et, Tavuk",Deryapiliç Fleto Kg,"199,00"
"Et, Tavuk",Faden Tavuk Çıtır Pirzola Kg,"139,00"
"Et, Tavuk",Gedik Kalçalı But Kg,"95,00"
"Süt, Kahvaltılık",YUMURTA Köy (Günlük) Adet,"8,25"
