product_name,price
Organik Soğan Kg,99.95
Organik Patates Kg,99.95
Tazedirekt Organik Havuç Kg,119.95
Organik Roka Demet,79.95
Organik Havuç,199.95
Tazedirekt Organik Kivi Kg,199.95
Organik Kereviz Kg,229.95
Feast Organik Bezelye 450 G,114.95
Organik Maydanoz Demet,79.95
Organik Pırasa Kg,319.95
Tazedirekt Organik Köy Domatesi Kg,199.95
Organik Karnabahar Kg,269.95
Tazedirekt Organik Taze Limon Kg,179.95
Tazedirekt Organik Pancar Kg,139.95
SuperFresh Organik Bezelye 450 G,109.95
Organik Salata Kıvırcık Adet,109.95
Tazedirekt Organik Avokado Adet,129.95
Tazedirekt Organik Pembe Domates Kg,229.95
Organik Mor Soğan Kg,139.95
Tazedirekt Organik Tarla Domates Kg,189.95
Tazedirekt Organik Bodrum Mandalina Kg,129.95
Organik Lahana Kırmızı,196.95
Organik Brokoli Kg,294.95
Organik Lahana Beyaz Kg,124.95
Tazedirekt Organik Kan Greyfurt Kg,189.95
Tasconi Organik Yemeye Hazır Kuru Domates 100 G,149.95
Organik Sarımsak,499.95
Muz İthal Kg,159.95
Limon Kg,119.95
Avokado Adet,79.95
Finike Portakalı  Kg,89.95
Mandalina Murcot Kg,69.95
Avokado 2'li Paket Excelente Yemeye Hazır,159.95
Elma Starking  Kg,149.95
Elma Granny Smith Kg,159.95
Armut Deveci Kg,149.95
Nar Kg,179.95
Elma Fuji Kg,159.95
Verita Gurme Yemeye Hazır Avokado Adet,129.95
Excelente Lime 3'lü Paket 195 G,69.95
Kivi Kg,179.95
Silifke Çileği Kg,369.95
Armut Santa Maria Kg,149.95
Portakal Sıkma Lüx Kg,79.95
Excelente Ananas Gold Adet,189.95
Elma Gala Kg,149.95
Elma Golden  Kg.,169.95
Greyfurt Kan Kg,59.95
Excelente Yemeye Hazır Mango Adet,79.95
Jumbo Yaban Mersini 250 G Paket Adet,279.95
Verita Pomelo Adet,219.95
Excelente Physalis Paket 100 G,129.95
Verita Ananas Adet,199.95
Ayva Kg,229.95
Verita Redberry 125 Gr,299.95
Üzüm Red Globe İthal Kg,349.95
Erik Angelika Kg,199.95
Aydın Kestanesi Coğrafi İşaretli Kg,429.95
Verita Taze Dilimlenmiş Hindistan Cevizi 125 Gr,129.95
Verita Böğürtlen 125 Gr Pkt,429.95
Organik Soğan Kg,99.95
Organik Patates Kg,99.95
Tazedirekt Organik Havuç Kg,119.95
Organik Roka Demet,79.95
Organik Havuç,199.95
Tazedirekt Organik Kivi Kg,199.95
Organik Kereviz Kg,229.95
Feast Organik Bezelye 450 G,114.95
Organik Maydanoz Demet,79.95
Organik Pırasa Kg,319.95
Tazedirekt Organik Köy Domatesi Kg,199.95
Organik Karnabahar Kg,269.95
Tazedirekt Organik Taze Limon Kg,179.95
Tazedirekt Organik Pancar Kg,139.95
SuperFresh Organik Bezelye 450 G,109.95
Organik Salata Kıvırcık Adet,109.95
Tazedirekt Organik Avokado Adet,129.95
Tazedirekt Organik Pembe Domates Kg,229.95
Organik Mor Soğan Kg,139.95
Tazedirekt Organik Tarla Domates Kg,189.95
Tazedirekt Organik Bodrum Mandalina Kg,129.95
Organik Lahana Kırmızı,196.95
Organik Brokoli Kg,294.95
Organik Lahana Beyaz Kg,124.95
Tazedirekt Organik Kan Greyfurt Kg,189.95
Tasconi Organik Yemeye Hazır Kuru Domates 100 G,149.95
Organik Sarımsak,499.95
Muz İthal Kg,159.95
Limon Kg,119.95
Avokado Adet,79.95
Finike Portakalı  Kg,89.95
Mandalina Murcot Kg,69.95
Avokado 2'li Paket Excelente Yemeye Hazır,159.95
Elma Starking  Kg,149.95
Elma Granny Smith Kg,159.95
Armut Deveci Kg,149.95
Nar Kg,179.95
Elma Fuji Kg,159.95
Verita Gurme Yemeye Hazır Avokado Adet,129.95
Excelente Lime 3'lü Paket 195 G,69.95
Kivi Kg,179.95
Silifke Çileği Kg,369.95
Armut Santa Maria Kg,149.95
Portakal Sıkma Lüx Kg,79.95
Excelente Ananas Gold Adet,189.95
Elma Gala Kg,149.95
Elma Golden  Kg.,169.95
Greyfurt Kan Kg,59.95
Excelente Yemeye Hazır Mango Adet,79.95
Jumbo Yaban Mersini 250 G Paket Adet,279.95
Verita Pomelo Adet,219.95
Excelente Physalis Paket 100 G,129.95
Verita Ananas Adet,199.95
Ayva Kg,229.95
Verita Redberry 125 Gr,299.95
Üzüm Red Globe İthal Kg,349.95
Erik Angelika Kg,199.95
Aydın Kestanesi Coğrafi İşaretli Kg,429.95
Verita Taze Dilimlenmiş Hindistan Cevizi 125 Gr,129.95
Verita Böğürtlen 125 Gr Pkt,429.95
Verita Yer Kirazı (Altın Çilek) 100 G,169.95
Verita Nar Tanesi 125 Gr Pkt,179.95
Excelente Demirhindi Paket 225 G,159.95
Excelente Ahududu 125Gr,399.95
Tazedirekt Limon Kg,149.95
Excelente Böğürtlen 125 Gr,399.95
Erüst Çilek 200 Gr Paket Adet,99.95
Verita Pitahaya Adet,449.95
Verita Çarkıfelek Passion Fruit 3’Lü Paket,199.95
Verita Kumkuat 200 Gr,129.95
Verita Taze Dilimlenmiş Mango 125 Gr,199.95
Verita Demirhindi 225 Gr,239.95
Excelente Hindistan Cevizi Adet,64.95
Portakal Sıkma Kg (Zumex),69.95
Elma Pink Lady  Kg,169.95
Excelente Kumkuat Paket 150 G,169.95
Excelente Pitahaya Tekli Paket,379.95
Havuç Kg,67.95
Maydanoz Adet,32.95
Roka Demet,34.95
