Category,Subcategory,Name,Brand,SKU,Price,RegularPrice,DiscountRate,UnitPrice,Status,Date
Meyve & Sebze,Sebze,Organik Patates Kg,Reyondan,28360010,78.95,78.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Soğan Kg,Reyondan,28051007,88.95,88.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Havuç Kg,Tazedirekt,28130069,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Organik Maydanoz Demet,Reyondan,28260018,68.95,68.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Brokoli Kg,Reyondan,28160011,258.95,258.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Muz Organik Kg,Tazedirekt,27130029,189.95,189.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Havuç,Reyondan,28120022,148.95,148.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,Feast Organik Bezelye 450 G,Feast,17014706,114.95,114.95,0,"(255,44 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Hıyar Kg,Reyondan,28303010,168.95,168.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Karnabahar Kg,Reyondan,28303012,198.95,198.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Pancar Kg,Reyondan,28310018,178.95,178.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Tasconi Organik Yemeye Hazır Kuru Domates 100 G,Tasconi,28089178,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Soğan Kuru Kg,Tazedirekt,28130089,69.95,69.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Organik Pırasa Kg,Reyondan,28370003,179.95,179.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,Feast Organik Brokoli 450 G,Feast,17014705,119.95,119.95,0,"(266,55 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Avokado Adet,Tazedirekt,27130039,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Tarla Domates Kg,Tazedirekt,28130030,229.95,229.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Patlıcan Kemer Kg,Tazedirekt,28130101,154.95,154.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Kereviz Kg,Reyondan,28190011,198.95,198.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Bodrum Mandalina Kg,Tazedirekt,27130046,129.95,129.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Lahana Kırmızı,Reyondan,28253026,168.95,168.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Lahana Beyaz Kg,Reyondan,28210007,128.95,128.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Pembe Domates Kg,Tazedirekt,28130037,299.95,299.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,SuperFresh Organik Bezelye 450 G,Superfresh,17010034,124.95,124.95,0,"(277,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Kan Greyfurt Kg,Tazedirekt,27130055,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Acı Biber 25'li Paket Adet,Garliko,28059187,99.95,99.95,0,"(2855,71 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Domates 200 G Paket Adet,Dünya Hayat,28089132,199.95,199.95,0,"(999,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Dünya Hayat Kurutulmuş Patlıcan,Dünya Hayat,28309055,199.95,199.95,0,"(2856,42 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Forest Kuru Kale Biberi (Ci) 6 G Paket Adet,Reyondan,28050006,119.95,119.95,0,"(19991,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Domates Kurusu 100 G,Si&Ha,28510117,159.95,159.95,0,"(1599,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Dolmalık Biber 25'li Paket,Garliko,28059185,199.95,199.95,0,"(3332,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Tasconi Yemeye Hazır Kuru Domates 100 G,Tasconi,28089180,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Siha Kurutulmuş Dolmalık Patlıcan 25'li Paket,Si&Ha,28510121,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Siha Kurutulmuş Dolmalık Biber 25'li Paket,Si&Ha,28510126,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Biber Yakan Kurutulmuş 50 G,Reyondan,28510124,159.95,159.95,0,"(3199,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Muz İthal Kg,Reyondan,27272027,179.95,179.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Limon Kg,Reyondan,27268053,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Ahududu 125 G,Reyondan,27010006,149.95,149.95,0,"(1199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Avokado Adet,Reyondan,28010021,49.95,49.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Gurme Yemeye Hazır Avokado Adet,Verita,28015909,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Portakal  Kg.,Reyondan,27307081,54.95,54.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Granny Smith Kg,Reyondan,27139272,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Starking  Kg,Reyondan,27139275,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Mandalina Murcot,Reyondan,27287013,49.95,49.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Yaban Mersini Blueberry 125 Gr,Verita,27585017,269.95,269.95,0,"(2159,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Kivi Kg,Reyondan,27251241,159.95,159.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Fuji Kg,Reyondan,27139269,139.95,139.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Blueberry 125 Gr,Excelente,27400021,199.95,199.95,0,"(1599,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Armut Santa Maria Kg,Reyondan,27028283,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Armut Deveci Kg,Reyondan,27028281,139.95,139.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Ananas Adet,Verita,27502032,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Jumbo Mango Adet,Reyondan,27590030,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Yemeye Hazır Avokado,Excelente,28015912,84.95,84.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Portakal Sıkma Lüx Kg,Reyondan,27307066,54.95,54.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Frambuaz 125 Gr,Verita,27058018,399.95,399.95,0,"(3199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Golden  Kg.,Reyondan,27139271,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Karpuz Ithal Kg,Reyondan,27193004,79.95,79.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Erüst Çilek 200 Gr Paket Adet,Erüst,27084045,79.95,79.95,0,"(399,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Üzüm Red Globe İthal Kg,Reyondan,27338023,329.95,329.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Yemeye Hazır Mango Adet,Excelente,27400004,79.95,79.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Patates Kg,Reyondan,28360010,78.95,78.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Soğan Kg,Reyondan,28051007,88.95,88.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Havuç Kg,Tazedirekt,28130069,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Organik Maydanoz Demet,Reyondan,28260018,68.95,68.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Brokoli Kg,Reyondan,28160011,258.95,258.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Muz Organik Kg,Tazedirekt,27130029,189.95,189.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Havuç,Reyondan,28120022,148.95,148.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,Feast Organik Bezelye 450 G,Feast,17014706,114.95,114.95,0,"(255,44 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Hıyar Kg,Reyondan,28303010,168.95,168.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Karnabahar Kg,Reyondan,28303012,198.95,198.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Pancar Kg,Reyondan,28310018,178.95,178.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Tasconi Organik Yemeye Hazır Kuru Domates 100 G,Tasconi,28089178,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Soğan Kuru Kg,Tazedirekt,28130089,69.95,69.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Organik Pırasa Kg,Reyondan,28370003,179.95,179.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,Feast Organik Brokoli 450 G,Feast,17014705,119.95,119.95,0,"(266,55 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Avokado Adet,Tazedirekt,27130039,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Tarla Domates Kg,Tazedirekt,28130030,229.95,229.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Patlıcan Kemer Kg,Tazedirekt,28130101,154.95,154.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Kereviz Kg,Reyondan,28190011,198.95,198.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Bodrum Mandalina Kg,Tazedirekt,27130046,129.95,129.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Lahana Kırmızı,Reyondan,28253026,168.95,168.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Organik Lahana Beyaz Kg,Reyondan,28210007,128.95,128.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Sebze,Tazedirekt Organik Pembe Domates Kg,Tazedirekt,28130037,299.95,299.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Dondurulmuş,SuperFresh Organik Bezelye 450 G,Superfresh,17010034,124.95,124.95,0,"(277,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Organik Kan Greyfurt Kg,Tazedirekt,27130055,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Acı Biber 25'li Paket Adet,Garliko,28059187,99.95,99.95,0,"(2855,71 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Domates 200 G Paket Adet,Dünya Hayat,28089132,199.95,199.95,0,"(999,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Dünya Hayat Kurutulmuş Patlıcan,Dünya Hayat,28309055,199.95,199.95,0,"(2856,42 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Forest Kuru Kale Biberi (Ci) 6 G Paket Adet,Reyondan,28050006,119.95,119.95,0,"(19991,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Domates Kurusu 100 G,Si&Ha,28510117,159.95,159.95,0,"(1599,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Garliko Kurutulmuş Dolmalık Biber 25'li Paket,Garliko,28059185,199.95,199.95,0,"(3332,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Tasconi Yemeye Hazır Kuru Domates 100 G,Tasconi,28089180,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Siha Kurutulmuş Dolmalık Patlıcan 25'li Paket,Si&Ha,28510121,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Siha Kurutulmuş Dolmalık Biber 25'li Paket,Si&Ha,28510126,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Kuru Sebze & Meyve,Biber Yakan Kurutulmuş 50 G,Reyondan,28510124,159.95,159.95,0,"(3199,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Muz İthal Kg,Reyondan,27272027,179.95,179.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Limon Kg,Reyondan,27268053,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Ahududu 125 G,Reyondan,27010006,149.95,149.95,0,"(1199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Avokado Adet,Reyondan,28010021,49.95,49.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Gurme Yemeye Hazır Avokado Adet,Verita,28015909,119.95,119.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Portakal  Kg.,Reyondan,27307081,54.95,54.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Granny Smith Kg,Reyondan,27139272,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Starking  Kg,Reyondan,27139275,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Mandalina Murcot,Reyondan,27287013,49.95,49.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Yaban Mersini Blueberry 125 Gr,Verita,27585017,269.95,269.95,0,"(2159,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Kivi Kg,Reyondan,27251241,159.95,159.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Fuji Kg,Reyondan,27139269,139.95,139.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Blueberry 125 Gr,Excelente,27400021,199.95,199.95,0,"(1599,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Armut Santa Maria Kg,Reyondan,27028283,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Armut Deveci Kg,Reyondan,27028281,139.95,139.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Ananas Adet,Verita,27502032,219.95,219.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Jumbo Mango Adet,Reyondan,27590030,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Yemeye Hazır Avokado,Excelente,28015912,84.95,84.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Portakal Sıkma Lüx Kg,Reyondan,27307066,54.95,54.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Frambuaz 125 Gr,Verita,27058018,399.95,399.95,0,"(3199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Golden  Kg.,Reyondan,27139271,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Karpuz Ithal Kg,Reyondan,27193004,79.95,79.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Erüst Çilek 200 Gr Paket Adet,Erüst,27084045,79.95,79.95,0,"(399,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Üzüm Red Globe İthal Kg,Reyondan,27338023,329.95,329.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Yemeye Hazır Mango Adet,Excelente,27400004,79.95,79.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Elma Pink Lady  Kg,Reyondan,27139274,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Çağla Badem 250 Gr Paket Adet,Reyondan,27070007,59.95,59.95,0,"(239,80 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Yemeye Hazır Mango Adet,Verita,27585018,179.95,179.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Çilek Kg,Tazedirekt,27020015,499.95,499.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Taze Dilimlenmiş Hindistan Cevizi 125 Gr,Verita,27501011,134.95,134.95,0,"(1079,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Greyfurt Kan Kg,Reyondan,27169025,49.95,49.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Avokado 10 Adet Kutu,Reyondan,28010410,399.95,399.95,0,"(39,99 TL/Adet)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Çarkıfelek Passion Fruit 3’Lü Paket,Verita,27590028,209.95,209.95,0,"(1399,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Kavun Sera Kg,Reyondan,27203000,149.95,149.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Redberry 125 Gr,Verita,27585015,399.95,399.95,0,"(3199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Limes 3 Lü Pkt,Verita,27268040,99.95,99.95,0,"(499,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Demirhindi 225 Gr,Verita,27550004,239.95,239.95,0,"(1066,44 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Physalis Paket 100 G,Excelente,27400009,79.95,79.95,0,"(799,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Kavun İthal Kg,Reyondan,27206002,199.95,199.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Üzüm Mix 500 Gr Paket Adet,Reyondan,27338085,199.95,199.95,0,"(399,90 TL/Adet)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Böğürtlen 125 Gr Pkt,Verita,27058017,549.95,549.95,0,"(4399,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Kumkuat 200 Gr,Verita,27530004,269.95,269.95,0,"(1349,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Tazedirekt Elma Granny Kg,Tazedirekt,27020034,199.95,199.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Greyfurt Kan Kg,Reyondan,27162000,69.95,69.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Portakal Sıkma Kg (Zumex),Reyondan,27300012,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Hindistan Cevizi Adet,Excelente,27400002,64.95,64.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Kumkuat Paket 150 G,Excelente,27400016,169.95,169.95,0,"(1133,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Demirhindi Paket 225 G,Excelente,27570004,159.95,159.95,0,"(710,88 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Passion Fruit 2'li Paket,Excelente,27400011,119.95,119.95,0,"(799,66 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Meyve Salatası 200 G,Verita,27700076,259.95,259.95,0,"(1299,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Granadilla Adet,Verita,27510011,329.95,329.95,0,"(2639,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Verita Mangosten Paket,Verita,27570003,449.95,449.95,0,"(2249,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Greyfurt 1 Kg Paket Adet,Migros,27169024,80.95,80.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Ahududu 125Gr,Excelente,27400019,399.95,399.95,0,"(3199,60 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Erik Malta Kg,Reyondan,27120000,199.95,199.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Meyve,Excelente Papaya Adet (Yarım),Excelente,27400006,299.95,299.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Roka Demet,Reyondan,28340009,33.95,33.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Maydanoz Adet,Reyondan,28260009,29.95,29.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Dereotu Adet,Reyondan,28060009,39.95,39.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Soğan Taze Demet,Reyondan,28395002,67.95,67.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Salata Kıvırcık Adet,Reyondan,28360089,99.95,99.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Atom Salata Adet,Reyondan,28370016,129.95,129.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Erüst Yedikule Mini 4'lü Paket,Erüst,28120021,129.95,129.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Semizotu Adet,Reyondan,28380106,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Nane Adet,Reyondan,28280009,34.95,34.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Marul Adet,Reyondan,28250009,124.95,124.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Ispanak Kg,Reyondan,28140099,99.95,99.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Tere Adet,Reyondan,28400013,39.95,39.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Eurofresh Yıkanmış Hazır Ispanak 700G,Eurofresh,28379700,144.95,144.95,0,"(207,07 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Pazı Demet,Reyondan,28320005,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Local Greens Akdeniz Yeşilliği 150G Paket,Local Greens,28379727,114.95,114.95,0,"(766,33 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Erüst Ispanak Mini 150 G,Erüst,28140005,129.95,129.95,0,"(866,33 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Local Greens Aromatik Yaz Salatası Paket 150 G,Local Greens,28990004,133.95,133.95,0,"(893,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Alabaş Kg,Reyondan,28471039,154.95,154.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Eurofresh Yıkanmış Kıvırcık Marul 150 Gr,Eurofresh,28253039,79.95,79.95,0,"(533,00 TL/Adet)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Reyhan Demet,Reyondan,28345003,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Kuzu Kulağı Demet,Reyondan,28200015,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Eurofresh Yıkanmış Marul Mix Salata 170 Gr,Eurofresh,28253040,94.95,94.95,0,"(558,52 TL/Adet)",IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Soğan Frenk - Şiniklav 25 G,Erüst,28400022,119.95,119.95,0,"(4798,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Ayıklanmış Sebze,Eurofresh Havuç-turp Karışımı 300 Gr,Eurofresh,28129056,74.95,74.95,0,"(249,83 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Eurofresh Yıkanmış Hazır Kök Ispanak 500G,Eurofresh,28379699,104.95,104.95,0,"(209,90 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Salatalar,Eurofresh Doğranmış Göbek Salata (Parça) 200G,Eurofresh,28379698,124.95,124.95,0,"(624,75 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Fesleğen Demet,Reyondan,28119903,64.95,64.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Kara Lahana Adet,Reyondan,28232012,59.95,59.95,0,,IN_SALE,2026-04-22
Meyve & Sebze,Otlar & Ayıklanmış Sebze,Si&ha Menemenlik Sos 550 G,Si&Ha,28080048,249.95,249.95,0,"(454,45 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Salatalar,Eurofresh Doğranmş Karışık Akdeniz Salata 150G,Eurofresh,28379696,124.95,124.95,0,"(833,00 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Yeşillikler,Erüst Marul Çıtır 100 G,Erüst,28250008,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-04-22
Meyve & Sebze,Otlar & Ayıklanmış Sebze,Freshes Haşlanmış Kırmızı Pancar 400 G,Reyondan,28310039,169.95,169.95,0,"(424,87 TL/Adet)",IN_SALE,2026-04-22
