item_name,price,tarih,kategori,para_birimi
Akfa Domates Salçası 4300 Gr,504.0,2026-03-21,temel-gida,TRY
Akfa Domates Salçası 830 Gr,111.0,2026-03-21,temel-gida,TRY
Akfa Domates Salçası Cam 700 Gr,117.5,2026-03-21,temel-gida,TRY
Amoy Soya Sosu 750 Ml,300.0,2026-03-21,temel-gida,TRY
Ankara Makarna Arpa Şehriye 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Arpa Şehriye 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Boncuk 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Burgu 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Burgu 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Dirsek 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Erişte 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Erişte 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Fiyonk 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Fırın 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna İnce Uzun 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna İnce Uzun 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna İrmik 500 Gr,47.95,2026-03-21,temel-gida,TRY
Ankara Makarna Kalem 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Kelebek 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Kepekli Spagetti 350 Gr,47.0,2026-03-21,temel-gida,TRY
Ankara Makarna Kuskus 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Kuskus 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Mantı 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Nuhun Gemisi 350 Gr,47.0,2026-03-21,temel-gida,TRY
Ankara Makarna Sebzeli Burgu 350 Gr,47.0,2026-03-21,temel-gida,TRY
Ankara Makarna Spagetti 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Spagetti 500 Gr,45.0,2026-03-21,temel-gida,TRY
Ankara Makarna Tam Buğday Kalem 500 Gr,54.0,2026-03-21,temel-gida,TRY
Ankara Makarna Tel Şehriye 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Tel Şehriye 500 Gr,44.75,2026-03-21,temel-gida,TRY
Ankara Makarna Yüksük 5 Kg,452.0,2026-03-21,temel-gida,TRY
Ankara Makarna Yüksük 500 Gr,45.0,2026-03-21,temel-gida,TRY
Azmanlı Katkısız Acı Ev Tarhanası 500 Gr,264.0,2026-03-21,temel-gida,TRY
Azmanlı Katkısız Tatlı Ev Tarhanası 500 Gr,264.0,2026-03-21,temel-gida,TRY
Bağdat Acı Toz Biber 75 Gr,92.5,2026-03-21,temel-gida,TRY
Bağdat Cajun Baharatı Cam 55 Gr,110.5,2026-03-21,temel-gida,TRY
Bağdat Çıtır Pane Harcı 90 Gr,61.5,2026-03-21,temel-gida,TRY
Bağdat Çörek Otu 75 Gr,93.0,2026-03-21,temel-gida,TRY
Bağdat Dolmalık Fıstık 23 Gr,277.5,2026-03-21,temel-gida,TRY
Bağdat Ekstra Acı Pul Biber 80 Gr,99.5,2026-03-21,temel-gida,TRY
Bağdat Fesleğen 30 Gr,44.0,2026-03-21,temel-gida,TRY
Bağdat Galeta Unu 250 Gr,55.0,2026-03-21,temel-gida,TRY
Bağdat Hindistan Cevizi 50 Gr,82.0,2026-03-21,temel-gida,TRY
Bağdat Hindistan Cevizi Eko 160 Gr,198.0,2026-03-21,temel-gida,TRY
Bağdat İsot Biber 80 Gr,93.0,2026-03-21,temel-gida,TRY
Bağdat Izgara Baharatı 65 Gr,77.5,2026-03-21,temel-gida,TRY
Bağdat Kabuk Tarçın 45 Gr,88.5,2026-03-21,temel-gida,TRY
Bağdat Karabiber 40 Gr,96.5,2026-03-21,temel-gida,TRY
Bağdat KaraBiber Tuzluklu 55 Gr,165.0,2026-03-21,temel-gida,TRY
Bağdat Karanfil 15 Gr,63.5,2026-03-21,temel-gida,TRY
