tarih,kategori,urun_adi,fiyat,para_birimi
2026-04-20,temel-gida,Akfa Domates Salçası 4300 Gr,507.00,TRY
2026-04-20,temel-gida,Akfa Domates Salçası 830 Gr,118.00,TRY
2026-04-20,temel-gida,Akfa Domates Salçası Cam 700 Gr,118.50,TRY
2026-04-20,temel-gida,Amoy Soya Sosu 750 Ml,302.00,TRY
2026-04-20,temel-gida,Ankara Makarna Arpa Şehriye 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Arpa Şehriye 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Boncuk 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Burgu 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Burgu 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Dirsek 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Erişte 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Erişte 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Fiyonk 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Fiyonk 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Fırın 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna İnce Uzun 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna İnce Uzun 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna İrmik 500 Gr,48.25,TRY
2026-04-20,temel-gida,Ankara Makarna Kalem 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Kelebek 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Kepekli Spagetti 350 Gr,47.00,TRY
2026-04-20,temel-gida,Ankara Makarna Kuskus 5 Kg,381.00,TRY
2026-04-20,temel-gida,Ankara Makarna Kuskus 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Mantı 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Nuhun Gemisi 350 Gr,47.00,TRY
2026-04-20,temel-gida,Ankara Makarna Sebzeli Burgu 350 Gr,47.00,TRY
2026-04-20,temel-gida,Ankara Makarna Spagetti 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Spagetti 500 Gr,45.50,TRY
2026-04-20,temel-gida,Ankara Makarna Tam Buğday Kalem 500 Gr,54.00,TRY
2026-04-20,temel-gida,Ankara Makarna Tel Şehriye 5 Kg,455.00,TRY
2026-04-20,temel-gida,Ankara Makarna Tel Şehriye 500 Gr,45.05,TRY
