product_name,price
Filiz Makarna Fiyonk 500 Gr,45.00
Filiz Makarna Burgu 500 Gr,45.00
Filiz Makarna İnce Uzun 500 Gr,45.00
Filiz Makarna Spagetti 500 Gr,45.00
Filiz Makarna Yüksük 500 Gr,45.00
Filiz İrmik 500 Gr,45.00
Filiz Makarna Mantı 500 Gr,45.00
Filiz Makarna Kalem 500 Gr,45.00
Filiz Makarna Kelebek 500 Gr,45.00
Filiz Makarna Boncuk 500 Gr,45.00
Filiz Arpa Şehriye 500 Gr,45.00
Filiz Makarna Tel Şehriye 500 Gr,45.00
Filiz Makarna Erişte 500 Gr,45.00
Filiz Makarna Kuskus 500 Gr,45.00
De&Co Kajun Baharatı 500 gr,277.00
Knorr Professional Sebzeli Çeşni 750 Gr,588.50
Bağdat Baharat Öğütülmüş Karabiber 1000 Gr,1070.00
Chefline Asia Panko Klasik Orta Boy Ekmek Kırıntısı 1 kg,240.50
İpekyolu Kekik 200 Gr,160.50
İpekyolu Baharat Kimyon Toz 350 Gr,152.50
İpekyolu Baharat Sarımsak Tozu 200 Gr,98.50
Burcu Zeytinyağlı Enginar 200 Gr,75.00
Yayla Haşlanmış Garnitur 560 gr,125.50
Burcu Zeytinyağlı Yaprak Sarma 200 gr,133.50
Tam Buğday Unu 5 Kg,385.00
Komili Yemeklik Riviera Zeytinyağı 5 lt x 4 Adet,6570.00
Komili Yemeklik Riviera Zeytinyağı 5 lt x 1 Adet,1915.00
Basmati Pirinç 10 Kg,1470.00
Basmati Pirinç 25 Kg (Çuval),3390.00
Basmati Pirinç 1 Kg,150.00
Dardanel Klasik Ton Balığı 5 x 75 gr x 4 lü Paket (20 ad x 75 gr),1395.00
Dardanel Klasik Ton Balığı 4 X 75 Gr,279.00
Dardanel Ekonomik Ton Balığı 4×75 Gr,244.00
Dermason Fasulye 25 Kg (Çuval),2890.00
Dermason Fasulye 1 Kg,126.00
Bafra Pirinç 25 Kg Osmancık (Çuval),2740.00
Bafra Pirinç Osmancık 1 Kg,115.50
Aşurelik Buğday 25 Kg (Çuval),1450.00
Aşurelik Buğday 1 Kg,58.00
Süper Pilavlık Bulgur 25 Kg (Çuval),1380.00
Süper Pilavlık Bulgur 1 Kg,59.70
Cin Mısır Popcorn 25 Kg (Çuval),1805.00
Cin Mısır Açık 1 Kg,91.50
Kırık Pirinç 25 Kg (Çuval),1355.00
Kırık Pirinç 1 Kg,60.40
Kırmızı Mercimek 25 Kg (Çuval),2105.00
