product_name,price
Osmanlı Bahçesi Kekik Yetiştirme Seti,99.98
Osmanlı Bahçesi Maydanoz Yetiştirme Seti,99.98
Osmanlı Bahçesi Tatlı Kıl Biber Yetiştirme Seti,99.98
Osmanlı Bahçesi Roka Yetiştirme Seti,99.98
Osmanlı Bahçesi Fesleğen Yetiştirme Seti,99.98
Limon Kg,77.5
Üzüm Çekirdeksiz Kg,79.95
Muz Yerli Kg,92.95
Muz İthal Kg,113.5
Karpuz Kg,9.95
Erik Mürdüm Kg,54.95
Şeftali Nektarin Kg,59.95
Ananas Adet,133.95
Kayısı Kg,133.95
Limon File Ekonomik  Kg,92.95
Elma Granny Smith Kg,154.5
Karpuz Mini Kg,19.95
Migros Kiraz 500 G,102.95
Böğürtlen 125 G,79.95
Armut Santa Maria Kg,89.95
Ceviz Kabuklu Kg,199.95
Şeftali Kg,82.5
Avokado Adet,82.5
Yassı Şeftali Kg,113.5
Üzüm Red Globe Kg,79.95
Üzüm Siyah Kg,79.9
Elma Gala Kg,92.95
Kavun Sarı,39.95
Nektarin Beyaz Kg,139.95
Kavun Biga Kg,69.95
Portakal Kg,61.95
Portakal Sıkma File Kg,61.95
Yerli Ejder Meyvesi Tekli Paket,69.95
Excelente Yemeye Hazır Avokado 2'li Paket,164.95
Excelente Blueberry 125 G,102.95
Yemeye Hazır Avokado 2'li Paket Adet,154.5
Elma Granny (Pazar) Kg,59.95
M Life Organik Elma Kg,199.95
Nar İthal,308.95
Üzüm Razaki Kg,119.95
Verita Dr. Blue Blueberry 125 G Paket,164.95
Üzüm Kardinal Kg,99.95
Yassı Nektarin,113.5
Excelente Yemeye Hazır Mango Adet,123.95
Muz Organik Kg,159.95
M Life Organik Karpuz Kg,69.95
Lime Paket 4'lü 250 G,123.95
İncir Kg,278.5
Excelente Lime 3'lü Paket 195 G,92.95
İncir Dikenli Paket,39.95
M Life Organik Armut Kg.(ort. 500 G),199.95
Verita Gurme Yemeye Hazır Avokado Adet,154.5
El Kırması Kabuklu Badem Paket Adet 500 G,360.5
Verita Demirhindi 225 G,257.5
M Life Organik Kavun Kg,89.95
Verita Yer Kirazı (Altın Çilek) 100 G,154.5
Verita Pitahaya Adet,278.5
Excelente Demirhindi Paket 225 G,154.5
Excelente Altın Çilek Paket 100 G,113.5
Verita Yemeye Hazır Mango Adet,236.95
M Life Organik Limon Kg,199.95
Yer Fıstığı Kg,154.5
Kızılcık Kg,329.95
M Life Organik Ceviz Kg,379.95
Verita Kumkuat Paket 200 G,339.95
Verita Granadilla Tekli Paket 125 G,401.95
Hindistan Cevizi Adet,82.5
Verita Limes 3'lü Paket 200 G,144.5
Verita Passion Fruit 3’lü Paket 150 G,205.95
Patates Yeni Mahsul Kg,29.95
Domates Tarla Rio (Salçalık) Kg,19.95
Soğan Kuru (Yeni Mahsul) Kg,34.95
Közlemelik - Salçalık Biber Kırmızı Kg,39.95
Hıyar Kg,36.0
Patlıcan Kemer Kg,39.95
Kabak Sakız Kg,49.95
Havuç Beypazarı Paket Kg,72.5
Domates Pembe Kg,77.5
Domates Kg,56.95
Dereotu Adet,33.95
Fasulye Ayşe Kadın Kg,102.95
Biber Çarliston Kg,89.95
Köy Biberi  Kg,92.95
Domates Salkım Kg,72.5
Biber Dolmalık Kg,92.95
Salata Kıvırcık Adet,41.5
Biber Sivri Kıl Kg,102.95
Soğan Taze Demet,64.95
Atom Salata Adet,44.5
Roka Demet,36.0
Biber Sivri Kg,102.95
Domates Kokteyl Kg,92.95
Sarımsak File Kg,226.95
Semizotu Adet,46.5
Patlıcan Bostan Kg,59.95
Erdek Kapıdağı Mor Soğanı Kg,99.95
Nane Adet,30.95
Mısır Taze Adet,25.95
Bamya Kg,179.95
Biber Jalapeno Kg,69.95
Pancar Kg,97.95
