product_name,price
Mandalina Murcot Kg,99.0
Muz Yerli Kg,69.0
Patates Kg.,24.95
Portakal Çavdır Kg,99.0
Elma Kırmızı Kg,165.0
Nar Ekşi Kg,225.0
Salatalık Kg,99.0
Avokado Adet,69.0
Ayva Kg,190.0
Biber Kırmızı Kg,145.0
Elma Golden Kg,165.0
Havuç Kg,16.9
Karnıbahar Kg,39.0
Limon Yatak Kg,105.0
Maydanoz Adet,16.9
Soğan Kg,16.95
Domates Kg,49.0
Kıvırcık Adet,55.0
Patates Taze Kg,67.9
Pırasa Kg,29.9
Portakal Sıkma Kg,46.9
Roka Adet,19.95
Turp Kırmızı Kg,33.9
Badem Çengelköy Kg,199.0
Biber Dolma Kg,119.0
Domates Pembe Kg,239.0
Kestane Kg,750.0
Üzüm Yerli Siyah Kg,219.0
Biber Çarliston Kg,69.0
Semizotu Demet,69.9
Ananas Adet,190.0
Kabak Kg,109.0
Patlıcan Kg,149.0
Elma Granny Smith Yerli Kg,199.0
Soğan Arpacık 500gr,199.0
Armut Deveci Kg,199.0
Ceviz Kabuklu Yerli Kg,299.0
Ispanak Kg,29.9
Erik Anjelika Kg,255.0
Domates Salkım Kg,99.0
Biber Köy Kg,199.0
Dereotu Adet,23.9
Göbek Salata Adet,94.9
Muz İthal Kg,179.0
Greyfurt Kg,85.0
Soğan Kırmızı Kg,99.0
Domates Kokteyl Kg,99.9
Biber Sivri Kg,69.0
Pazı Demet,41.9
Biber Kıl Sivri Kg,335.0
Domates Salkım Bostan Kg,99.0
Fasulye Çalı Kg,445.0
Kivi Yerli Kg,199.0
Mantar Paket 400gr,125.0
Nane Adet,24.9
Patlıcan Bostan Kg,229.0
Aydin Erüst Biber Meksika 250gr,76.9
Aydın Erüst Cin Biberi 100gr,99.0
Aydın Erüst Ispanak 150 g,199.0
Aydın Erüst Kekik 25gr,145.0
Aydın Erüst Kişniş 25gr,142.0
Aydin Erüst Kök Ispanak 500Gr,185.0
Aydın Erüst Maskolin Salatası 150 Gr,159.0
Aydın Erüst Şiniklav 25gr,165.0
Aydın Erüst Taze Fesleğen 25gr,99.0
Bakla Kg,165.0
Brokoli Kg,69.0
Canbaş Zencefil Ezmesi 100g,169.0
Canbaş Zerdeçallı Zencefil Ezmesi 100g,169.0
Erbaa Narince Bağ Yaprağı 400Gr,175.0
Erüst Domates Mini 200gr,86.9
Erust Salkım Domates Kokteyl 300Gr,115.0
Kereviz Kg,39.95
Lahana Beyaz Kg,29.9
Lahana Kırmızı Kg,42.9
Pancar Kg,115.0
Pekmez Adam Tokat Salamura Yaprak 700gr,225.0
Pepita Kokteyl Avokado 250gr,135.0
Pepita Limon Lime Kg,305.0
Pepita Tatlı Patates Kg,115.0
Sarımsak Kuru File Kg,299.0
Şifalıköy Kuru Dolma Biber 20 Adet,195.0
Soğan Taze Kg,165.0
Turp Alabaş Adet,85.0
Verita Kuşkonmaz 300gr,369.0
Yer Elması Kg,59.9
Yörükana Dolmalık Kuru Biber 15'Li,119.9
Zencefil İthal Kg,275.0
Armut Santa Maria Kg,195.0
Aydın Erüst Akdeniz Salata 150gr,145.0
Aydın Erüst Ispanak Orta Boy 700 Gr,159.0
Aydın Erüst Kereviz Sapı Adet,166.0
Elma Arapkızı Kg,199.0
Elma Gala Kg,165.0
Orhan Reis Sarımsak File 250gr,64.9
Pepita Yaban Mersini 125gr (Blue Bery),189.0
Verita Böğürtlen 125 Gr,455.0
Verita Frenk Üzümü 125g,275.0
Armut Ankara Kg,155.0
Verita Altın Çilek 100 Gr,155.0
Verita Çarkıfelek 3'lü Paket,179.0
Şifalıköy Aydın Patlıcan 20 li,169.0
Şifalıköy Antep Dolma Biber 20li,195.0
Şifalıköy Karışık Kuru Dolmalık 20 Adet,195.0
Dana  Antrikot Kg,1995.0
Dana Biftek Kg,925.0
Veg&Bones İlikli Kemik Suyu 500ml,84.9
Dana Biftek Kıyma Kg,925.0
Dana Bonfile Kg,2395.0
Dana Döş Kıyma Kg,725.0
Dana Et Sote Kg,925.0
Dana Gulaş Kg,925.0
Dana Güveç Kg,925.0
Veg&Bones Paça İlikli Kemik Suyu 480ml,91.9
Dana Kontrafile Kg,1495.0
Dana Kuşbaşı Orta Yağlı Kg,795.0
Dana Nuar Kg,925.0
Dana Robespierre Kg,2295.0
Dana Rosto Kg,925.0
Veg&Bones Kelle Paça Çorbası 480ml,166.9
Dana Tantuni Kg,925.0
Dana Taskebap Kg,925.0
Kuzu Pirzola Kg (Trakya Kıvırcık Kuzu),2100.0
Special Dana Pirzola Kg,2850.0
Pınar Danaburger 545gr,664.9
Special Antrikot Kekikli Biberli Kg,2295.0
Special Hamburger Kg,845.0
Kuzu İncik But Kg,1090.0
Kuzu Fırın Kg,1075.0
Kuzu Kapama(Gerdan)Kg,1025.0
Kuzu Kol Kg,1010.0
Kuzu But Kg,1025.0
Kuzu Külbasti Kg,1180.0
Dana Kuşbası Et ve Süt Kurumu İthal Et Kg,510.0
Kuzu Şiş Kg,1125.0
Pınar Planty Power Burger 220Gr,189.9
Banvit Tabaklı Bütün Piliç Kg,149.0
Thai World Tatli Biber Sosu 350gr,119.9
Suree Tatli Biber Sosu 820gr,219.9
Banvit Piliç Pirzola Kg Tb,155.0
Banvit Piliç Kanat Kg Tb,245.0
Banvit Piliç Baget Kg Tb,125.0
Banvit Izgara Tava Kg Tb.,325.0
Banvit Piliç Kalçalı But Kg Tb,130.0
Pınar Burger 225 Gr,289.9
Pınar Gurme Burger 450 Gr,599.9
Acetum Blaze Balsamik Glaze Sosu 475gr,295.0
Banvit Piliç Göğüs Light Kg Tb,233.0
Banvit Yaprak İri Kanat Kg,459.0
Banvit Piliç Baby Şiş Tb Kg,279.0
Pınar Piliç Kroket 430 Gr,219.9
Banvit Piliç Ciğer Kg Tb,64.95
Dana Köfte 350gr,295.0
Dana Osso Bucco Special Kg,925.0
Beşler Dana Döner 200 Gr,209.9
Hastavuk Tb. Piliç Taşlık Eko Kg,89.9
Pınar Piliç Şnitzel 415 Gr,219.9
Somon Fileto Kg,1300.0
Levrek Deniz 1000-1200 Kg,1200.0
Hamsi Kg,200.0
Hamsi Kılcıksız Kg,250.0
Sardalya (Kg),300.0
Sardalya Kılcıksız kg,350.0
Levrek Deniz (800-1000) Kg,1100.0
İstavrit Kg,150.0
Mezgit Karadeniz  (Kg),600.0
Tekir Kg,800.0
Levrek deniz 300/400 Kg,850.0
Çupra Deniz 300/400 Kg,750.0
Levrek Bodrum Adet,350.0
Çupra Bodrum Adet,300.0
Torik Kg,1150.0
Red Tiger Fish Finger 300 Gr,149.9
Red Tiger Karides Topu 300 Gr,259.9
Red Tiger Balık Kalamar 300 Gr,199.0
Red Tiger Karides Surimi 300 Gr,199.9
Pınar Karides 400 Gr,545.9
Dardanel Kalamar 300gr,479.0
Pınar Fish Finger 240 Gr,204.9
Dardanel Kolay Pişir Tereyağlı Jumbo Karides 250Gr,375.0
Dardanel DNK Cim Cim Karides 250GR,295.0
Bando Uskumru Fileto 500 Gr,314.9
Bando Somon Fileto Dilim 500 Gr,634.9
Sushida Dardanel Kyoto Mix 210Gr,329.0
Dardanel Mezgit Pane 300gr,269.0
Bando Mezgit Fileto 500 Gr,414.9
Dardanel Kolay Pişir Karidesli Pesto Soslu Linguine 300G,269.0
Dardanel Kolay Pişir Doamates Soslu Penne 300Gr,269.0
Dardanel DNK Haşlanmış Norveç Karides,325.0
Bando Somon Köfte 500 Gr,634.9
Bando Somon Füme Norveç 100gr +4,360.9
Bando Lakerda 200 Gr,399.9
Bando Halka Kalamar 400 Gr,299.9
Bando Fish Finger 260 Gr,299.9
Bando Midye İç 500 Gr,414.9
Kartal Ançuez Tüp Balık Ezme 90gr,269.9
Sarıyer Gurme Klasik Beyaz Peynir Kg,499.0
Sarıyer Gurme Koyun Peyniri Kg,650.0
Sarıyer Gurme Yumuşak Beyaz Peynir Kg,450.0
Sarıyer Gurme Keçi Peyniri Kg,650.0
Sarıyer Gurme Dil Peyniri Kg,795.0
Sarıyer Gurme Kars Eski Kaşar Peynir Kg,550.0
Sarıyer Gurme Muş Kaşar Peyniri Kg,645.0
Sarıyer Gurme Taze Kaşar Peyniri 400 Gr,195.0
Sarıyer Gurme Taze Kaşar Peyniri 600 Gr,295.0
Sarıyer Gurme Taze Peynir Kg,395.0
Sarıyer Gurme Trakya Eski Kaşar Peynir Kg,895.0
Sarıyer Gurme Çeçil Peyniri Kg,550.0
Sarıyer Gurme Dilimli Tost Peyniri 400 Gr,225.0
Sarıyer Gurme İzmir Bergama Tulum Peynir Kg,695.0
Sarıyer Gurme Kahvaltılık Lor Peyniri Kg,295.0
Sarıyer Gurme Kars Gravyer Kg,1125.0
Sarıyer Gurme Castello Rokfor 100 Gr,195.0
Sarıyer Gurme Çeçil Peyniri 180 Gr,99.0
Sarıyer Gurme Deri Tulum Peyniri Kg,1100.0
Sarıyer Gurme Dilimli Eski Kaşar Peyniri 250 Gr,245.0
Sarıyer Gurme Eski Kaşar Peynir 350 Gr,285.0
Sarıyer Gurme Hellim Peyniri 250 Gr,155.0
Sarıyer Gurme İsli Çerkez Peyniri 150 Gr,225.0
Sarıyer Gurme İzmir Tulum 300 Gr,245.0
Sarıyer Gurme İzmir Tulum Peyniri  Dilimli 150 Gr,195.0
Sarıyer Gurme Kars Gravyer Peyniri 150gr,245.0
Sarıyer Gurme Lor Peyniri 250Gr,48.9
Sarıyer Gurme Mihaliç Koyun Peyniri Kg,795.0
Sarıyer Gurme Mihaliç Peyniri Dilimli 250 Gr,179.0
Sarıyer Gurme Tulum Peynir Lüx Kg,650.0
Sarıyer Gurme Tulum Peyniri 250 Gr,199.0
Lumandıra Jersey Pastorize Süt 3 Lt,389.0
Sarıyer Gurme Yumurta 10'lu 53 Gr,95.0
Sarıyer Gurme Yumurta 10'lu 63-72 Gr,139.0
Sarıyer Gurme Yumurta 15Li 63-72 Gr,199.0
Sarıyer Gurme Yumurta 30'lu 53 Gr,185.0
Sarıyer Gurme Yumurta 6'lı 63-72 Gr,85.0
Sarıyer Gurme Yumurta Organik 10'lu 53-62 Gr,155.0
Uluova Jersey Süt Pastörize 3lt,365.9
Bilezikçi Çiftliği Beyaz Yumurta 6lı 53-62Gr,59.0
Bilezikçi Çiftliği Gezen Tavuk Yumurta 15li 53-63gr,219.0
Bilezikçi Çiftliği Organik Yumurta 10'lu 53-63 Gr,175.0
Bilezikçi Çiftliği Organik Yumurta 15'li 53-63gr,260.0
Bilezikçi Çiftliği Yumurta Gezen Tavuk 10'lu 53-63 Gr,145.0
Bilezikçi Çiftliği Yumurta Organik 6'lı 53-63gr,105.0
Demirciköy Organik Yumurta 15'li 63-72 Gr,277.0
İçim Laktozsuz Süt 500 Ml,45.0
İçim Organik Süt 1 Lt,72.9
İçim Süt 1 Lt,59.9
İçim Yarım Yağlı Süt 1 Lt,51.9
Pınar Denge Laktozsuz Süt 1 LT,66.5
Pınar Süt Organik 1lt,75.0
Pınar Yağlı Süt 1 LT,64.9
Primavera Biberli Füme Peynir 150Gr,465.0
Primavera Cheddar Peyniri 150Gr,465.0
Primavera Fesleğenli Gauda Peyniri 150Gr,535.0
Primavera Feslenleğenli Kırmızı Gauda Peyniri 150Gr,535.0
