product_name,price
APTAMIL DEVAM SUTU 350 GR 2,"495,50"
APTAMIL DEVAM SUTU 350 GR 3,"495,50"
APTAMIL DEVAM SUTU 350 GR 4,"495,50"
APTAMIL DEVAM SUTU 800 GR 1,"999,90"
APTAMIL DEVAM SUTU 800 GR 2,"999,90"
APTAMIL DEVAM SUTU 800 GR 3,"999,90"
ARI MAMA 7 TAHILLI GECE 200 GR,"47,90"
ARI MAMA 7 TAHILLI GECE 500GR,"134,90"
ARI MAMA BALLI IRMIKLI 200 GR,"47,90"
ARI MAMA MUZLU 200 GR,"47,90"
ARI MAMA SUTLU 200 GR,"47,90"
ARI MAMA SUTLU 500GR,"134,90"
BASAK PIRINC UNU 250GR,"27,90"
BEBELAC GOLD 1 350 GR,"375,50"
BEBELAC GOLD 2 350 GR,"375,50"
BEBELAC GOLD 3 350 GR,"375,50"
BELUX ISLAK HAVLU 120LI,"26,50"
DALIN BABY KOLONYA BICI BICI 150ML,"79,00"
DALIN BEBE SABUNU 100GR,"39,00"
DALIN BEBE SABUNU 100GR,"0,00"
DALIN ISLAK HAVLU 3 LU,"95,00"
DALIN ISLAK HAVLU 56 LI,"32,90"
DALIN KOLAY TARAMA SPRAYI 200ML,"149,00"
DALIN KULAK CUBUGU 56LI,"79,00"
DALIN SAMPUAN 100ML,"35,00"
DALIN SAMPUAN 200ML,"59,00"
DALIN SAMPUAN 200ML KOLAY TARAMA,"59,00"
DALIN SAMPUAN 700 ML,"140,00"
DALIN SAMPUAN 700+200ML,"134,90"
DALIN SIVI DETERJANI 1500ML,"260,00"
DALIN VAZELIN 100 ML,"140,00"
ETI CICIBEBE 172GR,"47,00"
ETI CICIBEBE 400GR,"87,00"
HERO BABY 120GR PREBIYOTIKLI MUZLU YOGURTLU,"24,90"
HERO BABY 125GR KARISIK MEYVELI,"29,90"
HERO BABY 125GR MUZ MANDALINA ARMUT,"29,90"
HERO BABY ORGANIK KARISIK MEYVELI 120GR,"34,90"
