product_name,price
5 DAKİKA BİSKÜVİ,"48,90"
7DAYS FINDIK KREMALI KRUVASAN,"29,90"
7DAYS KAKAO KREMALI KRUVASAN,"29,90"
ABANT CAM ŞİŞE SU,"24,90"
ABANT CAM ŞİŞE SU,"12,90"
ABANT SU,"4,75"
ABANT SU,"9,50"
ABANT SU,"29,50"
ABC PARFUMIA KONS. YUM. BÜYÜLE...,"89,90"
ABC PARFUMIA KONS. YUM. TUTKUL...,"89,90"
ADDİSON ADS-ECO16 AYARLANABİLİ...,"99,00"
ADIYAMAN DUT KURUSU,"155,90"
ADİOS NACHO MISIR CİPSİ 130 G,"38,90"
ADİOS SÜT MISIRI AROMALI MISIR...,"38,90"
ADİOS TACO BAHARAT AROMALI MIS...,"38,90"
ADİOS TIRTIKLI SADE PATATES Cİ...,"47,50"
AGARTA AKTİF KARBONLU DİŞ MACU...,"168,00"
AGARTA DOĞAL DİŞ MACUNU BİTKİ...,"129,90"
AGARTA DOĞAL DİŞ MACUNU MİSVAK...,"129,90"
AGARTA DOĞAL DİŞ MACUNU ÇOCUK,"127,90"
AGSU BILDIRCIN YUMURTASI 12 Lİ,"39,90"
AKDENİZ  QUEEN ÇELİK 18 CM DER...,"749,00"
AKDENİZ  QUEEN ÇELİK 24 CM DER...,"949,00"
AKDENİZ  QUEEN ÇELİK 26 CM BAS...,"979,00"
AKDENİZ BELLA  ÇELİK OMLET 14-...,"1199,00"
AKDENİZ BELLA ÇELİK GÜVEÇ 14,"299,90"
AKDENİZ BELLA ÇELİK GÜVEÇ 16,"329,90"
AKDENİZ BELLA ÇELİK GÜVEÇ 18,"349,90"
AKDENİZ BELLA ÇELİK OMLET 14 C...,"249,90"
AKDENİZ BELLA ÇELİK OMLET 16 C...,"279,90"
AKDENİZ BELLA ÇELİK OMLET 18 C...,"299,90"
AKDENİZ PLATİNYUM ÇELİK 20 CM...,"899,00"
AKDENİZ PLATİNYUM ÇELİK 24 CM...,"899,00"
AKDENİZ PLATİNYUM ÇELİK 24 CM...,"799,00"
AKDENİZ PLATİNYUM ÇELİK ORTA B...,"799,00"
AKDENİZ QUEEN ÇELİK 20 CM DERİ...,"799,00"
AKDU DİL PEYNİRİ KG<50073>,"56,90"
AKPINAR DİLİMLİ İNEK PEYNİRİ 5...,"159,00"
AKPINAR İNEK PEYNİRİ 600 G,"179,00"
AKYAKA ÇİFTLİĞİ GEZEN YUMURTA...,"95,00"
AKYAKA ÇİFTLİĞİ OMEGA YUMURTA...,"95,00"
AKYUDUM  SU,"9,50"
AKYUDUM SU,"4,75"
AKYUDUM SU,"29,50"
AKŞEKER DİLİMLİ KUZU KOKOREÇ 2...,"189,00"
ALACABAL TOKAT YAPRAĞI 600 G,"245,00"
ALG KARTON BARDAK 14 OZ 10'LU,"25,90"
ALG KARTON BARDAK 7 OZ 20'Lİ,"19,50"
ALGIDA MARAS CL SAD-FIST 500ML,"119,90"
ALGIDA MARAS CL SADE 500ML,"109,90"
ALGIDA MARAS CL SDE-CIK 500ML,"109,90"
ALGIDA MARAS CORE LOG - KESME...,"119,90"
ALGIDA NOGGER SAND. KAYMAK,"45,00"
ALGİDA BOOM BOOM GOLD,"32,50"
ALGİDA MARAS CL CIFTE DOV 500M...,"119,90"
ALGİDA MARAŞ VİŞNE-LİMON,"62,50"
ALİMEANA ORGANİK NATUREL SIZMA...,"475,00"
ALL COPY  A4 FOTOKOPİ KAĞIDI 8...,"114,90"
ALO TOZ DETERJAN BEYAZ VE RENK...,"239,90"
ALTINBAŞAK TAH.CİPS YOĞ&MEV.YE...,"49,00"
ALTINKILIÇ KARA MAYA EKŞİ AYRA...,"79,50"
ALTINKILIÇ KEFİR SADE 1000 ML,"89,50"
ALTINKILIÇ KEFİRX ÇİLEKLİ 250...,"39,50"
ALTINKILIÇ LAKTOZSUZ KEFİR 100...,"99,50"
ALTINKILIÇ MANDRA KAŞAR PEYNİR...,"65,00"
ALTINKILIÇ OLG. İNEK PEYNİRİ 1...,"49,00"
ALTINKILIÇ ORMAN MEYVELİ KEFİR...,"39,50"
ALTINKILIÇ OTLU PEYNİRİ 100 G,"49,00"
ALTINKILIÇ SADE KEFİR 250 ML,"39,50"
ALTINKILIÇ TULUM PEYNİRİ 100 G,"65,00"
AMBER ORGANİK KARAKOVAN BAL,"1990,00"
ANKARA MAKARNA ARPA ŞEHRİYE,"30,00"
ANKARA MAKARNA BURGU,"30,00"
ANKARA MAKARNA FİYONK,"30,00"
