product_name,price
Altınküp Toz Şeker 5 kg,199
Altınküp Toz Şeker 2000 g,87.5
Altınküp Küp Şeker 1000 g,52.5
Altınküp Esmer Küp Şeker 500 g,57.9
Piyale Un 5 Kg,120
Piyale Un 2 Kg,54
Piyale Un 1 kg,29.9
Piyale Tam Buğday Unu 2 Kg,82.5
Evin Ayçiçek Yağı 1 L,102.5
Evin Ayçiçek Yağı 2 L,199
Evin Ayçiçek Yağı Pet 5 L,409
Lio Riviera Zeytinyağı 1 L,275
Lio Riviera Zeytinyağı 2 L,510
Lio Sızma Zeytinyağı 1 L,310
Anadolu Mutfağı Yerli Pilavlık Pirinç 2.5 kg,147.5
Anadolu Mutfağı Basmati Pirinç 1 kg,79.5
Anadolu Mutfağı Yerli Pilavlık Pirinç 1 kg,64.5
Anadolu Mutfağı Baldo Pirinç 1 kg,83.5
Anadolu Mutfağı Baldo Pirinç 2500 g,199
Anadolu Mutfağı Yasemin Pirinç 1 kg,62.5
Anadolu Mutfağı Osmancık Pirinç 1 kg,74.5
Anadolu Mutfağı İthal Pilavlık Pirinç 2.5 kg,129
Anadolu Mutfağı İthal Pilavlık Pirinç 1 kg,54.5
Anadolu Mutfağı Osmancık Pirinç 2.5 kg,179
Anadolu Mutfağı Kırık Pirinç 1 kg,32.5
Anadolu Mutfağı Pilavlık Bulgur 1 kg,30
Anadolu Mutfağı İri Pilavlık Bulgur 1 kg,32.9
Dola Glutensiz Pilavlık Bulgur 400 G,79
Anadolu Mutfağı Köftelik Bulgur 1 kg,30
Anadolu Mutfağı Esmer Köftelik Bulgur 1 kg,31.5
Anadolu Mutfağı Esmer Pilavlık Bulgur 1 kg,31.5
Anadolu Mutfağı Yeşil Mercimek 1 kg,67.5
Anadolu Mutfağı Kırmızı Mercimek 1000 g,49.5
Anadolu Mutfağı Kuru Fasulye 1 kg,67.5
Anadolu Mutfağı Barbunya 1 kg,94.9
Anadolu Mutfağı Aşurelik Buğday 1 kg,29.9
Anadolu Mutfağı Cin Mısır 500 g,18
Folife Kinoa Tohumu 250 g,49.9
Anadolu Mutfağı Nohut 1 kg,59.5
Piyale Yüksük Makarna 500 g,15.5
Piyale Kelebek Makarna 500 g,15.5
Piyale Spagetti 500 g,15.5
Piyale İnce Uzun Makarna 500 g,15.5
Piyale Burgu Makarna 500 g,15.5
Piyale Kuskus 500 g,15.5
Piyale Boncuk Makarna 500 g,15.5
Dola Glutensiz Arpa Şehriye 250 G,85
Filiz Yumurtalı Uzun Erişte 350 g,40.95
Barilla Spagetti Makarna No:5 500 g,52.95
Filiz Makarna İnce Uzun 500 g,30
Filiz Makarna Spaghetti 500 g,30
Barilla Lazanya Makarna 500 g,169
Barilla Fusilli (Burgu) Makarna 500 g,52.95
Barilla Penne Rigate (Kalem) Makarna 500 g,52.95
Piyale Arpa Şehriye 500 g,15.5
Piyale Tel Şehriye 500 g,15.5
Piyale Mac&Cheese 208 g Makarna,45
Noodlex Spesiyal Çeşnili Noodle 70 g,12.5
Noodlex Tavuk Aromalı Noodle 70 g,12.5
Noodlex Köri Çeşnili Noodle 70 g,12.5
Indomie Tavuk Çeşnili Noodle 60 g,40
Indomie Sebze Çeşnili Noodle 75 g,19.75
Indomie Spesiyal Çeşnili Noodle 75 g,19.75
Indomie Tavuk Çeşnili Noodle 70 g,19.75
Indomie Köri Çeşnili Noodle 75 g,19.75
Filiz Tam Buğday Burgu Makarna 350 g,34.95
Indomie Köri Aromalı Noodle 60 g ,40
Indomie Noodle Dana Etli 60 g,40
Knorr Çabuk Mac&Cheese Makarna 212 g,99.95
Indomie Tavuklu Hazır Noodle 5'li Paket 350 g,85
Dudomi Tavuk Çeşnili Kıvırcık Erişte Bardak 60 G,32.95
Dudomi Körili Kıvırcık Erişte Bardak 60 g,32.95
Piyale Fiyonk Makarna 500 g,15.5
Piyale Makarna Sosu Pesto 190 g,109
Piyale Makarna Sosu Napoliten 340 g,109
Barilla Napoliten (Napoletana) Makarna Sosu 400 g,162.5
Barilla Pesto Ve Genovese Sos 190 g,162.5
Bezelye Konservesi Bizim Vatan 830 g,44.5
Garnitür Konservesi Bizim Vatan 560 g,39.5
Dilimli Mantar Bizim Vatan 330 g,69
Mısır Konservesi Bizim Vatan 400 g,42.5
Superfresh Mısır Konservesi 3*200 g,81.5
Domates Salçası Bizim Vatan 4300 g,275
Domates Salçası Bizim Vatan 830 g,55
Tat Domates Salçası 830 g,79.9
Acı Biber Salçası Bizim Vatan 650 g,72.5
Tatlı Biber Salçası Bizim Vatan 650 g,72.5
Domates Rendesi Bizim Vatan 700 Gr.,42.9
Tat Domates Püresi 200 g,24.95
Lezztat Peynirli Salamlı Baton Sandviç 140 G,33
Tommis Fıstık Ezmeli Sandviç 140 g,39.9
Tommis Çıtır Tavuk Burger 180 g,43.5
Yayla Glutensiz Nohutlu Karabuğday Pilavı 250 g,59.9
Yayla Peynir Mayası 100 Ml,39.5
Yayla Hazır Glutensiz Sebzeli Karabuğday Pilavı 250 g,59.9
Yaprak Sarma Bizim Vatan 400 g,79.9
Haşlanmış Barbunya Bizim Vatan 800 g,36
Haşlanmış Nohut Bizim Vatan 800 g,36
Barbunya Pilaki Bizim Vatan 400 g,36.5
Haşlanmış Kuru Fasulye Bizim Vatan 800 g,36
Fide İlikli Kemik Suyu 480 Ml,49.9
Aytaç Tavuk Dürüm Döner 170 g,65
Bizim Vatan Patlıcan Salatası 530 G,69.9
Közlenmiş Patlıcan Bizim Vatan 510 g,55
Közlenmiş Biber Bizim Vatan 680 g,92.5
Mezzet Şakşuka 200 g,69.9
Dalfredo Tortellini Taze Makarna 300 g,75
Anacım Mantı 350 g,63
Mezzet Etsiz Acılı Çiğ Köfte 384 g,32.5
Mezzet Rus Salatası 250 g,28.5
Mezzet Yaprak Sarma 300 g,65
Mezzet Acılı Ezme 250 g,37.5
Mezzet Çiğ Köfte Dürüm 180 g,21.5
Evin Margarin 250 g,23
Bizim Paket Margarin 6*250 Gr,245
Bizim Paket Margarin 250 g,45
Terem Paket Margarin 250 g,54
Evin Kase Margarin 250 g,26
Terem Kase Margarin 250 g,65
Becel Zeytinyağlı Kase Margarin 250 g,74.75
Becel Klasik Kase 500 g,123.5
Terem Gurme Kaymaklı Kase Margarin 400 g,103.5
Ketçap Bizim Vatan 500 g,42.9
Ketçap Bizim Vatan 1000 g,67.5
Ketçap Acılı Bizim Vatan 500 g,42.9
Ketçap Acılı Bizim Vatan 1000 g,67.5
Tat Acılı Ketçap 390 g,79.95
Heinz Ketçap 460 g,113
Tat Ketçap 390 g,79.95
Mayonez Bizim Vatan 840 g,121
Mayonez Bizim Vatan 430 g,65.9
Tat Mayonez 330 g,119
Calve Ranch Sos 245 g,99
Hp Barbekü Sos 465 g,185
Heinz Mayonez 400 g,159
Tat Hardal 230 g,99.95
Knorr Çabuk Çorba Kıtırlı Domates 22 g,16.5
Knorr Çabuk Çorba Kremalı Mantar 19 g,16.5
Piyale Mercimek Çorbası 72 g,21.9
Piyale Ezogelin Çorbası 80 g,21.9
Piyale Tarhana Çorbası 65 g,21.9
Piyale İşkembe Çorbası 65 g,21.9
Piyale Kremalı Tavuk Çorbası 62 g,21.9
Piyale Kremalı Mantar Çorbası 65 g,21.9
Piyale Domates Çorbası 65 g,21.9
Piyale Yayla Çorbası 80 g,21.9
Piyale Şehriyeli Tavuk Çorbası 58 g,21.9
Knorr Çabuk Çorba Mercimek 22gr,16.5
Knorr Çabuk Çorba Ezogelin 22 g,16.5
Knorr Kremalı Mantar Çorbası 63 g,39.5
Knorr Kremalı Tavuk Çorbası 65 g,39.5
Knorr Kremalı Domates Çorbası 69 g,39.5
Knorr Mercimek Çorbası 76 g,39.5
Knorr Ezogelin Çorbası 74 g,39.5
Knorr Şehriyeli Tavuk Çorbası 51 g,39.5
Anadolu Mutfağı İri Salamura Tuzu 3 kg,34.9
Anadolu Mutfağı Tuz 750 g,7.5
Anadolu Mutfağı İyotlu Tuz 125 g,7.9
Billur Tuz Rafine İyotlu Sofra Tuzu 500 g,49.9
Billur Tuz İyotlu 750 g,32.9
Anadolu Mutfağı Kajun Çeşnisi 75 G,39.9
Anadolu Mutfağı Tane Karabiber 50 g,80.9
Anadolu Mutfağı Tarçın 75 g,28.5
Anadolu Mutfağı Susam 75 g,17
Anadolu Mutfağı Karabiber 90 g,63.9
Anadolu Mutfağı Tatlı Toz Kırmızı Biber 50 g,17
Anadolu Mutfağı Sumak 50 g,29.9
Anadolu Mutfağı Kuş Üzümü 75 g,79.5
Anadolu Mutfağı Nane 30 g,12.75
Anadolu Mutfağı Kimyon 75 g,31
Anadolu Mutfağı Dolmalık Fıstık 25 g,149
Anadolu Mutfağı Karanfil 15 g,27.75
Anadolu Mutfağı Köri 35 g,19.95
Anadolu Mutfağı Kekik 20 g,20.9
Anadolu Mutfağı Hindistan Cevizi 50 g,28.5
Anadolu Mutfağı Kırmızı Pul Biber 75 g,29.9
Anadolu Mutfağı Çörek Otu 75 g,23
Anadolu Mutfağı Limon Tuzu 50 g,19.95
Anadolu Mutfağı Karbonat 100 g,11.25
Anadolu Mutfağı Karbonat 1 kg,64.9
Anadolu Mutfağı Kabuklu Tarçın 45 g,34.75
Anadolu Mutfağı Kırmızı Pul Biber 250 g,98.9
Anadolu Mutfağı Tane Karabiber 58 g,80.9
Anadolu Mutfağı Zerdeçal 35 g,17.5
Anadolu Mutfağı Zencefil 30 g,22.9
Anadolu Mutfağı Mavi Haşhaş 100 g,49.5
Anadolu Mutfağı Köfte Harcı 100 g,34.9
Knorr Köfte Harcı 82 g,49.9
Knorr Çıtır Pane Harcı 90 g,49.9
Knorr Tavuk Çeşnisi Mangal Lezzeti 29 g,49.9
Anadolu Mutfağı Çiğ Köfte Harcı 430 g,59.9
Anadolu Mutfağı Sebzeli Çeşni 200 g,34.9
Piyale Et Bulyon 12'li 120 g,23.95
Knorr Et Suyu Bulyon 120 g,47.75
Piyale Tavuk Bulyon 12'li 120 g,23.95
Knorr Tavuk Suyu Bulyon 120 g,47.75
Ton Balığı Bizim Vatan 2*160 g,99
Dardanel Ton Balığı Ekonomik 3x75 Gr,214
Superfresh Ton Balığı 3*75 g,249
Limon Suyu 750 ml Bizim Vatan,54.5
Beyaz Sirke Bizim Vatan 5 L,79.9
Beyaz Sirke Bizim Vatan 2 Lt,32.5
Nar Ekşisi Bizim Vatan 250 ml,115
Elma Sirkesi Bizim Vatan 750 ml,27
Üzüm Sirkesi Bizim Vatan 750 ml,27
Şef Franzi Soya Sosu 250 ml,59.9
Şef Franzi Srıracha Acı Sos 510 g,115
Piyale Hamur Kabartma Tozu 15'li Paket,18
Piyale Şekerli Vanilin 15'li Paket,17.25
Dr. Oetker Hamur Kabartma Tozu 15'li,41.5
Dr. Oetker Şekerli Vanilin 15'li,30.75
Ülker Toz Kakao 50 g,59.95
Piyale Sakızlı Muhallebi 150 g,18.9
Piyale Tavukgöğsü 125 g,18.9
Piyale Supangle 143 g,31
Dr.Oetker Airfryer Çikolatalı Kek 4'lü 196 g,99.9
Dr.oetker Jelatin 2'li,17.5
Bişkin Haşhaş Ezmesi 250 g,67.5
Dr. Oetker Profiterol 360 g,114.5
Piyale Puding Bitter Çikolatalı 115 g,25
Piyale Çilekli Puding 125  g,9.75
Piyale Vanilyalı Puding 125 g,9.75
Piyale Puding 115 g Çikolata Parçalı,25
Piyale Muzlu Puding 125 g,9.75
Dr. Oetker Bitter Çikolatalı Puding 111 g,43.5
Dr. Oetker Kakaolu Puding 196 g,54.5
Piyale Bitter Damla Çikolata 250 g,135
Piyale Sade Krem Şanti 150 g,32.5
Piyale Pasta Kreması Sade 140 g,33.5
Dr.oetker Krem Şanti 144 G,77.5
Ülker Bitter Damla Çikolata 120 g,139.95
Piyale Galeta Unu 400 g,30
Piyale Mısır Unu 500 g,21
Piyale Mısır Nişastası 200 g,14
Piyale Buğday Nişastası 200 g,17.5
Piyale Pudra Şekeri 250 g ,23.5
Dr. Oetker Orman Meyveli 81 G+Fındık Aromalı Puding 102 G,45.9
Piyale Pirinç Unu 250 g,23.5
Piyale Çikolatalı Sos 128 g,28
Piyale İnstant Maya 3*11 g,12
Piyale Yaş Maya 4x42 g,12.5
Piyale İrmik 500 g,17.5
Piyale Ekşi Maya 35 gr,15.9
Dr. Oetker Instant Maya 3x10 g,28.5
Acı Biber Turşusu Bizim Vatan 325 g,47.5
Biberiye Bizim Vatan 325 g,47.5
Salatalık Turşusu Bizim Vatan 3000 Gr,169
Karışık Turşu Bizim Vatan 3000 g,149
Kornişon Turşusu Bizim Vatan 330 g,62.5
Kornişon Turşusu Bizim Vatan 670 g,66.5
Şok Ramazan Erzak Paketi,550
Lezztat Peynirli Baton Sandviç 140 G,33
Lezztat Peynirli Zeytin Ezmeli Baton Sandviç 140 G,33
Gedik Piliç Parmak Bonfile kg,219
Gedik Piliç Kalçalı But Kg,105
Gedik Piliç Bonfile Kg ,249
Gedik Piliç But Izgara Tava Kg ,269
Gedik Piliç Izgara Kanat Kg,249
Gedik Piliç But Pirzola Kg,169
Gedik Piliç Baget Kg,135
Gedik Piliç Ciğer Kg,85
Gedik Bütün Piliç Kg,105
Gedik Piliç Köfte 240 G,55
Gedik Piliç Schnitzel 700 g,119
Banvit Piliç Schnitzel 700 g,119
Gedik Piliç Nugget 300 Gr,60
Gedik Piliç Acılı Kebap 400 Gr,82.5
Lezzetlim Dana Döner 300 g,215
Lezzetlim Dana Kıyma 400 g,289
Lezzetlim Dana Kuşbaşı 400 g,379
Anadolu Çiftliği L Yumurta 15'li (63-72 g),92.9
Anadolu Çiftliği M Yumurta 30'lu (53-63 g),155
Anadolu Çiftliği Gezen Tavuk Yumurta M 10'lu 53-62,95
Anadolu Çiftliği Omega 3 M 10'lu (53-62 Gr),75
Bıldıryum Bıldırcın Yumurtası 12 Adet,55.9
Güzide Hanım M Organik Yumurta 6'lı (53-62 g),65
Sultan Dana Evlik Sucuk 300 G,274
Cumhuriyet Dana Parmak Sucuk 300 g,450
Sultan Dana Kasap Sucuk 400 Gr,339
Sultan Baton Sucuk Isıl İşlem 380 g,249
Sultan Çatal Sucuk Isıl İşlem 450 Gr,339
Sultan Kangal Sucuk Isıl İşlem 250 g,170
Aytaç Çiftlik Piliç Dilimli Sucuk 400 g,95
Gedik Piliç Baton Sucuk 450 Gr,103
Banvit Piliç Baton Sucuk 450 Gr,103
Gedik Piliç Kangal Sucuk 250 Gr,59
Sultan Dana Macar Salam 60 g,37.5
Namet Dana Macar Salam 60 g,47.75
Maret Hindi Salam 500 G,97.5
Polonez Mini Lezzet Hindi Fıstıklı Salam 50 G,25
Polonez Mini Lezzet Hindi Salam 75 G,29.75
Gedik Piliç Salam 850 G,84
Banvit Bi Dilim Piliç Salam 60 g,18
Banvit Piliç Salam 850 g,84
Polonez Piliç Salam 60 Gr,18
Sultan Dana Kokteyl Sosis 250 g,139
Aytaç Dana Sosis 190 g,122
Maret Hindi Sosis 130 g,35
Gedik Piliç Kokteyl Sosis 500 G,85
Lezzetlim Dana Kavurma 150 g,219
Sultan Premium Dana Kavurma 100 g,205
Polonez Zeytinyağlı Otlu Piliç Füme Eti 150 g,115
Polonez Fit Yaşam Piliç Füme 60 G,27.5
Polonez Dana Füme Eti 50 g,68.5
Aytaç Gurme Dilimli Hindi Füme 60 g,44
Lezzetlim Dilimli Pastırma 120 g,259
Aytaç Geleneksel Dana Sırt Pastırma 100 g,279
Polonez Mini Lezzet Dana Jambon 50 G,42.5
Patates Kg,17.9
Limon Kg,99
Maydanoz Demet,24.9
Kuru Soğan Kg,12.9
Yerli Muz Kg,89.9
Mandalina Kg,39.9
Domates Kg,74.9
Portakal Kg,43.9
Salatalık Kg,119
Atom Salata Adet,74.9
Avokado Adet,54.9
Sıkmalık Portakal File Kg,39.9
Salkım Domates Kg,79.9
Kırmızı Soğan Kg,49.9
Elma Starking Kg,89.9
Greyfurt Kg,49.9
Havuç Kg,34.9
Elma Granny Kg,109
Çarliston Biber Kg,114
Golden Elma Kg,89.9
Armut Deveci Kg,99
Kırmızı Biber Kg,125
Dolmalık Biber Kg,129
Karnabahar Kg,44.9
