Merkez Hatlar,İstanbul Kart
Tam (TL),Öğrenci 30 Yaş (TL)
KARAKÖY - KADIKÖY,65.21
EMİNÖNÜ - KADIKÖY,65.21
BEŞİKTAŞ - KADIKÖY,65.21
KADIKÖY - KABATAŞ*,62.70
ÜSKÜDAR - EMİNÖNÜ,58.52
BOĞAZ HATTI*,76.90
UĞRAMALI HATLAR*,76.90
3 iskeleden fazla uğramalı,76.90
(Adalar Hariç),76.90
ORTAKÖY-ÜSKÜDAR*,51.81
ORTAKÖY-KADIKÖY*,71.07
ÜSKÜDAR-KADIKÖY*,62.70
BEYKOZ-SARIYER*,61.04
ÇENGELKÖY - KUZGUNCUK - BEŞİKTAŞ- KABATAŞ HATTI*,61.85
BEŞİKTAŞ - HALİÇ HATTI*,76.90
KADIKÖY - HALİÇ HATTI*,76.90
ÜSKÜDAR-HALİÇ HATTI*,76.90
BOSTANCI - MODA - KARAKÖY - KABATAŞ HATTI*,76.90
ÜSKÜDAR - AŞİYAN,68.53
AŞİYAN - ANADOLU HİSARI - KÜÇÜKSU*,50.15
İSTİNYE-ÇUBUKLU HATTI,50.15
Aktarma,Tam (TL)
1. AKTARMA,41.43
2. AKTARMA,34.28
3. AKTARMA,29.92
4. AKTARMA,29.92
5. AKTARMA,29.92
Adalar Hattı,Tam (TL)
ADAKARTSIZ/ADAKARTLI,Tam (TL)
BOSTANCI - ADALAR,"151,23 / 90,70"
KABATAŞ- ADALAR,"151,23 / 90,70"
KADIKÖY - ADALAR,"151,23 / 90,70"
BEŞİKTAŞ - ADALAR,"151,23 / 90,70"
MALTEPE - ADALAR HATTI,"151,23 / 90,70"
TUZLA-PENDİK-BÜYÜKADA HATTI,"151,23 / 90,70"
AKTARMA,"151,23 / 56,64"
