Yolcu (Tam),110.0
Yolcu (Öğrenci),110.0
"Yolcu (Sosyal, İndirimli 2)",110.0
Bisiklet,0
Motosiklet,100.0
"Otomobil, Minivan",240.0
"Arazi Aracı (SUV, Off Road, Jip Vb)",240.0
Panelvan,320.0
"Minibüs, Midibüs (1-19 koltuk)Karavan, Moto Karavan ve Çekme Karavan",320.0
Otobüs (20-27 koltuk)*,1250.0
"Azami yüklü ağırlığı 3500 kilogramı geçmeyen ve yük taşımak için imal edilmiş N1 kategorisindeki motorlu taşıt (Panelvan, Minivan dahil) N1 araç",540.0
Yolcu Tam,93.5
Yolcu İndirimli,60.5
Kredi Kartı Temassız Geçiş,120.0
"Otomobil, Minivan, Jip, Minibüs, Midibüs, Kamyonet (Aks aralığı 0 m - 3,20 m)",850.0
"Kamyonet (Aks aralığı 3,21 m - 7,20 m)",1460.0
"Kamyon, Otobüs (2,3,4 Aks)",1610.0
Dorseli Çekiciler 4-5 Aks TIR,2250.0
Motosiklet,450.0
