Güzergah,Ücret
BŞK1-BŞK2-BŞK3-BŞK4-BŞK5 / BEŞİKTAŞ ÇALIŞMA GRUBU,30 TL
BŞK1-BŞK2-BŞK3-BŞK4-BŞK5 / BEŞİKTAŞ ÇALIŞMA GRUBU,30 TL
BŞK1-BŞK2-BŞK3-BŞK4-BŞK5 / BEŞİKTAŞ ÇALIŞMA GRUBU,39 TL
D11-D12 / BAKIRKÖY - TAKSİM / BAKIRKÖY - ŞİŞLİ,64 TL
D11-D12 / BAKIRKÖY - TAKSİM / BAKIRKÖY - ŞİŞLİ,55 TL
D13-D14 / YEŞİLKÖY - TAKSİM / FLORYA -TAKSİM,TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,30 TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,30 TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,39 TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,84 TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,30 TL
D21-D22-D23-D24-D25-D26-D27-D28 / ÜSKÜDAR - KADIKÖY / ÜSKÜDAR - BAĞLARBAŞI / BAĞLARBAŞI - KADIKÖY / ÜSKÜDAR - BEYKOZ / ÜSKÜDAR - BAĞLARBAŞI - ERZURUM SİTESİ/ ÜSKÜDAR-ÇEKMEKÖY /ÜSKÜDAR-ACIBADEM / KADIKÖY-ÇEKMEKÖY,30 TL
D31-D32-D33-D34- D35-D36-D37-D38 / KADIKÖY - TAKSİM / KADIKÖY - NİŞANTAŞI / KADIKÖY - ŞİŞLİ / KADIKÖY - BOSTANCI / BOSTANCI - ŞİŞLİ / BOSTANCI - TAKSİM / BOSTANCI - PENDİK / SÖĞÜTLÜÇEŞME METROBÜS -BOSTANCI,84 TL
D31-D32-D33-D34- D35-D36-D37-D38 / KADIKÖY - TAKSİM / KADIKÖY - NİŞANTAŞI / KADIKÖY - ŞİŞLİ / KADIKÖY - BOSTANCI / BOSTANCI - ŞİŞLİ / BOSTANCI - TAKSİM / BOSTANCI - PENDİK / SÖĞÜTLÜÇEŞME METROBÜS -BOSTANCI,42 TL
D31-D32-D33-D34- D35-D36-D37-D38 / KADIKÖY - TAKSİM / KADIKÖY - NİŞANTAŞI / KADIKÖY - ŞİŞLİ / KADIKÖY - BOSTANCI / BOSTANCI - ŞİŞLİ / BOSTANCI - TAKSİM / BOSTANCI - PENDİK / SÖĞÜTLÜÇEŞME METROBÜS -BOSTANCI,75 TL
D31-D32-D33-D34- D35-D36-D37-D38 / KADIKÖY - TAKSİM / KADIKÖY - NİŞANTAŞI / KADIKÖY - ŞİŞLİ / KADIKÖY - BOSTANCI / BOSTANCI - ŞİŞLİ / BOSTANCI - TAKSİM / BOSTANCI - PENDİK / SÖĞÜTLÜÇEŞME METROBÜS -BOSTANCI,39 TL
D41-D42 / CEVİZLİBAĞ - TAKSİM / TOPKAPI - TAKSİM,64 TL
D41-D42 / CEVİZLİBAĞ - TAKSİM / TOPKAPI - TAKSİM,42 TL
D43-D44 / AKSARAY - TAKSİM / KOCAMUSTAFAPAŞA - TAKSİM,30 TL
D45-D46 / EMİNÖNÜ - ŞİŞLİ / EMİNÖNÜ - NİŞANTAŞI,30 TL
