isim,fiyat
Bir Porsiyon Döner Yaklaşık 110 gr yaprak döner - tandır lavaşı - salata - patates,650
1.5 Porsiyon Döner Yaklaşık 165 gr yaprak döner ve tüm garnitürler,950
Duble (2 Porsiyon) Döner Yaklaşık 220 gr yaprak döner ve tüm garnitürler,1250
Pilav Üstü Döner (Porsiyon) Tereyağlı pirinç pilavı üzerinde döner,680
Kilo ile Döner (Paket) 1 Kg pişmiş yaprak döner (Lavaş ve garnitür ile),5800
Fırın Sütlaç Taş fırında pişmiş - üstü yanık klasik,220
Kadayıf Tatlısı Bol fıstıklı - şerbetli,250
Ayran (Açık/Büyük) Bol köpüklü - büyük bardak,90
Kutu İçecekler 330 ml standart kutu,80
Türk Kahvesi Yemeğin ardından,95
Mayıs 15,2026
Del Mare Menü Fiyatları 2026 – Çengelköy’ün Balık İncisi Mayıs 28,2026
Mayıs 28,2026
Doyuyo Menü Fiyatları 2026 – Çıtır Tavuğun Gurme Hali Aralık 10,2025
Aralık 10,2025
Subway Menü Fiyatları 2026 – Dünyanın En Büyük Sandviç Zinciri Mayıs 28,2026
Cajun Corner Menü Fiyatları 2026 – Çıtır Tavuk ve Baharat Şöleni Mayıs 15,2026
Komşu Kahve Menü Fiyatları 2026 – Samimi ve Sıcak Mahalle Durağı Mayıs 28,2026
Hot Döner Menü Fiyatları 2026 – Acılı ve Soslu Lezzet Mayıs 31,2026
Mayıs 31,2026
Menü Fiyatları – Güncel Menü Fiyat Listeleri,2026
Yaklaşık 110 gr yaprak döner - tandır lavaşı - salata - patates,650
Yaklaşık 165 gr yaprak döner ve tüm garnitürler,950
Yaklaşık 220 gr yaprak döner ve tüm garnitürler,1250
Tereyağlı pirinç pilavı üzerinde döner,680
1 Kg pişmiş yaprak döner (Lavaş ve garnitür ile),5800
Taş fırında pişmiş - üstü yanık klasik,220
Bol fıstıklı - şerbetli,250
Bol köpüklü - büyük bardak,90
330 ml standart kutu,80
Soğuk servis,40
Yemeğin ardından,95
Bayramoğlu Döner menü fiyatları,2026
Uludağ Kebap (1 Porsiyon) Pide üzerinde yaprak et döner - domates sosu - yoğurt ve tereyağı,780
Uludağ Kebap (1,1150
Uludağ Kebap (Duble/2 Porsiyon) Gerçekten çok aç olanlar veya etin tadına doyamayanlar için çift porsiyon,1500
Çocuk Porsiyonu Daha az pide ve et ile servis edilen küçük tabak,550
Sade Döner (Porsiyon) Altında pide olmadan - yanında garnitür ile (Glutensiz beslenenler için ideal),750
Kuru Üzüm Şırası: Doğal fermantasyonla yapılan - asitsiz ve şekersiz - hafif mayhoş efsane içecek,120
Kutu İçecekler,90
Su,40
Köz Patlıcan (Söğürme): Tereyağlı ve sıcak servis edilir. İskenderin yanına çok yakışır,180
Yoğurt (Ekstra): Tabağın kenarındaki yetmezse,90
Kemalpaşa Tatlısı: Bursa’nın klasiği. Üzerine tahin ve cevizle,220
Sütlü Kadayıf: Hafif bir kapanış için,240
Kestane Şekeri (Porsiyon): Uludağ’ın simgesi,280
Aralık 11,2025
Gloria Jean’s Menü Fiyatları 2026 – Dünya Kahve Lezzetleri ve Frozen Çeşitleri Mayıs 15,2026
Safa Tepesi Sosyal Tesisi Menü Fiyatları 2026 – İstanbul’un Gözetleme Kulesi Mayıs 15,2026
Happy Moons Menü Fiyatları 2026 – Kocaman Porsiyonlar - Büyük Lezzetler Aralık 10,2025
Tuzla Şelale Park Menü Fiyatları 2026 – Eğitimin ve Lezzetin Buluşma Noktası Mayıs 15,2026
Ciğerci Bahattin Menü Fiyatları 2026 – Mersin Lezzet Efsanesi Aralık 10,2025
7 Mehmet Menü Fiyatları 2026 – Antalya’nın Gastronomi Mabedi Aralık 10,2025
Pide üzerinde yaprak et döner - domates sosu - yoğurt ve tereyağı. Klasik lezzet,780
“Bol etli olsun” diyenler için et oranı %50 artırılmış versiyon. En çok tercih edilen,1150
Gerçekten çok aç olanlar veya etin tadına doyamayanlar için çift porsiyon,1500
Daha az pide ve et ile servis edilen küçük tabak,550
Altında pide olmadan - yanında garnitür ile (Glutensiz beslenenler için ideal),750
Doğal fermantasyonla yapılan - asitsiz ve şekersiz - hafif mayhoş efsane içecek,120
Doğal fermantasyonla yapılan - asitsiz ve şekersiz - hafif mayhoş efsane içecek,80
Tereyağlı ve sıcak servis edilir. İskenderin yanına çok yakışır,180
Tabağın kenarındaki yetmezse,90
Bursa’nın klasiği. Üzerine tahin ve cevizle,220
Hafif bir kapanış için,240
Uludağ’ın simgesi,280
Mevlana Pide ve Konya Fırın Ürünleri Fiyatları,2026
Mevlana Pide (Klasik) İnce hamur - kıyma - domates - biber ve kaşar/tulum peyniri,690
Etli Ekmek (Konya Usulü) Çok ince hamur - kıyma harcı - kenarsız uzun pide,670
Bıçak Arası Pide Kuşbaşı dana eti - soğan - biber. (Genellikle Etli Ekmek hamurunda),700
Karışık Mevlana Pide Kıymalı harç - peynir ve sucuk/pastırma ilaveli,780
Peynirli Pide (Konya Peyniri) Yöresel peynirler - tereyağı ile,650
Kavurmalı Pide Kendi yağında pişmiş kavurma ve kaşar peyniri,820
Lahmacun (Konya Tipi) İncecik hamur - kıymalı harç,320
Fırın Kebabı (Kuzu) Taş fırında pişmiş kemiği ayrılmış kuzu eti (Kilo/Porsiyon),1800
(Yarım Kg),1800
Bamya Çorbası Küçük bamyalı - ekşili - Konya’nın geleneksel çorbası,450
Yoğurt Çorbası (Höşmerim) Taze nane ve yoğurtla,380
Sac Kavurma Kuşbaşı et - domates ve biberle saçta pişirilmiş,750
Akçaabat Köfte (Bazı şubelerde) Izgara köfte - pilav eşliğinde,680
Mevlana Salatası,380
Çiğ Köfte (İkram/Porsiyon),250
Gavurdağı Salatası,400
Ayran (Büyük Yayık),90
Şalgam Suyu,100
Künefe / Kadayıf,380
Fırın Sütlaç,220
Kabak Tatlısı (Tahminli),250
Pizza Taxi Menü Fiyatları 2026 – Hızlı ve Sıcak Lezzet Mayıs 31,2026
Lunch Box Menü Fiyatları 2026 – Dünya Mutfağının Buluşma Noktası Mayıs 28,2026
Kahve Durağı Menü Fiyatları 2026 – Hayata Keyifli Bir Mola Mayıs 28,2026
Fevzi Hoca Menü Fiyatları 2026 – Balığın Profesörü Mayıs 31,2026
Seyran Pastanesi Menü Fiyatları 2026 – Üsküdar’ın Köklü Lezzet Durağı Mayıs 28,2026
Konyalı Ahmet Usta Menü Fiyatları 2026 – Etli Ekmek - Pide ve Konya Mutfağı Spesiyalleri Mayıs 28,2026
İnce hamur - kıyma - domates - biber ve kaşar/tulum peyniri,690
Çok ince hamur - kıyma harcı - kenarsız uzun pide,670
Kuşbaşı dana eti - soğan - biber. (Genellikle Etli Ekmek hamurunda),700
Kıymalı harç - peynir ve sucuk/pastırma ilaveli,780
Yöresel peynirler - tereyağı ile,650
Kendi yağında pişmiş kavurma ve kaşar peyniri,820
İncecik hamur - kıymalı harç,320
Taş fırında pişmiş kemiği ayrılmış kuzu eti (Kilo/Porsiyon),1800
Küçük bamyalı - ekşili - Konya’nın geleneksel çorbası,450
Taze nane ve yoğurtla,380
Kuşbaşı et - domates ve biberle saçta pişirilmiş,750
Izgara köfte - pilav eşliğinde,680
Mevlana Pide menü fiyatları,2026
🥩 Peçenek Döner Porsiyon ve Servis Fiyatları,2026
Porsiyon Döner (Standart) 110-120 gr Yaprak Et,580
1.5 Porsiyon Döner 165-180 gr Yaprak Et,850
Duble Döner (2 Porsiyon) 220-240 gr Yaprak Et,1100
Pilav Üstü Döner Tereyağlı pilav ve 110 gr et,620
Çocuk Porsiyon 70-80 gr Yaprak Et,420
Ekmek Arası Döner (90 gr Et),460
Dürüm Döner (100 gr Et),490
Gobit Arası Döner,480
Kilo ile Pişmiş Döner 1 Kilogram (Sadece Et),5200
Yayık Ayranı Büyük Boy Bardak,80
Mercimek Çorbası Kase,120
Fırın Sütlaç Porsiyon,190
Kadayıf Tatlısı Porsiyon,220
Su / Kutu İçecekler Standart,30
