product_name,price
444 6,661
Mercimek Çorbası,110
Sebzeli Balık Çorbası,150
Serpme Kahvaltı,1250
Hellimli Sucuk Izgara,200
Menemen,150
Hellim Izgara,230
Zerdeçallı Peynir Eritme,255
Kavurmalı Yumurtra,260
Pişi,90
Sosisli Sebzeli Omlet,200
Karışık Omlet,230
Sahanda Yumurta,130
Sucuklu Yumurta,240
Sahanda Sucuk,235
Sade Omlet,150
Peynirli Omlet,210
Haşlanmış Yumurta,40
Kalamar Izgara,415
Karides Güveç,450
Kalamar Tava,415
Tereyağlı Karides,395
Paçanga Böreği,180
Patates Tava,155
Füme Somon Salata,490
Marine Soğan Salatası,240
Beykoz Salata,290
Roka Domates Salatası,240
Akdeniz Salata,240
Tavuklu Salata,365
Ton Balıklı Salata,405
Çoban Salata,240
Muammara,150
Kuru Cacık,130
Pembe Sultan,150
Biber Borani,150
Şakşuka,150
Havuç Tarator,150
Köz Patlıcanlı Haydari,150
Pancar Turşusu,150
Kabak Tarator,150
Mütebbel,150
Közlenmiş Biber,150
Humus,155
Acılı Ezme,150
Girit Ezmesi,215
Atom,150
Dövme Patlıcan Salatası,150
Somon Şiş,790
Somon Izgara,790
Çipura Izgara,515
Izgara Bonfile,960
Çökertme,930
Balık Kokoreç,610
Tavuk Şinitzel,450
Tavuk But Izgara,410
Köri Soslu Tavuk,405
Fish&Chips,365
Spagetti Bolonez,310
Deniz Mahsüllü Spagetti,450
Fettuccine Alfredo,430
Penne Arabiatta,295
Pizza Margarita,375
Dondurma Porsiyon,150
Sansebastian,200
Magnolia Çeşitleri,170
Kabak Tatlısı (Dondurmalı),200
Fırında Helva,180
Çikolatalı Kestaneli Sufle,180
Pişmaniyeli Cheesecake,180
Sarıyer Cola,70
Soğukçay Şeftali 330Ml,70
Soğukçay Limon 330 Ml,70
Sarıyer Portakal,70
Gazoz,70
Sade Soda,25
Ayran,40
Churchill,50
Ev Yapımı Limonata,90
Bardak Çay,20
Fincan Çay,35
Türk Kahvesi,80
Menü son güncelleme: 12 Şubat,2026
12 Şubat,2026
Balık & Deniz Ürünleri İftar Menüsü ₺₺ Pul Balık İftar Menüsü,490
Kartal - İstanbul 4.3 1 ürün Pizza & Makarna İftar Menüsü ₺₺ Hr. Italy İftar Menüsü,850
Pul Balık İftar Menüsü,490
Hr. Italy İftar Menüsü,850
0212 528 03,90
00 - 00:00 Perşembe 12:00 - 00:00 Cuma 12:00 - 00:00 Cumartesi 12:00 - 00:00 Pazar 12:00 - 00:00 Menü İftar Menüsü (1) İftar Menüsü Kişi Başı Fix Menü,2200
Menü İftar Menüsü (1) İftar Menüsü Kişi Başı Fix Menü,2200
İftar Menüsü Kişi Başı Fix Menü,2200
Kişi Başı Fix Menü,2200
Menü son güncelleme: 13 Şubat,2026
13 Şubat,2026
Et Restoranı İftar Menüsü ₺₺₺₺ Şazeli Florya İftar Menüsü,3200
Bakırköy - İstanbul 4,2650
Bakırköy - İstanbul 4 1 ürün Türk Mutfağı İftar Menüsü ₺₺₺₺ Oba Sultan Cafe Restoran İftar Menüsü,1750
Şazeli Florya İftar Menüsü,3200
Ziya Şark Sofrası Florya İftar Menüsü,2650
Oba Sultan Cafe Restoran İftar Menüsü,1750
0312 329 40,49
i (3) İftar Menüleri Ekmek Arası veya Lavaş Dürüm Döner Döner (Ekmek arası veya Lavaş) - Patates Kızartması - Tatlı - Günün Çorbası - Ayran veya Cola - Su,300
Pilav Üstü veya Servis Döner Döner (Pilav üstü veya Porsiyon servis) - Patates Kızartması - Tatlı - Günün Çorbası - Ayran veya Cola - Su,350
İskender veya Köfte Ekmek İskender veya Köfte Ekmek - Patates Kızartması - Tatlı - Günün Çorbası - Ayran veya Cola - Su,370
İftar Menüleri Ekmek Arası veya Lavaş Dürüm Döner Döner (Ekmek arası veya Lavaş) - Patates Kızartması - Tatlı - Günün Çorbası - Ayran veya Cola - Su,300
Ekmek Arası veya Lavaş Dürüm Döner Döner (Ekmek arası veya Lavaş) - Patates Kızartması - Tatlı - Günün Çorbası - Ayran veya Cola - Su,300
Menü son güncelleme: 27 Şubat,2026
27 Şubat,2026
Döner İftar Menüsü ₺₺ Uzun Yayla Döner İftar Menüsü,1100
Tuzla - İstanbul 4 10 ürün Burger İftar Menüsü ₺₺ Il Pollo Del Capo Sincan İftar Menüsü,390
Sincan - Ankara 4.9 1 ürün Et Restoranı İftar Menüsü ₺₺₺₺ EtYe Kassap İftar Menüsü,1500
Uzun Yayla Döner İftar Menüsü,1100
Il Pollo Del Capo Sincan İftar Menüsü,390
EtYe Kassap İftar Menüsü,1500
stü Döner - Kiremitte Köfte - İskender Kebap - Izgara Köfte - Döner Beyti - Ciğer - Adana Kebap - Kebap Beyti veya Kapalı Kaşarlı Döner seçeneklerinden biri,950
Menü 2 Tavuk Kanat - Kaşarlı Pide - Tavuk Şiş - Kıymalı Pide - Kiremitte Tavuk veya Mantarlı Pide seçeneklerinden biri,850
Menü 3 Kuşbaşılı Pide - Karışık Pide - Kuşbaşılı Kaşarlı Pide veya Kıymalı Kaşarlı Pide seçeneklerinden biri,900
Menü son güncelleme: 19 Şubat,2026
19 Şubat,2026
Menü son güncelleme: 24 Şubat,2026
24 Şubat,2026
