Tarih,UrunID,UrunAdi,FiyatFloat
2026-09-06,1865303,iPhone 17 Pro Max 256GB Abis Akıllı Cep Telefonu MFYP4TU/A,123194.85
2026-09-06,1836955,C30 Black Eessenza Mini Espresso Kahve Makinesi,8940.0
2026-09-06,1934131,50's Style Bella Casa Krem 6 Parça Wedding Set,102390.0
2026-09-06,1947412,Bellaria Vetro Air Purifier Giallo Hava Temizleme Cihazı,70300.0
2026-09-06,1407596,Meta Quest 3 512 GB Beyaz VR Sanal Gerçeklik Gözlüğü ,36929.49
2026-09-06,1853888,Gri Türk Kahvesi Makinesi,18250.0
2026-09-06,1813790,Serie 6 10 kg 12 Program A Enerji Sınıfı 1200 Çamaşır Makinesi WGK252Z0TR,34499.0
2026-09-06,1947414,Bellaria Vetro Air Purifier Grigio Hava Temizleme Cihazı,70300.0
2026-09-06,1969919,50's Style Bella Casa Svan+ 6 Parça Wedding Set,105950.0
2026-09-06,1916229,Spot+Scrub™ Ai Islak ve Kuru Temizleme Özellikli Robot Süpürge,49999.0
2026-09-06,1806616,Instax 20'li Film Tüm Mini Makineler ile Uyumlu,1299.0
2026-09-06,2042744,Qrevo Curvx Beyaz Akılı Robot Süpürge,66314.74
2026-09-06,1660352,IPL9850 PureCare 3.000.000 Atımlı Buz Lazer Epilasyon Cihazı,23999.0
2026-09-06,2075935,Ear Siyah Kulak içi Bluetooth Kulaklık,5999.0
2026-09-06,1703182,Humidify+Cool™ Ph2 De-Nox Nemlendirme Özellikli Hava Temizleyici (Beyaz/altın),41999.0
2026-09-06,1874282,PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol Kırmızı+ PS5 Şarj İstasyonu (Yeni Sürüm),47262.11
2026-09-06,1957504,Swirl by Creami 13-in-1 Soft Serve ve Dondurma Makinesi Frosted Strawberry Matcha  ,19999.0
2026-09-06,2075140,F1 Max Çift Kameralı Mavi Akıllı Çocuk Saati,2999.0
2026-09-06,1999895,Floor One S9 Artist Steam Siyah Islak ve Kuru Dikey Süpürge,36740.0
2026-09-06,1706738,Purifier Hot+Cool HP1 Beyaz Hava Temizleyici,34999.0
2026-09-06,1387958,PlayStation VR2 PS5 Sanal Gerçeklik Gözlüğü,28209.47
2026-09-06,1994517,RHS8900P EasyStraight 3in1 Hava Üflemeli Saç Düzleştirici,12999.0
2026-09-06,1729787,"iPad 11. Nesil A16 11"" Wi-Fi 128GB Pembe Tablet MD4E4TU/A",25772.16
2026-09-06,1980624,"MacBook Air 13"" M5 Çip 10 Çekirdekli CPU 8 Çekirdekli GPU 16GB Bellek 512GB SSD Gök Mavisi Laptop MDHH4TU/A",83504.12
2026-09-06,1853749,V16 Piston Animal Submarine™ Islak Kuru Kablosuz Süpürge (Mat Siyah/Bakır),53999.0
2026-09-06,2004339,TKM 9961 G Gri Türk Kahvesi Makinesi,13309.0
2026-09-06,1990402,Momentum 4 Wireless Kulak Üstü Bluetooth Kulaklık,26999.0
2026-09-06,1595930,Arete One 12L Nem Alma ve Hava Temizleme Cihazı,20999.99
2026-09-06,2010825,50's Style Dolce Casa Krem 5 Parça Wedding Set,94890.0
2026-09-06,1607201,Powelix Activflow Expert Gümüş Blender,6499.0
2026-09-06,1982962,Silk·expert Pro 5 IPL Lazer Epilasyon Aleti + 4 Başlık PL5412,29499.0
2026-09-06,1742093,Detect Power BlendSense Blender Mutfak Seti,15999.0
2026-09-06,1742098,StainStriker Pet Başlıklı Leke Çıkarma ve Koltuk Yıkama Makinesi,7999.0
2026-09-06,1967758,50's Style Bella Casa Black+ 6 Parça Wedding Set,102390.0
2026-09-06,1280610,Peach 2 IPL Epilasyon Cihazı,23399.0
2026-09-06,1728058,RMS9200P Aeroflex 7in1 Saç Şekillendirici,19999.0
2026-09-06,2075936,HeadPhone (1) Siyah Kulak Üstü Bluetooth Kulaklık,9999.0
2026-09-06,1990459,Osmo Pocket 4 Standard Combo Gimbal,31599.0
2026-09-06,2055743,"75QN80H 4K Ultra HD 75"" 190 Ekran Uydu Alıcılı Smart Neo QLED TV",117499.0
2026-09-06,1600033,Normatec 3 Leg Dinamik Hava Kompresyon Masaj Sistemi,75900.0
2026-09-06,1756756,Logo Desenli Siyah Kulak Üstü Bluetooth Kulaklık,4951.9
2026-09-06,1544830,Buhar Basınçlı Antibakteriyel Kırık Beyaz Paspas ve Mop Seti,2999.0
2026-09-06,1966211,Airwrap i.d.™ Saç Şekillendirme ve Kurutma Seti (Ceramic Apricot),28999.0
2026-09-06,2077955,HushJet™ Carnelian/Sky Mini Cool Fan,4999.0
2026-09-06,1789575,LOQ İntel Core i7 12650HX 16GB Ram 512GB SSD RTX4050 6 GB 15.6'' FHD Freedos Gaming Laptop 83LK002VTR,48499.0
2026-09-06,1206007,Ixeo Power QT2020 Hepsi Bir Arada Yüksek Basınçlı Kazanlı Ütü,27299.9
2026-09-06,1628922,AirPods 4. Nesil Kulak İçi Bluetooth Kulaklık,8555.67
2026-09-06,1793245,TSC643 WP T1 Isı Pompalı Kurutma Makinesi 8 kg,88391.5
2026-09-06,1902658,Soundsticks 5 Siyah Bluetooth Hoparlör,25881.18
2026-09-06,1948169,Beoplay H100 Kablosuz ANC Kulak Üstü Bluetooth Kulaklık (100. Yıl Özel Sürüm - Limited),144999.0
2026-09-06,1887968,Momentum 4 Wireless Kablosuz Kulak Üstü Bluetooth Kulaklık,26999.0
2026-09-06,1630196,BeoSound Balance Multiroom Siyah Hi-Fi Bluetooth Hoparlör,249999.0
2026-09-06,1613036,Theragun Prime Plus Masaj Aleti,26200.0
2026-09-06,1689844,3000 Serisi Çift Hazneli Airfryer NA350/00 9 lt Yağsız Fritöz,10089.0
2026-09-06,1999722,50's Style Moonlight® Mat Filtre Kahve Makinesi,19800.0
2026-09-06,1896295,BTH13 Pembe Gradyan Kedi Kulaklı Unisex Çocuk Kulak Üstü Bluetooth Kulaklık,2599.0
2026-09-06,1999847,Winbot Mini Cam Silme Robotu ,19999.0
2026-09-06,1962989,Body Mini Trimmer BS1000 Vücut Tüy Kesme Makinesi + Düzeltici Tarak Pil ve Temizleme Fırçası,1299.0
2026-09-06,1999720,50's Style Moonlight® Mat Kettle,19800.0
2026-09-06,2063258,MoveTime MT42 Family Siyah Sarı Akıllı Çocuk Saati,7699.0
2026-09-06,1061251,FashionMaster Antrasit Lotus Beyazı Buharlı Ütü Sistemi B4847 ,164242.5
2026-09-06,1780677,Saffiano Serisi ANC/ENC Özellikli Kulak Üstü Bluetooth Kulaklık,10313.9
2026-09-06,1286276,Fresh Express Max Doğrayıcı,5999.0
2026-09-06,1818619,Partybox 520 Siyah Bluetooth Hoparlör,62235.29
2026-09-06,1911298,SDC465 The Luxe Brewer™ Thermal Filtre Kahve Makinesi,54999.0
2026-09-06,1923856,Beosound A5 Meşe Ağacı Taşınabilir Bluetooth Hoparlör,133999.0
2026-09-06,1997256,EP8757/20 8000 Serisi Café Aromis Tam Otomatik Kahve Makinesi,44899.0
2026-09-06,1672909,Rd 953 Siyah Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.0
