Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
Siemens DW15701 Gizli Damacanalı Gri Su Sebili,11999.0,11999.0,TRY,0002223534001,1900814,Siemens,True,,Elektronik,Elektronik Diğer,,Elektronik > Elektronik Diğer,Elektronik Diğer,https://www.dr.com.tr/kategori/elektronik-diger,https://www.dr.com.tr/elektronik/siemens-dw15701-gizli-damacanali-gri-su-sebili/elektronik-diger/urunno=0002223534001,https://i.dr.com.tr/cache/180x245-0/originals/0002223534001-1.jpg
Amplify Disney Moana Lisanslı Kablolu Çocuk Kulaklığı,499.0,699.0,TRY,0001848820001,1171360,Volkano,True,Sepette,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/volkano-disney-moana-cocuk-klk/ev-elektronigi/kulakliklar/kulakustu-kulakliklar/urunno=0001848820001,https://i.dr.com.tr/cache/180x245-0/originals/0001848820001-1.jpg
Apple AirPods Max 2 Gece Yarısı,36999.0,36999.0,TRY,0002220049001,1893736,Apple,True,,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-max-2/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002220049001,https://i.dr.com.tr/cache/180x245-0/originals/0002220049001-1.jpg
Apple AirPods Max 2 Mavi,36999.0,36999.0,TRY,0002220049003,1893738,Apple,True,,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-max-2/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002220049003,https://i.dr.com.tr/cache/180x245-0/originals/0002220049003-1.jpg
Apple AirPods Max 2 Mor,36799.0,36799.0,TRY,0002220049005,1893740,Apple,True,,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-max-2/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002220049005,https://i.dr.com.tr/cache/180x245-0/originals/0002220049005-1.jpg
Apple AirPods Max 2 Turuncu,36799.0,39999.0,TRY,0002220049004,1893739,Apple,True,Sepette,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-max-2/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002220049004,https://i.dr.com.tr/cache/180x245-0/originals/0002220049004-1.jpg
Apple AirPods Max 2 Yıldız Işığı,36999.0,36999.0,TRY,0002220049002,1893737,Apple,True,,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-max-2/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002220049002,https://i.dr.com.tr/cache/180x245-0/originals/0002220049002-1.jpg
Apple AirPods Pro (2. Nesil) Magsafe Şarj Kutusu (Usb-C) MTJV3TU/A,11999.0,12999.0,TRY,0002084239001,1628445,Apple,True,Sepette,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-pro-2-nesil-usb-c-kutulu/ev-elektronigi/kulakliklar/kulakici-kulakliklar/urunno=0002084239001,https://i.dr.com.tr/cache/180x245-0/originals/0002084239001-1.jpg
Apple AirPods Pro 3 MFHP4TU/A,13499.0,15499.0,TRY,0002187966001,1831534,Apple,True,Sepette,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/apple-airpods-pro-3-mfhp4tu-a/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002187966001,https://i.dr.com.tr/cache/180x245-0/originals/0002187966001-1.jpg
B&W PX8 Dark Forest Küstü Kulaklık Koyu Yeşil,31999.0,48999.0,TRY,0002147163001,1748403,B&W,True,Sepette,Elektronik,Ev Elektroniği,Kulaklıklar,Elektronik > Ev Elektroniği > Kulaklıklar,Ev Elektroniği,https://www.dr.com.tr/kategori/elektronik/ev-elektronigi/grupno=00995,https://www.dr.com.tr/elektronik/b-w-px8-dark-forest-kustu-klklk-koyuyesl/ev-elektronigi/kulakliklar/kablosuz-kulakliklar/urunno=0002147163001,https://i.dr.com.tr/cache/180x245-0/originals/0002147163001-1.jpg
