product_name,price
B D Ld12ska-tr 12v Vidalama+30 Prç Aks,1999.0
"Te-cd 18/44 Li-i Darbeli Vidalama 1x2,5a",3999.0
LD12SP Akülü Vidalama,2799.0
Promo Blister Akülü Vidalama + 24 Parça Aksesuar,599.9
Sds-plus 11&#039;li Alüminyum Çantalı Uç Ve Keski Seti - 2608578765,1350.0
Bits Uç Seti Üçlü 89 mm,359.9
"Tp-Cd 18/60 Li Bl - Solo, Akülü Vidalama",3999.0
Pz Vidalama Ucu Üçlü 89 mm,359.9
Dt7969-qz 32 Parça Vid Uç Seti,949.9
10 Adet Vidalama Ucu ve 20 cm Uzatma Adaptörü,359.9
Bits Uç Takımı 7 Parça,519.9
DCD710D2 10.8 Li-Ion Çift Akülü Vidalama,8499.0
Mini X-Line 25 Parçalı Vidalama Seti,419.9
10 Adet Vidalama Ucu ve 30 cm Uzatma Adaptörü,379.9
Vidalama Ucu 50 mm PH/PZ/SL,107.9
10mm Çelik Mandren Vidalama Mkd5p,1663.0
Rtl8060 21v 3.0ah Profesyonel Şarjlı Darbeli Vidalama Makinesi,4900.0
Dcd771S2 Vidalama Matkabı Şarjlı 18 Volt 1.5 Ah,7320.0
Impact Control Serisi Vidalama Ucu 8&#039;li PH2 *50mm,453.7
Hızlı Uç Değiştirme Mandrenli Üniversal Tutucu *60mm 1/4&#034; Altıgen Şaft,522.49
Gsr 185-li Darbesiz Vidalama 2 Akü,9334.0
Akülü Vidalama GSR 180-LI,8714.0
Impact Control Serisi Vidalama Ucu 8&#039;li PH2x2/PZ2x2/T20/T30 *50mm + Standart Tutucu *60mm,449.0
Uneo Maxx Çift Akülü Vidalama,11114.0
Pozidriv Bits Uç PZ2,139.9
Impact Control Serisi Çift Taraflı Vidalama Ucu 8&#039;li PH2x4 /PZ2x4 *110mm,733.37
Profesyonel 32 Parça  Vidalama Uç Seti - 2607017319,625.99
Cheli̇kbei̇ Onlu Set (led Işık + Kırıcı Delici Matkap+avuç Taşlama+somun Sıkma+vidalama+sunta Kesme+dekupaj+lazer Metre+oto Yıkama+çok Fonksiyonlu Avuç Taşlama),17768.0
Impact Control Serisi Vidalama Ucu 8&#039;li PH1/PH2 x3/PH3/PZ2 x2/PZ3 *25mm,589.0
Extra Hard Vidalama Ucu Seti 44+1 Parça - 2607017732,1269.99
Manyetik Tutucu Universal 60 mm,388.9
13mm Mke Vidalama,1621.0
Impact Control Serisi Vidalama Ucu 8&#039;li PZ2 *25mm,589.0
Vidalama Seti 32 Parça,728.0
Dt71563-qz 100 Parça Uç Seti,2480.0
Hex Allen Bits Uç Seti Sekizli 25 mm,79.99
Impact Control Serisi Vidalama Ucu 8&#039;li T15/T20x2/T25x2/T30x2/T40 *25mm,589.0
Pozidriv Bits Uç PZ1,139.9
Bits Uç PH2,99.99
X-line 30 Parça Titanyum Karışık Aksesuar Seti 2607019324,982.49
Impact Control Serisi Vidalama Ucu 8&#039;li PH2/PZ2/T15/T20/T25/T30 *50mm + Hızlı Uç Değiştirme Mandrenli Universal Tutucu,871.0
"Go 3,6 Volt Akülü Vidalama Makinesi- 06019h2201",3245.64
Fatmax Sbd715b 18v 4.0 Ah Çift Akülü Darbeli Vidalama,7486.0
Tp-cd 18/60 Li-i Bl Solo Akülü Darbeli Vidalama +2.5 Ah Starter Kit,5199.0
MS18-20 Akülü Multi Set 18 Volt / 2 Ah Li-ion Çift Akülü Vidalama Multi Set,9000.0
Bits Ucu Seti 20 Parça 50 mm,159.9
Gsb 120-li 2 Ah Çift Akülü Darbeli Delme Vidalam Matkap Ve 23 Parça Uç Seti 06019g8102,6999.0
Vidalama Ucu Seti 43 Parça,1411.37
Bits Ucu Seti 3 Parça PZ Uç Seti,44.99
Karışık Bits Ucu Seti,159.9
12v Çift Akü Şarjlı Matkap Akülü Vidalama,1149.9
12v Çift Akülü Metal Şanzıman Şarjlı Matkap Akülü Vidalama,1399.9
X-li̇ne 50+173 Parça Aksesuar Seti̇ 2607017523,1025.0
Eisenn Qaz-013 Grey Darbeli Metal Mandren Çift Akülü Bl Motor Vidalama Matkap + 84 Parça Komple Seti Hediyeli,3399.9
