Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Saten büstiyer elbise,3690.0,211134507,Bershka,KADıN > Concert mode,Krem,3690.0,0.0,TRY,03,0.0,,,
Saten mini elbise,1590.0,222003483,Bershka,KADıN > Concert mode,Krem,1590.0,0.0,TRY,03,0.0,,,
Şalvar pantolon,2290.0,222004031,Bershka,KADıN > Concert mode,Kirli beyaz,2290.0,0.0,TRY,03,0.0,,,
Dar kesim grafik desenli ceket,1590.0,218137729,Bershka,KADıN > Concert mode,Koyu gri,1590.0,0.0,TRY,03,0.0,,,
Şalvar pantolon,2290.0,222003992,Bershka,KADıN > Concert mode,Kirli beyaz,2290.0,0.0,TRY,03,0.0,0.0,,
Saten mini elbise,1590.0,209452224,Bershka,KADıN > Concert mode,Krem,1590.0,0.0,TRY,03,0.0,,,
Bengalin kumaş balon mini elbise,1590.0,222003974,Bershka,KADıN > Concert mode,Kirli beyaz,1590.0,0.0,TRY,03,0.0,0.0,,
Şalvar paça lencero pantolon,2290.0,216138133,Bershka,KADıN > Concert mode,Siyah,2290.0,0.0,TRY,03,0.0,0.0,0.0,
Saten büstiyer top,1490.0,222003481,Bershka,KADıN > Concert mode,Krem,1490.0,0.0,TRY,03,0.0,,,
Saten büstiyer top,1490.0,222003482,Bershka,KADıN > Concert mode,Siyah,1490.0,0.0,TRY,03,0.0,,,
Saten büstiyer top,1490.0,218843383,Bershka,KADıN > Concert mode,Krem,1490.0,0.0,TRY,03,0.0,,,
Önü düğmeli yelek,2290.0,205801374,Bershka,KADıN > Concert mode,Koyu gri,2290.0,0.0,TRY,03,0.0,,,
İşlemeli saç bandı,590.0,209100333,Bershka,KADıN > Concert mode,Krem,590.0,0.0,TRY,03,0.0,0.0,0.0,
Asimetrik baskılı kısa kollu tişört,990.0,218073582,Bershka,KADıN > Concert mode,Kirli beyaz,990.0,0.0,TRY,03,0.0,0.0,,
Balon midi etek,1790.0,206136563,Bershka,KADıN > Concert mode,Beyaz,1790.0,0.0,TRY,03,0.0,0.0,0.0,
Bengalin kumaş balon mini elbise,1590.0,211746257,Bershka,KADıN > Concert mode,Kirli beyaz,1590.0,0.0,TRY,03,0.0,0.0,0.0,
Saten babet,1790.0,222003976,Bershka,KADıN > Concert mode,Pembe,1790.0,0.0,TRY,03,0.0,0.0,,
Saten büstiyer top,1490.0,218843384,Bershka,KADıN > Concert mode,Siyah,1490.0,0.0,TRY,03,0.0,,,
Saten büstiyer elbise,3690.0,222003990,Bershka,KADıN > Concert mode,Krem,3690.0,0.0,TRY,03,0.0,,,
Dar kesim grafik desenli ceket,1590.0,222004002,Bershka,KADıN > Concert mode,Koyu gri,1590.0,0.0,TRY,03,0.0,,,
Şalvar pantolon,2290.0,222003995,Bershka,KADıN > Concert mode,Kirli beyaz,2290.0,0.0,TRY,03,0.0,0.0,,
Dantelli saç bantları,590.0,207223944,Bershka,KADıN > Concert mode,Krem,590.0,0.0,TRY,03,0.0,0.0,0.0,
