Product Title,Category,Daily Inflation(%)
%100 KETEN GÖMLEK,Men,0.0
%100 KETEN GÖMLEK ERKEK ÇOCUK,Kids-Baby,0.0
%100 KETEN PANTOLON,Men,0.0
%100 KETEN PANTOLON ERKEK ÇOCUK,Kids-Baby,0.0
%100 PAMUK %100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,0.0
%100 PAMUK 90'S WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK ASİMETRİK KARELİ FLANEL ETEK,Women,0.0
%100 PAMUK ATLET,Women,0.0
%100 PAMUK AĞIR KUMAŞ TİŞÖRT,Men,0.0
%100 PAMUK BAGGY FIT NORMAL BEL GABARDİN PANTOLON,Women,0.0
%100 PAMUK BAGGY FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FİT PANTOLON,Men,-3.555588741050469
%100 PAMUK BARREL FIT NORMAL BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BASIC GÖMLEK,Women,0.0
%100 PAMUK BASIC PREMIUM TİŞÖRT,Women,0.0
%100 PAMUK BASKILI KISA KOLLU PİJAMA ÜSTÜ,Women,0.0
%100 PAMUK BASKILI POPLİN UZUN KOLLU ELBİSE,Women,0.0
%100 PAMUK BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BASİC GÖMLEK,Men,0.0
%100 PAMUK BASİC SWEATSHİRT,Men,0.0
%100 PAMUK BASİC TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT GÖMLEK,Men,0.0
%100 PAMUK BOXY FIT TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BASKILI TİŞÖRT,Men,0.49587930905896005
%100 PAMUK BOXY FİT GÖMLEK,Men,0.0
%100 PAMUK BOXY FİT SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT TİŞÖRT,Men,0.0
%100 PAMUK BÜYÜK BEDEN POLO TİŞÖRT,Men,0.0
%100 PAMUK BÜYÜK BEDEN TİŞÖRT,Men,0.0
%100 PAMUK BİSİKLET YAKA ÜST KIZ ÇOCUK,Kids-Baby,0.0
%100 PAMUK DÜŞÜK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK DÜŞÜK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK FERMUARLI MONT,Men,0.0
%100 PAMUK FERMUARLI SWEATSHİRT,Men,0.0
%100 PAMUK FITTED KAYIK YAKA SLOGAN BASKILI RİBANA TİŞÖRT,Women,0.0
%100 PAMUK FITTED POPLİN GÖMLEK,Women,0.0
%100 PAMUK FLANEL GÖMLEK,Men,0.0
%100 PAMUK GÖMLEK,Men,0.0
%100 PAMUK JOGGER FIT PANTOLON,Women,0.0
%100 PAMUK KADİFE GÖMLEK,Men,0.0
%100 PAMUK KARELİ GÖMLEK,Men,0.0
%100 PAMUK KEMERLİ KOLSUZ MİDİ ELBİSE,Women,0.0
%100 PAMUK KRİNKIL KUMAŞ TUNİK,Women,0.0
%100 PAMUK LOOSE FIT RENK BLOKLU SWEATSHİRT,Women,0.0
%100 PAMUK LOOSE FIT TUNİK,Women,0.0
%100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,0.0
%100 PAMUK LOOSE FİT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FİT TİŞÖRT,Men,0.0
%100 PAMUK MONT,Men,0.0
%100 PAMUK OVERSHIRT FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE AYICIKLI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE BASKILI SWEATSHİRT,Women,0.0
%100 PAMUK OVERSIZE FULAR YAKA POPLİN GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE GÖMLEK YAKA ÇİZGİLİ OXFORD GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE KARELİ POPLİN GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE SPOR BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE ÇİZGİLİ POPLİN GÖMLEK,Women,0.0
%100 PAMUK OXFORD GÖMLEK,Men,0.0
%100 PAMUK PANTOLON,Men,0.0
