0,2,Daily Inflation(%)
	Bağcıklı Yaka Bürümcük Kısa Kollu Tişört,Women,0.0
	Beli Lastikli Cepli Düz Paça Şort,Women,0.0
	Beli Lastikli Yarım Astar Dantel Midi Etek,Women,0.0
	Carrot Fit Gabardin Kumaş Pantolon Kemerli Yüksek Bel Kısa Paça,Women,0.0
	Crop Örgü Desenli Pamuklu Kroşe Triko Süveter,Women,0.0
	Erkek Polar Bere ve Boyunluk,Men,0.0
	Fitted V Yaka Önden Bağlamalı Poplin Kolsuz Bluz,Women,0.0
	Gömlek Yaka Desenli Aerobin Uzun Kollu Kuşaklı Midi Elbise,Women,0.0
	Jogger Pantolon Keten Görünümlü Cepli Yüksek Bel Düz Paça,Women,0.0
	Kadın Açık Ten 15 Denye Külotlu Çorap,Women,0.0
	Kadın Ten 15 Denye Külotlu Çorap,Women,0.0
	Kız Bebek Dokuma Etiketli Kulaklı Triko Bere,Kids-Baby,0.0
	Loose Fit Zebra Desenli Modal Kısa Kollu Gömlek,Women,0.0
	Modern Fit Polo Yaka Dokulu Penye Kısa Kollu Gömlek,Men,0.0
	Oversize Geniş Kalıp Bağcıklı Yaka Müslin Uzun Kollu Bluz,Women,0.0
	Regular Fit Apaş Yaka Basic Düz Bürümcük Kısa Kollu Midi Elbise,Women,0.0
	Regular Fit Apaş Yaka Basic Düz Kısa Kollu Bluz,Women,0.0
	Regular Fit Bisiklet Yaka Desenli Uzun Kollu Bürümcük Maxi Elbise,Women,0.0
	Regular Fit Bisiklet Yaka Gofre Dokulu Uzun Kollu Maxi Elbise,Women,0.0
	Regular Fit Bisiklet Yaka Kroşe Triko Kazak,Women,0.0
	Regular Fit Bisiklet Yaka Taş Detaylı Uzun Kollu Tişört,Women,0.0
	Regular Fit Desenli Uzun Kollu Gömlek,Women,0.0
	Regular Fit Fiyonk Yaka Saten Uzun Kollu Midi Elbise,Women,0.0
	Regular Fit V Yaka Modal Önden Bağlamalı Uzun Kollu Bluz,Women,0.0
	Relax Fit Bisiklet Yaka Baskılı Kısa Kollu Tişört,Women,0.0
	Relax Fit Desenli Kuşaklı Kimono,Women,0.0
	Relax Fit Şal Yaka Krinkıl Kumaş Uzun Kimono,Women,0.0
	Rüzgar Geçirmez Su İtici 	 Regular Fıt Kapüşonlu Fermuarlı Mont,Men,0.0
	Slim Fit Dar Kesim Polo Yaka Kısa Kollu Pamuklu Modal Karışımlı Basic Düz Tişört,Men,0.0
	Slim Fit Dar Kesim Yırtmaçlı Midi Etek,Women,0.0
	Su Geçirmez Kapüşonlu Fermuarlı Mont,Women,0.0
	V Yaka Keten Karışımlı Beyaz Blazer Yelek,Women,0.0
"
Kadın Suni Deri Cüzdan
",Women,0.0
 Bisiklet Yaka Omuz Baskılı Kısa Kollu Tişört,Women,0.0
 Kadın Suni Deri Cüzdan ve Kartlık Set,Women,0.0
 Micro Astar Etek ,Women,0.0
 Standart Paça Modal Jogger,Men,0.0
 V Yaka Atlet,Women,0.0
 Yüksek Bel Kemerli Şort Etek,Women,0.0
%100 Deri Oversize Geniş Kalıp Dik Yaka Fermuarlı Mont,Women,0.0
%100 Deri Premium Modern Fit Polo Yaka Astarlı Fermuarlı Mont,Men,0.0
%100 Deri Premium Slim Fit Dar Kesim Dik Yaka Astarlı Fermuarlı Mont,Men,0.0
%100 Keten Gömlek Erkek Çocuk,Kids-Baby,0.0
%100 Keten Normal Kesim Crop Duble Paça Yazlık Kumaş Pantolon,Men,0.0
%100 Keten Oversize Geniş Kalıp Uzun Kollu Beyaz Gömlek,Women,0.0
%100 Keten Pantolon Erkek Çocuk,Kids-Baby,0.0
%100 Keten Regular Fit Bağcıklı Uzun Kollu Gömlek Tunik,Women,0.0
%100 Keten Regular Fit Bağcıklı Uzun Kollu Tesettür Gömlek Tunik,Women,0.0
%100 Keten Regular Fit Polo Yaka Yazlık Uzun Kollu Beyaz Gömlek,Men,0.0
%100 Keten Regular Fit Polo Yaka Yazlık Uzun Kollu Gömlek,Men,0.0
