Product Title,Category,Monthly Inflation(%)
%100 DERİ OVERSİZE GENİŞ KALIP DİK YAKA FERMUARLI MONT,Women,0.0
%100 DERİ PREMİUM MODERN FİT POLO YAKA ASTARLI FERMUARLI MONT,Men,0.0
%100 DERİ PREMİUM SLİM FİT DAR KESİM DİK YAKA ASTARLI FERMUARLI MONT,Men,0.0
%100 KETEN GÖMLEK,Men,0.0
%100 KETEN GÖMLEK ERKEK ÇOCUK,Kids-Baby,-30.40030400304004
%100 KETEN NORMAL KESİM CROP DUBLE PAÇA YAZLIK KUMAŞ PANTOLON,Men,0.0
%100 KETEN OVERSİZE GENİŞ KALIP UZUN KOLLU BEYAZ GÖMLEK,Women,0.0
%100 KETEN PANTOLON ERKEK ÇOCUK,Kids-Baby,-23.077100593081486
%100 KETEN REGULAR FİT BAĞCIKLI UZUN KOLLU GÖMLEK TUNİK,Women,0.0
%100 KETEN REGULAR FİT BAĞCIKLI UZUN KOLLU TESETTÜR GÖMLEK TUNİK,Women,0.0
%100 KETEN REGULAR FİT POLO YAKA YAZLIK BASİC DÜZ UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN REGULAR FİT POLO YAKA YAZLIK UZUN KOLLU BEYAZ GÖMLEK,Men,0.0
%100 KETEN REGULAR FİT POLO YAKA YAZLIK UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN REGULAR FİT POLO YAKA YAZLIK UZUN KOLLU SİYAH GÖMLEK,Men,0.0
%100 KETEN REGULAR FİT YAZLIK BERMUDA ŞORT,Men,0.0
%100 KETEN RELAX FİT APAŞ YAKA KISA KOLLU GÖMLEK,Men,0.0
%100 KETEN RELAX FİT BERMUDA ŞORT,Men,0.0
%100 KETEN RELAX FİT PANTOLON,Men,0.0
%100 KETEN RELAX FİT RAHAT KESİM DÜZ PAÇA YAZLIK BEYAZ PANTOLON,Men,0.0
%100 KETEN RELAX FİT RAHAT KESİM DÜZ PAÇA YAZLIK PANTOLON,Men,0.0
%100 KETEN RELAX FİT UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN RELAX FİT ÜÇ CEPLİ GENİŞ PAÇA PANTOLON,Men,0.0
%100 KETEN STRAİGHT FİT BELİ LASTİKLİ CEPLİ PANTOLON,Women,0.0
%100 PAMUK %100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,0.0
%100 PAMUK 90'S SLİM FİT DAR KALIP YÜKSEK BEL DAR PAÇA JEAN PANTOLON,Men,0.0
%100 PAMUK 90'S SLİM FİT DAR KALIP YÜKSEK BEL DAR PAÇA JEAN YIKAMALI PANTOLON,Men,0.0
%100 PAMUK 90'S SLİM FİT DAR KALIP YÜKSEK BEL DAR PAÇA SİYAH JEAN PANTOLON,Men,0.0
%100 PAMUK 90'S SLİM FİT DAR KALIP YÜKSEK BEL DAR PAÇA YIRTIK DETAYLI JEAN PANTOLON,Men,0.0
%100 PAMUK 90'S WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,-19.962865339092595
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,-25.800258002580023
%100 PAMUK 90'S WİDE LEG YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK A KESİM NORMAL BEL FITİLLİ KADİFE MİNİ ETEK,Women,0.0
%100 PAMUK A KESİM NORMAL BEL MÜSLİN ŞORT,Women,0.0
%100 PAMUK A KESİM PENYE MİNİ ELBİSE,Women,0.0
%100 PAMUK AFRA X DEFACTO KARE YAKA VUAL DESENLİ ASKILI BLUZ,Women,0.0
%100 PAMUK ART HOKUSAİ REGULAR FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK ASİMETRİK BİSİKLET YAKA ÇİZGİLİ TİŞÖRT,Women,0.0
%100 PAMUK ASİMETRİK KARELİ FLANEL ETEK,Women,0.0
%100 PAMUK ATATÜRK BASKILI TİŞÖRT,Men,0.0
%100 PAMUK ATLET,Women,0.0
