Product Title,Category,Weekly Inflation(%)
% 100 PAMUK BASKILI TİŞÖRT,Women,0.0
%100 KETEN GÖMLEK ERKEK ÇOCUK,Women,0.0
%100 KETEN PANTOLON ERKEK ÇOCUK,Women,0.0
%100 KETEN RELAX FİT PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,-6.186785116979744
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,-18.60018600186002
%100 PAMUK 90'S WİDE LEG YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK A KESİM NORMAL BEL MÜSLİN ŞORT,Women,25.000520844184255
%100 PAMUK ATLET,Women,0.0
%100 PAMUK AVATAR THE LAST AIRBENDER BASKILI TİŞÖRT,Women,0.0
%100 PAMUK AĞIR KUMAŞ TİŞÖRT,Women,0.0
%100 PAMUK BAGGY FIT JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FIT NORMAL BEL GABARDİN PANTOLON,Women,0.0
%100 PAMUK BAGGY FIT YÜKSEK BEL JEAN PANTOLON,Women,-5.3012527221631585
%100 PAMUK BAGGY FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FİT PANTOLON,Women,0.0
%100 PAMUK BARREL FIT NORMAL BEL JEAN PANTOLON,Women,-28.846375741351853
%100 PAMUK BARREL FIT YÜKSEK BEL JEAN PANTOLON,Women,-8.453160404213218
%100 PAMUK BARREL FIT YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK BASIC GÖMLEK,Women,0.0
%100 PAMUK BASKILI GÖMLEK,Women,0.0
%100 PAMUK BASKILI KISA KOLLU PİJAMA ÜSTÜ,Women,0.0
%100 PAMUK BASKILI TİŞÖRT,Women,0.0
%100 PAMUK BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK BOXY FIT PİKE TİŞÖRT,Women,0.0
%100 PAMUK BOXY FIT SLOGAN DESENLİ ATLET,Women,0.0
%100 PAMUK BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK BOXY FIT ÇİZGİLİ TİŞÖRT,Women,0.0
%100 PAMUK BOXY FİT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK BOXY FİT GÖMLEK,Women,0.0
%100 PAMUK BOXY FİT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK BOXY FİT TİŞÖRT,Women,0.0
%100 PAMUK BÜYÜK BEDEN BOXY FIT BASKILI T-SHIRT,Women,0.0
%100 PAMUK BÜYÜK BEDEN BOXY FIT T-SHIRT,Women,0.0
%100 PAMUK BÜYÜK BEDEN GÖMLEK,Women,0.0
%100 PAMUK BÜYÜK BEDEN POLO TİŞÖRT,Women,0.0
%100 PAMUK BÜYÜK BEDEN T-SHIRT,Women,0.0
%100 PAMUK BÜYÜK BEDEN TİŞÖRT,Women,0.0
%100 PAMUK BİSİKLET YAKA ÜST KIZ ÇOCUK,Women,0.0
%100 PAMUK CARROT FIT BELİ LASTİKLİ JEAN PANTOLON,Women,0.0
%100 PAMUK COMFORT STRAIGHT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK DÜŞÜK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK ESNEK KUMAŞ BOXY FİT GÖMLEK,Women,0.0
%100 PAMUK FAST & FURİOUS BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK FITTED KAYIK YAKA SLOGAN BASKILI RİBANA TİŞÖRT,Women,0.0
%100 PAMUK FITTED POPLİN GÖMLEK,Women,0.0
%100 PAMUK FORD MOTOR COMPANY BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK GABARDİN GÖMLEK,Women,0.0
%100 PAMUK GÖMLEK,Women,0.0
%100 PAMUK HOUSE OF THE DRAGON BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK INITIAL D BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK INİTİAL D LOOSE FIT TİŞÖRT,Women,0.0
%100 PAMUK JUSTICE LEAGUE BOXY FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK KISA KOLLU GÖMLEK,Women,0.0
%100 PAMUK KISA YÜKSEK BEL CROP JEAN PANTOLON,Women,0.0
%100 PAMUK LEONARDO DA VINCI BOXY FIT SLOGAN DESENLİ TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT POLO TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT POLO YAKA TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT SLOGAN BASKILI SWEATSHİRT KUMAŞI POLO YAKA TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT TUNİK,Women,0.0
%100 PAMUK LOOSE FİT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK LOW RISE WIDELEG DÜŞÜK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK MOM FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK MOM FIT YÜKSEK BEL JEAN ŞORT,Women,25.000367652465478
%100 PAMUK NEFES ALABİLEN BOXY FİT TİŞÖRT,Women,0.0
%100 PAMUK NEFES ALABİLEN LOOSE FİT TİŞÖRT,Women,0.0
%100 PAMUK NORMAL BEL KISA PAÇA GABARDİN BERMUDA ŞORT,Women,0.0
%100 PAMUK ONE PIECE BASKILI BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK ONE PIECE BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK ONE PIECE BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK ONE PİECE LOOSE FIT TİŞÖRT,Women,0.0
%100 PAMUK OVERSHIRT FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE BRODE GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE FULAR YAKA POPLİN GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE GÖMLEK YAKA ÇİZGİLİ OXFORD GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE KARELİ POPLİN GÖMLEK,Women,-40.00040000400004
%100 PAMUK OVERSIZE SPOR BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE ÇİZGİLİ POPLİN GÖMLEK,Women,0.0
%100 PAMUK PAPERBAG YÜKSEK BEL JEAN ŞORT,Women,16.751439100904577
%100 PAMUK PULL ON CARROT FIT YÜKSEK BEL CROP FIT YUMUŞAK JEAN PANTOLON,Women,25.000312503906297
%100 PAMUK REGULAR FIT APAŞ YAKA FLAMLI YARIM KOLLU BEYAZ GÖMLEK,Women,0.0
%100 PAMUK REGULAR FIT BASKILI GECELİK,Women,0.0
%100 PAMUK REGULAR FIT TİŞÖRT TUNİK,Women,0.0
%100 PAMUK REGULAR FIT UZUN KOLLU TUNİK,Women,0.0
%100 PAMUK REGULAR FIT ÇİZGİLİ TUNİK,Women,0.0
%100 PAMUK RELAX FIT GÖMLEK YAKA FLAMLI GÖMLEK,Women,0.0
%100 PAMUK RELAX FIT JEAN PANTOLON,Women,-0.9523900227621216
%100 PAMUK RELAX FIT YARIM BALIKÇI YAKA PREMİUM TİŞÖRT,Women,0.0
%100 PAMUK RELAX FİT GÖMLEK,Women,0.0
%100 PAMUK RICK AND MORTY BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK RICK AND MORTY BOXY FIT TİŞÖRT,Women,0.0
