Monthly Inflation(%),Date
-2.1313885893426368,4-6
-2.1094040418719664,4-7
-1.9933633335001146,4-8
-1.9728328861792208,4-9
-2.1956088078352907,4-10
-2.0631441422185013,4-11
-2.0018824465880756,4-12
-2.076634640622158,4-13
-2.7483530591024685,4-14
-0.679110912572187,4-15
-2.7799143244127285,4-16
-2.7871719687649206,4-17
-2.5975913398119572,4-18
-2.882257020406077,4-19
-2.824159910312862,4-20
-2.778092227735925,4-21
-3.386611150045887,4-22
-3.380076533187073,4-23
-3.405588927504165,4-24
-3.455792169120824,4-25
-3.5176623062771593,4-26
-3.471607740067036,4-27
