Weekly Inflation(%),Date
-0.028126501195060185,3-13
-0.047315897283947285,3-14
-0.033687603660052454,3-15
-0.12185035083937262,3-16
-0.13762237096041643,3-17
0.16312523170278959,3-18
0.09036401429212765,3-19
0.055371223797557975,3-20
0.07471554068490717,3-21
0.07057502728823777,3-22
0.07722375792987732,3-23
0.09602655882765537,3-24
-0.011328163845133979,3-25
0.10234688334141552,3-26
0.05177169991406769,3-27
0.06694210335235641,3-28
0.08509659019933055,3-29
0.1169846249991633,3-30
