item_name,price,category,color,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,1590.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,
Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,1590.0,Keten karışımlı,Krem rengi,03,0.0,0.0,,
Ayarlanabilir düğmeli keten karışımlı geniş paça pantolon,1590.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,
Keten görünümlü yarasa kollu gömlek,1590.0,Keten karışımlı,Haki,03,0.0,,,
Keten görünümlü yarasa kollu gömlek,1590.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Keten görünümlü yarasa kollu gömlek,1590.0,Keten karışımlı,Lacivert,03,0.0,0.0,0.0,0.0
Keten görünümlü yarasa kollu gömlek,1590.0,Keten karışımlı,Altın rengi,03,0.0,0.0,0.0,0.0
Keten görünümlü yarasa kollu gömlek,1590.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
"İşlemeli, oturan kolsuz top",1090.0,Keten karışımlı,Kahverengi,03,0.0,,,
İşlemeli straight pantolon,1790.0,Keten karışımlı,Kahverengi,03,0.0,,,
İşlemeli straight pantolon,1790.0,Keten karışımlı,Ekru,03,0.0,,,
İşlemeli kolsuz fitilli top,1090.0,Keten karışımlı,Ekru,03,0.0,,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Siyah,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Pembe,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Krem rengi,03,0.0,0.0,,
Keten görünümlü düz pantolon,1190.0,Keten karışımlı,Haki,03,0.0,0.0,,
Düğmeli yelek,990.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Düğmeli yelek,990.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Düğmeli yelek,990.0,Keten karışımlı,Mavi,03,0.0,0.0,0.0,0.0
Düğmeli yelek,990.0,Keten karışımlı,Altın rengi,03,0.0,0.0,0.0,0.0
Düğmeli yelek,990.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
Düğmeli yelek,990.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
Makrome omuz çantası,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Qipao halter yaka düğmeli üst,1090.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Qipao halter yaka düğmeli üst,1090.0,Keten karışımlı,Turkuaz,03,0.0,0.0,0.0,0.0
Qipao halter yaka düğmeli üst,1090.0,Keten karışımlı,Açık pembe,03,0.0,0.0,0.0,0.0
Qipao halter yaka düğmeli üst,1090.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten görünümlü şalvar pantolon,1490.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Keten görünümlü şalvar pantolon,1490.0,Keten karışımlı,Pembe,03,0.0,0.0,0.0,0.0
Keten görünümlü şalvar pantolon,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Pembe,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Açık pembe,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Altın rengi,03,0.0,0.0,0.0,0.0
Keten etkili dökümlü gömlek,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Deri parmak arası sandalet,2490.0,Keten karışımlı,BEJ,03,0.0,0.0,,
Kruvaze halter top,790.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Kruvaze halter top,790.0,Keten karışımlı,Siyah,03,0.0,0.0,,
Kruvaze halter top,790.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
Kruvaze halter top,790.0,Keten karışımlı,Haki,03,0.0,0.0,,
Metalik iplikli kroşe tote çanta,1790.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Metalik iplikli kroşe tote çanta,1790.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
Keten karışımlı şort,1090.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Keten karışımlı şort,650.0,Keten karışımlı,Kahverengi,03,0.0,-40.36697247706422,-40.36697247706422,
Keten karışımlı şort,650.0,Keten karışımlı,Krem rengi,03,0.0,-40.36697247706422,-40.36697247706422,
Kemerli dökümlü şort,1490.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Kemerli dökümlü şort,1490.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Kemerli dökümlü şort,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Yuvarlak epoksi güneş gözlüğü,790.0,Keten karışımlı,Haki,03,0.0,0.0,,
Keten görünümlü gömlek,1190.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Koyu lacivert,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,0.0
Keten görünümlü gömlek,1190.0,Keten karışımlı,Soluk pembe,03,0.0,0.0,,
