tarih,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-21,0.069835,0.031654,0.034493,0.027359,,,,
2026-03-22,0.031981,0.024745,0.034882,0.027667,,,,
2026-03-23,0.019514,0.015089,0.071265,0.056585,,,,
2026-03-24,-0.016803,-0.013004,-0.065582,-0.051755,,,,
2026-03-25,0.067159,0.052014,0.087189,0.068519,-0.398688,-0.324457,,
2026-03-26,-0.004205,-0.003254,0.030781,0.024112,-0.013325,-0.010836,,
2026-03-27,0.016335,0.012747,0.047936,0.01412,-0.125092,-0.071221,,
2026-03-28,-0.015867,-0.012256,-0.070812,-0.055134,-0.048595,-0.039178,,
2026-03-29,-0.017617,-0.013475,-0.090266,-0.070177,-0.089152,-0.071597,,
2026-03-30,0.015076,0.011502,-0.073176,-0.056858,-0.081454,-0.06515,,
2026-03-31,0.035191,0.026853,-0.061575,-0.047926,-0.060343,-0.048385,,
2026-04-01,0.034513,0.026367,-0.089871,-0.069901,-0.141059,-0.112621,,
2026-04-02,0.011418,0.008729,-0.016236,-0.03756,0.006693,0.005299,,
2026-04-03,-0.109808,-0.083927,-0.145959,-0.136264,-0.191922,-0.151836,,
2026-04-04,0.062961,0.048447,-0.102914,-0.103819,-0.102716,-0.104989,,
2026-04-05,-0.012098,-0.009313,-0.092567,-0.095632,-0.196145,-0.15323,,
2026-04-06,-0.021223,-0.016255,-0.114218,-0.086956,-0.216976,-0.168745,,
2026-04-07,0.032496,0.024915,-0.100044,-0.076506,-0.180107,-0.140968,,
2026-04-08,-0.016531,-0.012783,-0.114742,-0.087862,-0.180644,-0.141467,,
2026-04-09,0.087363,0.068024,-0.082566,-0.063661,-0.179511,-0.142081,-0.582007,-0.487914
2026-04-10,-0.032426,-0.025377,4e-05,3.1e-05,-0.158171,-0.123048,-0.168723,-0.138704
2026-04-11,-0.176269,-0.138897,-0.22704,-0.173268,-0.388054,-0.325012,-0.44717,-0.365526
2026-04-12,-0.034709,-0.026794,-0.250224,-0.19287,-0.397512,-0.331452,-0.626253,-0.528591
2026-04-13,0.176687,0.137911,-0.043979,-0.033818,-0.198989,-0.152752,-0.324125,-0.261629
2026-04-14,-0.083674,-0.065254,-0.228309,-0.177293,-0.33872,-0.259458,-0.601423,-0.484247
2026-04-15,0.017346,0.013536,-0.199278,-0.154719,-0.33693,-0.258811,-0.537042,-0.432535
2026-04-16,0.000891,-0.010113,-0.166645,-0.144757,-0.17264,-0.134865,-0.290102,-0.237777
2026-04-17,0.027953,0.0372,-0.110793,-0.087726,-0.141307,-0.069426,-0.205429,-0.166828
2026-04-18,-0.491822,-0.626296,-0.54911,-0.697625,-0.661105,-0.801813,-0.598526,-0.737761
2026-04-19,0.011213,0.008725,-0.484327,-0.627332,-0.706144,-0.827757,-0.568598,-0.742639
