ProductName,Total_Period_Change_%,2026-04_Change_%
% & 100 12282892 BISIKLET FIT JACK JONES JORNORREBRO ORIGINALS PAMUK REGULAR SHIRT T YAKA,0.0,0.0
% & 100 12297893 BASKILI BISIKLET FIT JACK JONES ORIGINALS PAMUK REGULAR SHIRT T YAKA,0.0,0.0
% & 100 12298018 BASKILI BISIKLET JACK JONES JPRBLANEO KALIP NORMAL PAMUK PREMIUM SHIRT T YAKA,0.0,0.0
% 100 59020001 BASIC BISIKLET BURATTI ERKEK FIT PAMUK SHIRT SLIM T YAKA,0.0,0.0
% 100 5902122 BURATTI PAMUKLU TIŞÖRT V YAKA,0.0,0.0
% 100 5902127 BURATTI DÜĞMELI ERKEK FIT PAMUK POLO REGULAR SHIRT T YAKA,0.0,0.0
% 100 65790782 DESENLI FIT KADIN LELA PAMUK PIJAMA REGULAR TAKIMI ŞORTLU,0.0,0.0
% 100 6778317 DETAYLI FIT GÖMLEK KADIN KOLLU LELA PAMUK SLIM TOKA UZUN,0.0,0.0
% 100 BURATTI CF26S1210000 FIT GÖMLEK KETEN KLASIK KOLLU PAMUKLU REGULAR UZUN YAKA,0.0,0.0
%10 & 3 30ML AYAK BAKIMI DERMOKIL MASKESI NEMLENDIRICI TOPUK X ÇATLAK ÜRE İÇEREN,0.0,0.0
%10 30ML AYDINLATICI C CANLANDIRICI SERUMU SINOZ VITAMINI YÜZ,0.0,0.0
%100 %100 3'LÜ BASIC ERKEK FIT KESIM MMETALIC PAKETI PAMUK PAMUK RAHAT RENKLI TIŞÖRT TIŞÖRTREGULAR V YAKA ÇOK,0.0,0.0
%100 %100 4'LÜ BASIC ERKEK FIT KESIM MMETALIC PAKETI PAMUK PAMUK RAHAT RENKLI TIŞÖRT TIŞÖRTREGULAR V YAKA ÇOK,0.0,0.0
%100 %100 5'LI BASIC BISIKLET ERKEK FIT MMETALIC PAKETI PAMUK PAMUK REGULAR RENKLI TIŞÖRT TIŞÖRT YAKA ÇOK,0.0,0.0
%100 %100 5902127B BEDEN BURATTI BÜYÜK ERKEK FIT PAMUK PAMUK PAMUKLU POLO REGULAR TIŞÖRT TIŞÖRT YAKA,0.0,0.0
%100 %100 BASIC BISIKLET ERKEK FIT KESIM MMETALIC PAMUK PAMUK RAHAT RENKLI TIŞÖRT TIŞÖRTREGULAR YAKA ÇOK,0.0,0.0
%100 & 230X250 4 CM KATLI MÜSLIN PAMUK PIKE VAROL YATAK ÖRTÜSÜ –,0.0,0.0
%100 & 50ML 6G DOĞAL KENE KOVUCU KREM SET SIVENO SIVRISINEK SPREY STICK SUPER VE,0.0,0.0
%100 (200X220 ANTRASIT BASIC BELLA CM) KIŞILIK MAISON NEVRESIM PAMUK SATEN SETI SUPREME ÇIFT,0.0,0.0
%100 (200X220 BELLA BLUEBERRY CM) KIŞILIK MAISON NEVRESIM PAMUK RANFORCE SETI ÇIFT,0.0,0.0
%100 (200X220 BELLA CM) KIŞILIK MAISON MAVI NEVRESIM PAMUK SATEN SETI SUPREME ÇIFT,0.0,0.0
%100 (30X50 BELLA CM) EL HAVLUSU JAKARLI MAISON MÜRDÜM PAMUK ROSE,0.0,0.0
%100 (30X50 BELLA CM) EL HAVLUSU KIRMIZI LINE MAISON PAMUK,0.0,0.0
%100 (50X70 2'LI BELLA BEYAZ CM) KILIFI MAISON PAMUK SATEN SUPREME YASTIK,0.0,0.0
%100 (50X70 2'LI BELLA CM) KAHVERENGI KILIFI MAISON PAMUK SATEN SUPREME YASTIK,0.0,0.0
%100 (50X70 2'LI BELLA CM) KILIFI MAISON PAMUK SATEN SUPREME VIZON YASTIK,0.0,0.0
%100 (50X70 BELLA CM) HAVLUSU LINE MAISON PAMUK TURUNCU YÜZ,0.0,0.0
%100 (50X70 BELLA CM) HAVLUSU LINE MAISON PAMUK YEŞIL YÜZ,0.0,0.0
%100 (50X70 BELLA CM) HAVLUSU MAISON MONSTERA PAMUK YEŞIL YÜZ,0.0,0.0
%100 (50X70 BELLA CM) HAVLUSU MAISON PAMUK SARI SUNNY YÜZ,0.0,0.0
%100 (50X90 BELLA CM) FLORIS HAVLUSU KREM MAISON PAMUK YÜZ,0.0,0.0
%100 (90X150 BANYO BELLA CM) HAVLUSU KIRMIZI LINE MAISON PAMUK,0.0,0.0
%100 (90X150 BANYO BELLA CM) HAVLUSU MAISON MARINE PAMUK,0.0,0.0
%100 (90X150 BELLA CM) HARDAL HAVLUSU HELLO MAISON PAMUK PLAJ SUNSHINE,0.0,0.0
%100 (90X160 BELLA CM) KIREMIT MAISON PAMUK PEŞTAMAL STRIPE,0.0,0.0
%100 / AC&CO ALTINYILDIZ ANTRASIT CLASSICS DAR ERKEK FIT KESIM KISA KOLLU PAMUK POLO SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ ARMÜRLÜ AÇIK CLASSICS COMFORT DÜĞMELI ERKEK FIT GÖMLEK GÖMLEK KESIM MAVI PAMUK RAHAT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ ARMÜRLÜ BEJ CLASSICS COMFORT DÜĞMELI ERKEK FIT GÖMLEK GÖMLEK KESIM PAMUK RAHAT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ ARMÜRLÜ CLASSICS ERKEK FIT GEREKTIRMEYEN GRI GÖMLEK KLASIK MAVI PAMUK SLIM YAKA ÜTÜ,0.0,0.0
%100 / AC&CO ALTINYILDIZ AÇIK CLASSICS DAR ERKEK FIT KESIM KISA KOLLU MAVI PAMUK POLO SLIM TIŞÖRT YAKA,0.0,0.0
%100 / AC&CO ALTINYILDIZ BALIKÇI CLASSICS ERKEK FIT GRI KAZAK KESIM MAVI NORMAL PAMUK STANDART TRIKO YAKA YARIM,0.0,0.0
%100 / AC&CO ALTINYILDIZ BALIKÇI CLASSICS ERKEK FIT HAVACI KAZAK KESIM MAVI NORMAL PAMUK PETROL STANDART TRIKO YAKA YARIM,0.0,0.0
