Daily Inflation(%),Date
0.0,3-11
0.0,3-12
0.030213180129266,3-13
0.5023898601130493,3-14
0.0,3-15
0.0,3-16
0.0264093442662528,3-17
0.0501131662105491,3-18
0.0,3-19
0.0,3-20
0.0,3-21
0.0,3-22
0.0,3-23
0.0273451992026896,3-24
0.0,3-25
0.0,3-26
0.0,3-27
0.044156562091911,3-28
0.0,3-29
0.0011748452934346,3-30
0.010490447918615926,3-31
0.21024450525934818,4-1
0.0,4-2
0.0854604039000326,4-3
0.010780365820718077,4-4
-0.0008314904456259952,4-5
0.0,4-6
0.0309063106232742,4-7
0.4523179707695971,4-8
0.1602638922200136,4-9
0.1548253144564458,4-10
0.1548253144564458,4-10
0.026963184765285562,4-11
0.0,4-12
0.0,4-13
