Monthly Inflation(%),Date
1.8005408731910753,4-10
1.827586767454447,4-11
1.827586767454447,4-12
1.7948862585225114,4-13
1.4847547603340325,4-14
1.4822291501655642,4-15
1.491781764505393,4-16
1.562416504844329,4-17
1.5378753436505037,4-18
1.5365038372734086,4-19
1.556901190532213,4-20
1.7027923386144805,4-21
2.0749340628456383,4-22
2.076214779728148,4-23
2.0488605853941415,4-24
2.061967675632449,4-25
2.061967675632449,4-26
2.061967675632449,4-27
2.2679094462504126,4-28
2.0454387141130757,4-29
2.0502438030049532,4-30
2.0454387141130757,4-29
2.0502438030049532,4-30
2.0806333988088426,5-1
2.082689760880113,5-2
2.0144876972904178,5-3
2.0037037847133843,5-4
2.2361794638285524,5-5
2.6033806819852305,5-6
2.5905132459026152,5-7
2.183172361812423,5-8
2.1927398189375626,5-9
