product_name,price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Voltomat Termostatlı 2500 W 11 Dilim Yağlı Radyatör Beyaz,5000.0,5,0.0,0.0,151.25628140703515,
Voltomat Termostatlı 2500 W 11 Dilim Yağlı Radyatör Siyah,5000.0,5,0.0,0.0,151.25628140703515,
Voltomat Termostatlı 1500 W 7 Dilim Yağlı Radyatör Beyaz,2500.0,5,0.0,0.0,93.7984496124031,
Voltomat Termostatlı 2000 W 9 Dilim Yağlı Radyatör Beyaz,1990.0,5,0.0,0.0,33.557046979865774,
Voltomat Termostatlı 600 W 5 Dilim Elektrikli Radyatör Beyaz,1390.0,5,0.0,0.0,40.4040404040404,
Voltomat 2000W Led Alev Efektli Kule Tipi Seramik Fanlı Isıtıcı,3490.0,5,0.0,0.0,0.0,
Voltomat 2000W Termostatlı Kule Tipi Seramik Fanlı Isıtıcı,5500.0,5,0.0,0.0,83.94648829431438,
Philips CX3120/01 3000 Serisi Kompakt Seramik Isıtıcı,5490.0,5,0.0,0.0,37.59398496240601,
Voltomat 1500W Termostatlı Seramik Fanlı Isıtıcı,1950.0,5,0.0,0.0,0.0,
Luxell KS-2760 Şömine Quartz Elektrikli Şömine,1990.0,5,0.0,0.0,24.452782989368355,
Veito Infrared CH1200LT 1200W Taşınabilir Isıtıcı,3990.0,5,0.0,0.0,24.72647702407002,
Goldsun Supra Plus GSS40P 4000W Çift Ampullü Infrared Isıtıcı,17850.0,5,0.0,0.0,0.0,
Veito Nevada R2425 2500W Karbon Infrared Isıtıcı,7990.0,5,0.0,0.0,0.0,
Veito Infrared 2500W Blade S Duvar Tipi Isıtıcı Siyah,9990.0,5,0.0,0.0,17.54324038122132,
Luxell Orbit MH-1800 Infrared Kule Tipi Isıtıcı,2890.0,5,0.0,0.0,11.583011583011585,
Veito Infrared CH1800XE 1700W Kademeli Isıtıcı,5300.0,5,0.0,0.0,8.185343947744437,
Voltomat  2000W Termostatlı Elektrikli Isıtıcı,3290.0,5,0.0,0.0,22.30483271375465,
Voltomat 2000 W Dikdörtgen Ayaklı Dekoratif Şömine Antrasit,10500.0,5,0.0,0.0,110.42084168336676,
Dlc Lotus 1500W Ayaklı Dekoratif Şömine Siyah,15000.0,5,0.0,0.0,66.85205784204672,
Dlc 1800W 101cm 3 Renk Plazma Dekoratif Şömine,12990.0,5,0.0,0.0,-38.142857142857146,
DLC Flamix Dekoratif Ayaklı Şömine 1950W,8500.0,5,0.0,0.0,41.69028171361894,
Dlc 1800W Retro Beton Desenli Dekoratif Şömine,38500.0,5,0.0,0.0,0.0,
Dlc 1800W 127cm 3 Renk Plazma Dekoratif Şömine,22500.0,5,0.0,0.0,40.71294559099437,
Dlc Flame Go Ayaklı Şömine 1500W,4350.0,5,0.0,0.0,24.285714285714285,
Dlc 1800W Madera Şömine Wifi EA2215HW,18000.0,5,0.0,0.0,20.08005336891261,
Demirdöküm DT4 Titanium 65L Termosifon,13890.0,5,0.0,0.0,-0.0647528599179797,
Baymak Aqua X-Led Prizmatik 80L Termosifon,14099.0,5,0.0,-9.009357857373343,-9.009357857373343,
Baymak Aqua X-Led Prizmatik 50L Termosifon,11599.0,5,0.0,-10.015515903801395,-10.015515903801395,
Panasonic LED Tavan Vantilatörü 36W Led + 30W Fan,12990.0,5,0.0,0.0,0.0,
Baymak Aqua X-Led Prizmatik 100L Termosifon,16999.0,5,0.0,0.0,0.0,
Demirdöküm DT4 Titanium 80L Termosifon,16599.0,5,0.0,0.0,5.397168074163439,
Grill Cup Şömine Odunu 15 KG,399.0,5,0.0,0.0,0.0,
Dlc 1800W London Polistone Şömine MM21065,28500.0,5,0.0,0.0,0.0,
ECA PKKP 2 Radyatör 60x60cm,2550.0,5,0.0,0.0,0.0,
Demirdöküm Ademix 24KW Tam Yoğuşmalı Kombi,33390.0,5,0.0,0.0,-4.326647564469914,
Luxell MHR-1800 Çift Flamet 1800 W Kule Tipi Infrared Isıtıcı,3490.0,5,0.0,0.0,0.0,
Grill Cup Pelet Sobası 50 cm,4990.0,5,0.0,0.0,0.0,
Voltomat Termostatlı 800 W 6 Dilim Yağlı Radyatör Beyaz,1650.0,5,0.0,0.0,50.13648771610555,
Grill Cup Pelet Sobası 120 cm,6190.0,5,0.0,0.0,0.0,
Voltomat Cam Konvektör 2000W Beyaz,5500.0,5,0.0,0.0,0.0,
Voltomat Cam Konvektör 2000W Siyah,5500.0,5,0.0,0.0,0.0,
Luxell Lx-6335T 2000 Watt Termostatlı Fanlı Isıtıcı,1190.0,5,0.0,0.0,0.0,
Baymak Aqua X-Led Prizmatik 65L Termosifon,13590.0,5,0.0,0.0,0.0,
Voltomat 2000W Termostatlı Kule Tipi Seramik Fanlı Isıtıcı,2950.0,5,0.0,0.0,0.0,
Voltomat 1800W Termostatlı Seramik Fanlı Isıtıcı,2250.0,5,0.0,0.0,0.0,
Dlc Irony 1800W Dekoratif Şömine Koyu Gri,31500.0,5,0.0,0.0,0.0,
Dlc Seratonya 1800W Doğaltaş Dekoratif Şömine Kahverengi,37000.0,5,0.0,0.0,0.0,
Dlc Nem Alma Cihazı Yedek Filtre 22 Litre,690.0,5,0.0,0.0,0.0,
Dlc Nem Alma Cihazı Yedek Filtre 12L,690.0,5,0.0,0.0,0.0,
Veito Glow Ani Su Isıtıcı 7-8.3kw,3490.0,5,0.0,0.0,0.0,
Osram Ceiling Blade Fan 18W 3 Kanatlı Siyah Kumandalı Tavan Vantilatörü,15950.0,5,0.0,,,
Osram Ceiling Blade Fan 18W 3 Kanatlı Beyaz Kumandalı Tavan Vantilatörü,15950.0,5,0.0,,,
DLC Yer Vantilatörü 130 Watt 50 cm Siyah,3990.0,5,0.0,0.0,0.0,
TCL FreshIN 3.0 A++ TAC-18CHSD/FCI Inverter 18.000 BTU Taze Havalı Cihaza Direkt Sesli Komutlu Yapay Zeka Destekli Duvar,65990.0,5,0.0,0.0,0.0,
TCL FreshIN 3.0 A+++ TAC-12CHSD/FCI Inverter 12.000 BTU Taze Havalı Cihaza Direkt Sesli Komutlu Yapay Zeka Destekli Duva,49990.0,5,0.0,0.0,0.0,
Dlc Kule Tipi Vantilatör 75Watt  Kumandalı,8990.0,5,0.0,0.0,0.0,
Dlc Araceli Tavan Vantilatörü Gümüş 55cm  Uzaktan Kumandalı,15500.0,5,0.0,82.35294117647058,82.35294117647058,
Dlc Zephyr Tavan Vantilatörü Mat Krom 162cm Uzaktan Kumandalı,16900.0,5,0.0,0.0,0.0,
Dlc Alizee Tavan Vantilatörü 2XE27 Mat Krom 132cm Uzaktan Kumandalı,12500.0,5,0.0,26.262626262626267,26.262626262626267,
Dlc Brisote Tavan Vantilatörü Mat Krom 3XE27 132cm Uzaktan Kumandalı,11500.0,5,0.0,5.5045871559633035,5.5045871559633035,
Dlc Zephyr Tavan Vantilatörü Siyah 162 cm Uzaktan Kumandalı,16900.0,5,0.0,0.0,0.0,
Dlc Carpinteiro Tavan Vantilatörü 2XE27 132cm Uzaktan Kumandalı,15600.0,5,0.0,0.0,0.0,
Dlc Alizee Tavan Vantilatörü 2XE27 Beyaz 132cm Uzaktan Kumandalı,12500.0,5,0.0,26.262626262626267,26.262626262626267,
Electrolux EPO50351SW Pure A9 Hava Temizleme Cihazı,6950.0,5,0.0,0.0,0.0,
Electrolux EPO60571DG 5 Aşamalı Hava Temizleme Cihazı,16950.0,5,0.0,0.0,0.0,
Baymak 9.000 Btu Elegant Soft A++ Duvar Tipi Klima,31500.0,5,0.0,0.0,0.0,
Baymak 12.000 Btu Elegant Soft A++ Duvar Tipi Klima,34500.0,5,0.0,0.0,0.0,
Veito Speed E Ani Su Isıtıcısı,7490.0,5,0.0,0.0,0.0,
Dlc Nordica 1800W Dekoratif Şömine Beyaz,29550.0,5,0.0,0.0,,
Luxell Ex-25 2300W Ecoray Infrared Duvar Tipi Isıtıcı,1490.0,5,0.0,0.0,19.295436349079264,
Luxell LX-2820 1200 Watt Quartz Infrared Mini Isıtıcı,890.0,5,0.0,0.0,0.0,
Veito Space S Karbon Infrared Isıtıcı 2500W,12490.0,5,0.0,0.0,0.0,
Dlc Evaporatif HLB-13AH İyonizerli Isıtma ve Hava Soğutucu 2100W Isıtma 130W Soğutma Taşınabilir,12500.0,5,0.0,0.0,0.0,
Dlc Yedek Filtre 050,1995.0,5,0.0,0.0,0.0,
Dlc Yedek Filtre 026H,1995.0,5,0.0,0.0,0.0,
Baymak Duotec 33 kW Kombi,47900.0,5,0.0,0.0,0.0,
Göktaş Sepet Odun Kovası Gold,5150.0,5,0.0,0.0,0.0,
Göktaş Tekerlekli Odun Taşıma Kovası Siyah,5150.0,5,0.0,0.0,0.0,
Göktaş Odun Taşıma Sepeti Bakır,2990.0,5,0.0,0.0,0.0,
Göktaş Yuvarlak Bakır Konik Kova,4990.0,5,0.0,0.0,0.0,
Göktaş Yuvarlak Gold Konik Kova,4990.0,5,0.0,0.0,0.0,
Göktaş Kayık Model Odun Kovası Gold,4990.0,5,0.0,0.0,0.0,
SDC-117 Gri Döküm Soba,35000.0,5,0.0,0.0,0.0,
SDC-111 Döküm Soba Alt Tablası,6200.0,5,0.0,0.0,0.0,
SDC 15 cm Çap Akordiyon,450.0,5,0.0,0.0,0.0,
SDC 15 cm Çap 33 cm Boru,450.0,5,0.0,0.0,0.0,
SDC 15 cm Çap 50 cm Boru,450.0,5,0.0,0.0,0.0,
SDC 15 cm Çap 70 cm Boru,450.0,5,0.0,0.0,0.0,
SDC Soba Borusu İçin Ayna,290.0,5,0.0,0.0,0.0,
Dolce Vita 24.000 Btu Inverter A++ Duvar Tipi Klima,54900.0,5,0.0,0.0,0.0,
Dlc Wifi 35W Fanlı Hava Temizleme Cihazı,18500.0,5,0.0,0.0,0.0,
Dlc Akıllı Wifi Fanlı Isıtma Soğutma Hava Temizleme Cihazı,17990.0,5,0.0,0.0,0.0,
Baymak Elegant Plus 18.000 Btu Inverter A++ Duvar Tipi Klima,55000.0,5,0.0,0.0,0.0,
Baymak Elegant Prime 18.000 Btu Inverter A++ Duvar Tipi Klima,52990.0,5,0.0,0.0,0.0,
Dolce Vita 18.000 Btu Inverter A++ Duvar Tipi Klima,44990.0,5,0.0,0.0,0.0,
Dolce Vita 12.000 Btu Inverter A++ Duvar Tipi Klima,28500.0,5,0.0,0.0,0.0,
Dolce Vita 9.000 Btu Inverter A++ Duvar Tipi Klima,25990.0,5,0.0,0.0,0.0,
Baymak Elegant Plus UV 9.000 Btu Inverter A++ Duvar Tipi Klima,29900.0,5,0.0,0.0,0.0,
Dlc Beyaz 20 cm Usb Şarjlı Masaüstü Vantilatör,750.0,5,0.0,0.0,0.0,
Dlc TSP40-RA Uzaktan Kumandalı Soğuk Buharlı Sulu Vantilatör 90 Watt,9250.0,5,0.0,0.0,0.0,
Dlc 360 Derece 70 Watt Hareketli Ayaklı Vantilatör,3900.0,5,0.0,0.0,0.0,
Dlc Çift Fan Usb Şarjlı Vantilatör,1190.0,5,0.0,0.0,0.0,
Baymak 09.000 Btu Elegant Prime Inverter A++ Duvar Tipi Klima,32000.0,5,0.0,0.0,0.0,
Dlc Sanayi Yer Vantilatörü Siyah 200 Watt,9500.0,5,0.0,0.0,0.0,
Dlc FE45 Yer Vantilatörü Krom 130 Watt,4750.0,5,0.0,0.0,0.0,
Dlc FS-K40BR Ayaklı Zaman Ayarlı Uzaktan Kumandalı Vantilatör 50 Watt Beyaz,3390.0,5,0.0,0.0,0.0,
Dlc FS-K45BR 65 Watt Zaman Ayarlı Kumandalı Ayaklı Vantilatör Beyaz,4250.0,5,0.0,0.0,30.76923076923077,
Philips Bliss Fanlı 35+28W Tavan Vantilatörü,20500.0,5,0.0,0.0,0.0,
Philips Amigo Fanlı 42+ 20W Tavan Vantilatörü,12900.0,5,0.0,0.0,29.12912912912913,
Baymak Duotec 42 kW Kombi,45990.0,5,0.0,0.0,0.0,
Baymak Lunatec 35 kW Kombi,46990.0,5,0.0,0.0,0.0,
Baymak Lunatec 30 kW Kombi,45900.0,5,0.0,0.0,0.0,
Baymak Lunatec 24 kW Kombi,38695.0,5,0.0,0.0,0.0,
Baymak Duotec Compact 24 kW Kombi,37999.0,5,0.0,0.0,0.0,
Dlc Levante Led Siyah 122 cm Tavan Vantilatörü,12750.0,5,0.0,0.0,0.0,
Dlc Levante Led Beyaz 122 cm Tavan Vantilatörü,16500.0,5,0.0,29.411764705882355,29.411764705882355,
Dlc Grecale Led Mat Krom 148 cm Tavan Vantilatörü,16500.0,5,0.0,0.0,0.0,
Dlc Bora Led Siyah 122 cm Tavan Vantilatörü,18900.0,5,0.0,42.21218961625282,42.21218961625282,
Dlc Favonio Led Siyah 132 cm Tavan Vantilatörü,8500.0,5,0.0,0.0,0.0,
Dlc Favonio Led Beyaz 132 cm Tavan Vantilatörü,8500.0,5,0.0,0.0,0.0,
Dlc Ovest Rgb Led Kumandalı 58 cm Tavan Vantilatörü,9900.0,5,0.0,0.0,0.0,
Dlc Oklahoma Kahverengi 132 cm Tavan Vantilatörü,19950.0,5,0.0,47.77777777777778,47.77777777777778,
Dlc Poyraz Beyaz 107 Cm Tavan Vantilatörü,5990.0,5,0.0,49.93742177722152,49.93742177722152,
Dlc Poyraz Antik 107 Cm Tavan Vantilatörü,5990.0,5,0.0,49.93742177722152,49.93742177722152,
Dlc Nord Led Beyaz Kumandalı 60 Cm Tavan Vantilatörü,9900.0,5,0.0,0.0,0.0,
Dlc Vespero Led Kumandalı 106 cm Tavan Vantilatörü,14500.0,5,0.0,39.42307692307692,61.29032258064516,
Dlc Garbion Led Kahverengi Uzaktan Kumandalı 112 cm Tavan Vantilatörü,16900.0,5,0.0,0.0,0.0,
Dlc Mistral Tavan Vantilatörü Gümüş 76 Cm,8990.0,5,0.0,89.26315789473685,89.26315789473685,
Dlc FLW-500 Duvar Vantilatör 135 Watt,7100.0,5,0.0,0.0,0.0,
Dlc FLW-750-F 240 Watt Sanayi Tipi Duvar Vantilatörü Siyah,10500.0,5,0.0,0.0,0.0,
Dlc FL-750-F 240 Watt Sanayi Tipi Ayaklı Vantilatör Siyah,10995.0,5,0.0,0.0,0.0,
