title,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
S.METRO SİYAH PARLAK 1. 10x20,650.0,05,0.0,0.0,0.0,0.0
S.METRO BEYAZ PARLAK 1. 10x20,590.0,05,0.0,0.0,0.0,0.0
S.ENDÜLÜS GRİ Yer 1. 20*20,795.0,05,0.0,0.0,0.0,0.0
S.FANTASIA WHITE 1. 30x60,490.0,05,0.0,0.0,0.0,0.0
"S.BRICK COTTO DİJİTAL (1,22) 30x60",525.0,05,0.0,0.0,0.0,0.0
"S.BRICK ANTRASİT DİJİTAL 1. (1,22) 30x60",525.0,05,0.0,0.0,0.0,0.0
S.MARBLEWAY GRAY 1. 30x60,490.0,05,0.0,0.0,0.0,0.0
S.KUBİK BEJ-KAHVE 1. 30x60,375.0,05,0.0,0.0,0.0,0.0
S.MOSAICO LİLA  1. 30x60,350.0,05,0.0,0.0,0.0,0.0
"S.ORİON BEYAZ (52,92) 1. 30x90R",325.0,05,0.0,0.0,0.0,0.0
S.CARRERA WHITE MOTİF GLOSSY 1. 60x60,350.0,05,0.0,0.0,18.64406779661017,18.64406779661017
S.ORIGIN GOLDEN BORDÜR 1. 5x60,69.9,05,0.0,0.0,0.0,0.0
S.ONIX BEJ (FULL LAPPATO) NanoTech 1. 30x60,450.0,05,0.0,0.0,0.0,0.0
S.GRİT DJ PORCELEN 1. 50x50,425.0,05,0.0,0.0,0.0,0.0
S.LİNEN BEJ PORCELEN 1. 50x50,375.0,05,0.0,0.0,36.36363636363637,36.36363636363637
FULL WHITE FULL LAPP. PAR. 1. 60x60,499.0,05,0.0,0.0,0.0,0.0
S.ORİON BEYAZ PORC. YER 1. 60x60,395.0,05,0.0,0.0,0.0,0.0
S.ORİON SİYAH PORC. YER 1. 60x60,425.0,05,0.0,0.0,0.0,0.0
S.DECK BEIGE PORC.1. 15x90,475.0,05,0.0,0.0,0.0,0.0
40x120D VİTRA MARBLE-X B.CAPRAI WHITE GLS 8R 1.,540.0,05,0.0,0.0,0.0,0.0
40x120D VİTRA MARMORI ST.LAURENT SYH PRL 8R1.,474.0,05,0.0,0.0,0.0,0.0
