tarih,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d,avg_inflation_2026-05-23,tuik_weighted_2026-05-23
2026-03-21,0.0,0.0,0.044177,0.015044,,,,,,
2026-03-22,0.0,0.0,0.044177,0.015044,,,,,,
2026-03-23,0.209826,0.071442,0.210348,0.071629,,,,,,
2026-03-24,0.0,0.0,0.210348,0.071629,,,,,,
2026-03-25,0.0,0.0,0.209826,0.071442,,,,,,
2026-03-26,0.0,0.0,0.209826,0.071442,,,,,,
2026-03-27,0.0,0.0,0.209826,0.071442,0.301096,0.102545,,,,
2026-03-28,0.0,0.0,0.209826,0.071442,0.301096,0.102545,,,,
2026-03-29,0.0,0.0,0.209826,0.071442,0.254526,0.086673,,,,
2026-03-30,0.0,0.0,0.0,0.0,0.254526,0.086673,,,,
2026-03-31,0.048511,0.016487,0.050196,0.017091,0.261319,0.088998,,,,
2026-04-01,0.448761,0.152815,0.255904,0.087394,0.479777,0.1639,,,,
2026-04-02,-0.08553,-0.029129,0.140785,0.047928,0.353593,0.120441,,,,
2026-04-03,0.0,0.0,0.137384,0.046708,0.354479,0.12076,,,,
2026-04-04,0.0,0.0,0.138051,0.046947,0.356265,0.121402,,,,
2026-04-05,0.00513,0.001741,0.143717,0.04888,0.362696,0.123611,,,,
2026-04-06,0.0,0.0,0.143717,0.04888,0.362696,0.123611,,,,
2026-04-07,0.025065,0.00851,0.375383,0.127608,0.167649,0.057129,,,,
2026-04-08,0.073157,0.024844,0.02415,0.008234,0.246217,0.083914,,,,
2026-04-09,0.0,0.0,0.105008,0.035597,0.246841,0.083914,,,,
2026-04-10,0.0,0.0,0.10401,0.035242,0.245597,0.083469,,,,
2026-04-11,0.0,0.0,0.10401,0.035242,0.240153,0.081522,0.556738,0.189341,,
2026-04-12,0.0,0.0,0.099043,0.033563,0.240746,0.081734,0.558162,0.189851,,
2026-04-13,0.0,0.0,0.099043,0.033563,0.240746,0.081734,0.509748,0.17336,,
2026-04-14,0.0,0.0,0.073679,0.024968,0.240746,0.081734,0.509748,0.17336,,
2026-04-15,0.0,0.0,0.0,0.0,0.456551,0.154922,0.466826,0.158807,,
2026-04-16,0.0,0.0,0.0,0.0,0.024461,0.008323,0.468026,0.159237,,
2026-04-17,0.0,0.0,0.0,0.0,0.107062,0.03633,0.577918,0.196709,,
2026-04-18,0.07179,0.024346,0.072139,0.02447,0.178855,0.060676,0.658327,0.224141,,
2026-04-19,0.0,0.0,0.072139,0.02447,0.178855,0.060676,0.658327,0.224141,,
2026-04-20,0.0,0.0,0.072139,0.02447,0.173525,0.058868,0.658327,0.224141,,
2026-04-21,0.222513,0.075781,0.301105,0.102562,0.412451,0.14053,0.956933,0.327388,,
2026-04-22,0.0,0.0,0.278449,0.094451,0.356153,0.120854,0.661195,0.22515,,
2026-04-23,0.0,0.0,0.279808,0.094936,0.280492,0.09518,0.661195,0.22515,,
2026-04-24,0.0,0.0,0.279127,0.094693,0.280492,0.09518,0.659473,0.224531,,
2026-04-25,0.0,0.0,0.207317,0.07034,0.281179,0.095425,0.656056,0.223305,,
2026-04-26,0.0,0.0,0.207317,0.07034,0.279127,0.094693,0.535917,0.182161,,
2026-04-27,0.0,0.0,0.207317,0.07034,0.279127,0.094693,0.535917,0.182161,,
2026-04-28,0.0,0.0,0.0,0.0,0.279808,0.094936,0.537274,0.182647,,
2026-04-29,0.0,0.0,0.0,0.0,0.279127,0.094693,0.537274,0.182647,,
2026-04-30,0.038562,0.013077,0.039129,0.013279,0.317198,0.107595,0.791559,0.268877,,
2026-05-01,0.105912,0.035921,0.146698,0.049792,0.424397,0.143975,0.366954,0.124973,,
2026-05-02,0.0,0.0,0.147422,0.05005,0.429623,0.14584,0.541478,0.183881,,
2026-05-03,0.061595,0.061595,0.223192,0.223192,0.457232,0.457232,0.653967,0.653967,,
2026-05-04,0.0,0.0,0.20345,0.069054,0.416388,0.141402,0.597311,0.202816,,
2026-05-05,0.010232,0.003472,0.215828,0.073293,0.429947,0.146064,0.606727,0.206093,,
2026-05-06,1.417638,0.48111,1.655162,0.562152,1.791871,0.611446,2.054235,0.697874,,
2026-05-07,0.009547,0.003241,1.637286,0.5563,1.694283,0.575973,2.052665,0.697618,,
2026-05-08,0.689511,0.234182,2.222353,0.755088,2.057636,0.699878,2.679662,0.910831,,
2026-05-09,0.0,0.0,2.166347,0.735865,2.006434,0.682368,2.627537,0.892994,,
2026-05-10,0.0,0.0,2.35962,2.35962,1.996249,0.678719,2.627537,0.892994,,
2026-05-11,0.0,0.0,2.193755,0.753394,2.011366,0.691435,2.654792,0.912621,,
2026-05-12,0.048488,0.016652,2.351309,0.798903,2.206928,0.750248,2.840147,0.965511,,
2026-05-13,0.0,0.0,0.903959,0.307179,2.21253,0.752254,2.847356,0.968093,,
2026-05-14,0.0,0.0,0.905621,0.307951,2.229506,0.758337,2.869203,0.975921,,
2026-05-15,0.0,0.0,0.230868,0.079152,2.131592,0.731214,2.579357,0.884813,,
2026-05-16,0.014622,0.00501,0.258618,0.087929,2.482354,0.84434,2.750662,0.93586,,
2026-05-17,0.0,0.0,0.259937,0.088402,2.488719,0.846622,2.762386,0.940379,,
2026-05-18,0.0,0.0,0.065819,0.022654,2.685313,2.685313,2.69921,0.919135,,
2026-05-19,0.31895,0.108472,0.378056,0.128573,2.796268,0.951245,3.025655,1.030296,,
2026-05-20,0.266098,0.09051,0.64512,0.219429,3.060191,1.041172,3.333417,1.135259,,
2026-05-21,0.274609,0.093405,0.919729,0.312834,1.849332,0.6292,3.477917,1.18967,,
2026-05-22,0.044896,0.015489,0.953925,0.333524,1.984162,0.685146,3.720631,1.285652,,
2026-05-23,0.0,0.0,0.78893,0.2723,1.085429,0.374979,3.745353,1.294803,,
2026-05-24,-0.029967,-0.029967,0.467575,0.467575,0.743435,0.743435,2.954824,2.954824,,
2026-05-25,0.0,0.0,1.008843,0.344745,1.253937,0.428569,3.220014,1.101826,,
2026-05-26,0.0,0.0,0.11454,0.039516,0.612429,0.215542,3.051794,1.054049,,
2026-05-27,0.0,0.0,0.274415,0.094152,0.827837,0.284031,3.1227,1.072419,,
2026-05-28,0.030954,0.010693,0.337377,0.116607,0.954937,0.330052,3.509547,1.214446,,
2026-05-29,0.0,0.0,0.0,0.0,1.617496,0.554054,3.919671,1.344093,,
2026-05-30,0.117541,0.117541,0.118787,0.118787,1.017584,1.017584,3.374202,3.374202,,
2026-05-31,-0.1024,-0.1024,0.048256,0.048256,1.218178,1.218178,4.884605,4.884605,,
2026-06-01,0.169781,0.169781,0.132758,0.132758,0.876969,0.876969,3.64376,3.64376,,
2026-06-02,-0.00541,-0.00541,0.138669,0.138669,0.874291,0.874291,3.920873,3.920873,,
2026-06-03,0.054764,0.054764,0.103756,0.103756,0.491722,0.491722,3.989722,3.989722,,
2026-06-04,-0.029555,-0.029555,0.04158,0.04158,1.178883,1.178883,4.314968,4.314968,,
2026-06-05,0.0,0.0,0.042165,0.042165,0.357764,0.357764,2.018435,2.018435,,
2026-06-06,1.665678,1.665678,1.589475,1.589475,0.228338,0.228338,4.679381,4.679381,,
2026-06-07,-0.030177,-0.030177,0.189538,0.189538,0.208324,0.208324,1.126096,1.126096,,
2026-06-08,0.0,0.0,-0.006826,-0.006826,0.128485,0.128485,1.079622,1.079622,,
2026-06-09,0.0,0.0,0.083288,0.083288,0.129733,0.129733,1.086521,1.086521,,
