tarih,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-04-22,0.0,0.0,,,,,,
2026-04-23,-0.078865,-0.067004,,,,,,
2026-04-24,0.002534,0.004377,,,,,,
2026-04-25,0.064596,0.106531,,,,,,
2026-04-26,0.04813,0.047435,,,,,,
2026-04-27,0.0,0.0,,,,,,
2026-04-28,0.006508,0.007328,0.057302,0.114667,,,,
2026-04-29,0.03312,0.070184,0.086595,0.182952,,,,
2026-04-30,0.015124,0.021273,0.179724,0.274399,,,,
2026-05-01,7.302894,6.609865,7.42249,6.814791,,,,
2026-05-02,0.127618,0.131172,7.569136,6.939474,,,,
2026-05-03,0.077966,0.070678,7.613418,6.980377,,,,
2026-05-04,0.025156,0.019984,7.65752,7.017289,,,,
2026-05-05,0.026847,0.019034,7.679893,7.010917,,,,
2026-05-06,0.12044,0.102284,7.779137,7.075126,7.637503,7.078727,,
2026-05-07,0.08838,0.072211,7.864967,7.126147,7.765572,7.176081,,
2026-05-08,0.002415,0.0026,0.476023,0.423982,8.118174,7.460583,,
2026-05-09,-0.011502,-0.01448,0.319001,0.257966,8.016814,7.34813,,
2026-05-10,-0.041287,-0.053607,0.212786,0.13807,7.865755,7.150911,,
2026-05-11,-0.000573,0.001519,0.18285,0.114477,7.862262,7.138899,,
2026-05-12,0.191224,0.164732,0.360257,0.269719,8.053923,7.302666,,
2026-05-13,0.084373,0.07322,0.331535,0.25393,8.108586,7.355753,,
2026-05-14,0.008915,0.002955,0.237391,0.17378,8.09603,7.309617,,
2026-05-15,-0.017036,0.004523,0.213791,0.17084,8.120565,7.330433,,
2026-05-16,-0.206211,-0.147812,0.007724,0.022937,0.479724,0.426017,,
2026-05-17,-0.229903,-0.16427,-0.19282,-0.091085,0.099848,0.117604,,
2026-05-18,0.001541,0.002023,-0.19882,-0.095412,0.043476,0.067335,,
2026-05-19,-0.009911,-0.012818,-0.387159,-0.260972,0.019612,0.045659,,
2026-05-20,-0.195664,-0.159116,-0.674768,-0.495817,-0.202415,-0.119816,,
2026-05-21,0.015102,0.025572,-0.64439,-0.444364,-0.303823,-0.189806,7.342274,6.930923
2026-05-22,0.069794,0.026972,-0.547009,-0.420836,-0.345622,-0.256932,7.445351,6.974821
2026-05-23,-0.01524,-0.015601,-0.360734,-0.29535,-0.343894,-0.244585,7.678412,7.161474
