id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
MjExMg==,SR18120016,Altapharma Magnezyum İçeren Takviye Edici Gıda Efervesan Tablet Portakal Aromalı 20 adet,Altapharma,Sağlık & Gıda,139.0,139.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/6/3/63613ae72ea87cf45399e5fea82204383398ae61fa1ab36c257930802de383bb.jpeg,https://www.rossmann.com.tr/altapharma-magnezyum-iceren-takviye-edici-gida-efervesan-tablet-portakal-aromali-20-adet-p-sr18120016,06,0.0,0.0,,
MjQ3Nzk=,SR24070257,Isana Intim Temizleme ve Tıraş Jeli 150 ml,Isana,Sağlık & Gıda,229.0,229.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/9/b/9b0b263f88610d94b28281065eec3cefd355814cbb7ffd24ba23df819af370f6.jpeg,https://www.rossmann.com.tr/isana-intim-temizleme-ve-tiras-jeli-150-ml-p-sr24070257,06,0.0,0.0,,
MjExNQ==,SR18120019,Altapharma Vitamin C + Çinko İçeren Takviye Edici Gıda Efervesan Tablet Kara Mürver Aromalı 20 adet,Altapharma,Sağlık & Gıda,139.0,139.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/b/0/b08215a3e5d68a45153a33ac3a6ecc91b5f3aa4204e297a2a42f9b5bb017c5ed.jpeg,https://www.rossmann.com.tr/altapharma-vitamin-c-cinko-iceren-takviye-edici-gida-efervesan-tablet-kara-murver-aromali-20-adet-p-sr18120019,06,0.0,0.0,,
MjExMw==,SR18120017,Altapharma Multi vitamin Mineral İçeren Takviye Edici Gıda Efervesan Tablet Mango Aromalı 20 adet,Altapharma,Sağlık & Gıda,139.0,139.0,0,,OUT_OF_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/c/f/cf0c69b53dc14168808ccef3d81af9fbb4b35fe2fd7bdfa205abb919662235a3.jpeg,https://www.rossmann.com.tr/altapharma-multi-vitamin-mineral-iceren-takviye-edici-gida-efervesan-tablet-mango-aromali-20-adet-p-sr18120017,06,0.0,0.0,,
MjUyMjU=,SR24030421,Genuss Plus Mercimek Patlağı Deniz Tuzlu 90 gr,Genuss Plus,Sağlık & Gıda,129.0,129.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/6/1/616ba9406e826077f179a4a18af445576fa12abcc291eefe3131612dff384b95.jpeg,https://www.rossmann.com.tr/genuss-plus-patlagi-deniz-tuzlu-mercimek-90g-p-sr24030421,06,0.0,0.0,,
MzYxMg==,ST11110392,Duru Kolonya Bidon 900 ml,Duru,Sağlık & Gıda,321.0,321.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/0/7/077e5afba9e53c3d18d7f1fb496d4756cae5444b0f391a74f3bfab78c0030f70.jpeg,https://www.rossmann.com.tr/duru-kolonya-bidon-900-ml-p-st11110392,06,0.0,0.0,,
MTIwMjg=,ST21050342,Getwell Yara Bandı Aloe Vera 15 adet,Getwell,Sağlık & Gıda,26.5,26.5,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/9/e948b6c8772978ed94f1c3ea7d020ce5bd61cac7b9c9a42587696ab704fefcf1.jpeg,https://www.rossmann.com.tr/getwell-yara-bandi-aloe-vera-15-adet-p-st21050342,06,0.0,0.0,,
MjExNg==,SR18120020,Altapharma Kalsiyum+Vitamin D3 İçeren Takviye Edici Gıda Efervesan Tablet Frenk İnciri Aromalı 15 adet,Altapharma,Sağlık & Gıda,139.0,139.0,0,,OUT_OF_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/9/19781fdfc8af59d42c96728475ca490d938294074a630c995d536714e22c0609.jpeg,https://www.rossmann.com.tr/altapharma-kalsiyum-vitamin-d3-iceren-takviye-edici-gida-efervesan-tablet-frenk-inciri-aromali-15-adet-p-sr18120020,06,0.0,0.0,,
Njgy,SR12064671,Domol Banyo Yüzey Temizleyici Sirke Asidi İçerikli 1000 ml,Domol,Sağlık & Gıda,155.0,155.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/a/1/a1f0d15606deec24e09c06a839f40ce4404cd938be2442ccee2c2fe0bd7b40bb.jpeg,https://www.rossmann.com.tr/domol-banyo-yuzey-temizleyici-sirke-asidi-icerikli-1000-ml-p-sr12064671,06,0.0,0.0,,
NzA5,SR12063939,Domol Ekolojik Tuvalet Temizleme Jeli 750 ml,Domol,Sağlık & Gıda,189.0,189.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/8/e8bd7d3a872fed39912dfa1c9c52634b2af7c74cba3052e72e741f861f73fc55.jpeg,https://www.rossmann.com.tr/domol-ekolojik-tuvalet-temizleme-jeli-750-ml-p-sr12063939,06,0.0,14.545454545454545,,
MTAzNzg=,ST21030245,Avofarm Organik Hindistan Cevizi Yağı 150 ml,Avofarm,Sağlık & Gıda,429.0,429.0,0,,OUT_OF_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/6/e6198f4a2f6eafe129d80e5531421f125ec9fd2e2a6e63d111707091545d646b.jpeg,https://www.rossmann.com.tr/avofarm-organik-hindistan-cevizi-yagi-150-ml-p-st21030245,06,0.0,0.0,,
