YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-04,1_10_2,UNKNOWN,-2.68,4009,4
2026-04,1_2_1,UNKNOWN,-27.73,89725,5
2026-04,1_2_1_1,UNKNOWN,-37.57,133,3
2026-04,1_7,UNKNOWN,-23.22,48,2
2026-04,1_7_5_3,UNKNOWN,-24.7,77,1
2026-04,1_8_2_4,UNKNOWN,0.51,95,1
2026-04,215,Clothing and footwear,19.46,105,3
2026-04,219,Men’s overcoat,-5.27,67,2
2026-04,220,Men’s jacket,-14.04,28,2
2026-04,225,Men’s shirt,-0.56,302,3
2026-04,226,Men’s sweatshirt,0.2,212,3
2026-04,227,Men’s t-shirt,-9.17,268,3
2026-04,228,Men’s sweatpants,0.0,90,1
2026-04,232,Boys’ jacket,-0.0,30,1
2026-04,234,Boys’ sweatshirt,0.0,30,2
2026-04,235,Boys’ t-shirt,1.62,161,3
2026-04,241,Women’s overcoat,-3.72,60,3
2026-04,242,Women’s jacket,0.0,17,3
2026-04,247,Women’s cardigan,0.0,150,3
2026-04,249,Women’s shirt,-16.41,189,4
2026-04,250,Women’s sweatshirt,-3.41,577,4
2026-04,251,Women’s t-shirt,3.88,270,3
2026-04,258,Girls’ sweatshirt,0.0,60,2
2026-04,259,Girls’ t-shirt,8.79,182,2
2026-04,28,Beef salami,0.0,6,2
2026-04,283,Men’s shoes,8.79,213,3
2026-04,287,Women’s shoes,23.08,49,3
2026-04,289,Women’s sneakers,-14.93,37,3
2026-04,29,Poultry salami,-12.23,27,2
2026-04,290,Women’s slippers,73.76,45,3
2026-04,291,Footwear for infants and children,72.86,84,2
2026-04,2_1,UNKNOWN,-9.59,933900,7
2026-04,2_2,UNKNOWN,-7.97,947,4
2026-04,3_1,UNKNOWN,-36.19,4048,4
2026-04,3_3_1,UNKNOWN,-8.39,15316,4
2026-04,3_4_2,UNKNOWN,-16.67,1,1
2026-04,5_3_1,UNKNOWN,-17.35,2370,4
2026-04,5_4_1,UNKNOWN,-7.91,120,2
2026-04,6_1_1,UNKNOWN,-3.07,2403,4
2026-04,8_1_2,UNKNOWN,-27.28,1556,3
2026-05,1_10_2,UNKNOWN,0.17,3607,4
2026-05,1_2_1,UNKNOWN,9.78,77737,4
2026-05,1_2_1_1,UNKNOWN,161.88,139,3
2026-05,1_7,UNKNOWN,15.03,32,2
2026-05,1_8_2_4,UNKNOWN,2.35,80,1
2026-05,215,Clothing and footwear,8.7,70,2
2026-05,219,Men’s overcoat,-0.57,81,2
2026-05,220,Men’s jacket,0.0,12,2
2026-05,225,Men’s shirt,6.55,226,3
2026-05,226,Men’s sweatshirt,0.86,221,3
2026-05,227,Men’s t-shirt,4.18,304,3
2026-05,228,Men’s sweatpants,0.0,81,1
2026-05,229,Men’s pyjamas,-64.99,32,1
2026-05,232,Boys’ jacket,0.0,27,1
2026-05,234,Boys’ sweatshirt,0.0,27,2
2026-05,235,Boys’ t-shirt,0.92,156,3
2026-05,241,Women’s overcoat,-0.0,54,2
2026-05,242,Women’s jacket,0.0,7,2
2026-05,247,Women’s cardigan,0.0,135,2
2026-05,249,Women’s shirt,17.89,113,3
2026-05,250,Women’s sweatshirt,-1.01,526,3
2026-05,251,Women’s t-shirt,-1.21,260,4
2026-05,252,Women’s sweatpants,10.2,81,1
2026-05,253,Women’s pyjamas,1.56,383,1
2026-05,254,Women’s underwear,0.0,27,1
2026-05,258,Girls’ sweatshirt,0.0,54,2
2026-05,259,Girls’ t-shirt,-2.63,228,2
2026-05,273,Men's belt,0.0,27,2
2026-05,28,Beef salami,0.0,4,2
2026-05,283,Men’s shoes,-0.19,224,3
2026-05,287,Women’s shoes,25.87,39,3
2026-05,289,Women’s sneakers,-14.45,41,3
2026-05,29,Poultry salami,8.58,1,2
2026-05,290,Women’s slippers,39.09,68,3
2026-05,291,Footwear for infants and children,7.03,81,2
2026-05,2_1,UNKNOWN,-2.47,700932,6
2026-05,2_2,UNKNOWN,-1.67,821,3
2026-05,3_1,UNKNOWN,-5.89,3743,4
2026-05,3_3_1,UNKNOWN,12.56,12099,4
2026-05,4_1,UNKNOWN,-77.97,20,1
2026-05,5_1_1,UNKNOWN,-48.41,72,2
2026-05,5_3_1,UNKNOWN,5.76,1813,4
2026-05,5_4_1,UNKNOWN,-0.52,100,2
2026-05,6_1_1,UNKNOWN,11.52,1966,4
2026-05,8_1_2,UNKNOWN,13.51,1327,3
