YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-04,1_10_2,UNKNOWN,-5.25,13690,35
2026-04,1_11_3,UNKNOWN,-15.24,150,31
2026-04,1_1_3_1,UNKNOWN,-0.26,861,31
2026-04,1_1_4_1,UNKNOWN,-6.9,89,31
2026-04,1_2_1,UNKNOWN,-6.25,223426,35
2026-04,1_2_1_1,UNKNOWN,-12.02,89,32
2026-04,1_2_1_2,UNKNOWN,-7.75,253,30
2026-04,1_2_1_3,UNKNOWN,-4.62,541,30
2026-04,1_4_3,UNKNOWN,0.0,60,1
2026-04,1_4_6,UNKNOWN,15.47,240,31
2026-04,1_7,UNKNOWN,-38.17,601,31
2026-04,1_7_5_3,UNKNOWN,0.38,1059,32
2026-04,1_8,UNKNOWN,-0.39,420,1
2026-04,1_8_2_4,UNKNOWN,0.0,270,1
2026-04,2_1,UNKNOWN,-40.47,6061,33
2026-04,2_2,UNKNOWN,-15.61,1046,34
2026-04,390,"Glassware, crystal ware, ceramic ware and china ware",0.0,30,1
2026-04,3_1,UNKNOWN,-0.84,63410,35
2026-04,3_3_1,UNKNOWN,-7.29,101868,35
2026-04,3_4_1,UNKNOWN,111.3,6423,34
2026-04,3_4_2,UNKNOWN,-10.79,4306,33
2026-04,4,Rice,0.0,30,1
2026-04,403,Light bulb,0.0,87,1
2026-04,410,Cleaning cloths,-99.33,60,30
2026-04,42,Canned fish,0.0,30,1
2026-04,420,Health,0.0,30,1
2026-04,422,Medicines,0.0,30,1
2026-04,425,Medicine copayment,0.0,30,1
2026-04,458,Purchase of vehicles,0.0,87,1
2026-04,459,Motor cars,0.0,30,1
2026-04,46,Skimmed milk,0.0,30,1
2026-04,467,Bicycles,0.0,29,1
2026-04,473,Vehicle tyres,0.0,29,1
2026-04,479,Diesel,0.0,29,1
2026-04,4_1,UNKNOWN,-100.0,921980,36
2026-04,4_2_2,UNKNOWN,-36.54,349,31
2026-04,4_3_1_3,UNKNOWN,-6.85,6599,32
2026-04,5_1_1,UNKNOWN,-6.28,18520,35
2026-04,5_2_2_1,UNKNOWN,-10.78,2075,32
2026-04,5_3_1,UNKNOWN,-2.0,1571,31
2026-04,5_3_3,UNKNOWN,-2.29,551,31
2026-04,6_1_1,UNKNOWN,-9.34,11187,33
2026-04,8_1_2,UNKNOWN,-10.75,1173,33
2026-04,8_2_1,UNKNOWN,-5.33,538,33
2026-04,8_4_1,UNKNOWN,-1.33,1091,31
2026-05,1_10_2,UNKNOWN,9.56,10109,28
2026-05,1_11_3,UNKNOWN,96.97,66,11
2026-05,1_1_3_1,UNKNOWN,5.1,710,24
2026-05,1_1_4_1,UNKNOWN,0.17,77,25
2026-05,1_2_1,UNKNOWN,13.98,170223,28
2026-05,1_2_1_1,UNKNOWN,30.81,61,12
2026-05,1_2_1_2,UNKNOWN,-1.33,190,24
2026-05,1_2_1_3,UNKNOWN,5.13,446,24
2026-05,1_4_3,UNKNOWN,0.0,52,1
2026-05,1_4_6,UNKNOWN,5.58,197,24
2026-05,1_7,UNKNOWN,3.36,506,24
2026-05,1_7_5_3,UNKNOWN,5.2,877,12
2026-05,1_8,UNKNOWN,0.0,364,1
2026-05,1_8_2_4,UNKNOWN,-17.6,284,11
2026-05,2_1,UNKNOWN,-70.73,17576,26
2026-05,2_2,UNKNOWN,105.5,753,26
2026-05,390,"Glassware, crystal ware, ceramic ware and china ware",0.0,26,1
2026-05,3_1,UNKNOWN,9.38,50227,28
2026-05,3_3_1,UNKNOWN,15.15,77080,28
2026-05,3_4_1,UNKNOWN,15.68,4904,27
2026-05,3_4_2,UNKNOWN,20.28,3327,26
2026-05,4,Rice,0.0,26,1
2026-05,403,Light bulb,0.0,78,1
2026-05,410,Cleaning cloths,0.0,20,10
2026-05,42,Canned fish,0.0,26,1
2026-05,420,Health,0.0,26,1
2026-05,422,Medicines,0.0,26,1
2026-05,425,Medicine copayment,0.0,26,1
2026-05,438,Dental crown and prosthesis fee,0.0,26,1
2026-05,458,Purchase of vehicles,0.0,78,1
2026-05,459,Motor cars,0.0,25,1
2026-05,46,Skimmed milk,0.0,26,1
2026-05,467,Bicycles,0.0,26,1
2026-05,473,Vehicle tyres,0.0,26,1
2026-05,479,Diesel,0.0,26,1
2026-05,4_1,UNKNOWN,13.33,702737,29
2026-05,4_2_2,UNKNOWN,13.71,266,24
2026-05,4_3_1_3,UNKNOWN,11.97,5315,26
2026-05,5_1_1,UNKNOWN,11.24,14775,28
2026-05,5_2_2_1,UNKNOWN,22.31,1504,25
2026-05,5_2_2_2,UNKNOWN,0.0,46,22
2026-05,5_3_1,UNKNOWN,46.02,936,11
2026-05,5_3_3,UNKNOWN,6.75,413,11
2026-05,6_1_1,UNKNOWN,32.51,7495,26
2026-05,8_1_2,UNKNOWN,29.76,793,26
2026-05,8_2_1,UNKNOWN,13.55,412,26
2026-05,8_4_1,UNKNOWN,-8.04,981,24
