YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-05,1_10_2,UNKNOWN,0.11,2189,67
2026-05,1_11_3,UNKNOWN,-10.16,256,54
2026-05,1_2_1,UNKNOWN,26.88,156750,158
2026-05,1_2_1_1,UNKNOWN,1.1,27,27
2026-05,1_4_6,UNKNOWN,-7.47,79,40
2026-05,1_7,UNKNOWN,-4.46,1758,109
2026-05,1_7_5_3,UNKNOWN,6.63,1654,67
2026-05,1_8_2_4,UNKNOWN,309.15,103,27
2026-05,1_8_6_1,UNKNOWN,0.0,31,27
2026-05,2_1,UNKNOWN,11.05,19686,109
2026-05,2_2,UNKNOWN,8.52,3048,85
2026-05,3_1,UNKNOWN,28.8,21300,184
2026-05,3_3_1,UNKNOWN,15.88,89895,158
2026-05,3_4_1,UNKNOWN,-1.36,487,74
2026-05,3_4_2,UNKNOWN,10.61,189,54
2026-05,4_1,UNKNOWN,56.04,2305,89
2026-05,5_1_1,UNKNOWN,11.03,2759,54
2026-05,5_3_1,UNKNOWN,20.36,333,62
2026-05,6_1_1,UNKNOWN,13.88,189,67
2026-05,8_1_2,UNKNOWN,-1.12,406,54
2026-05,8_2_1,UNKNOWN,0.0,43,27
