YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-05,1_10_2,UNKNOWN,-15.77,21625,6
2026-05,1_11_3,UNKNOWN,-13.1,53,1
2026-05,1_1_1_3,UNKNOWN,0.0,25,1
2026-05,1_1_3_1,UNKNOWN,-9.79,2945,4
2026-05,1_1_4_1,UNKNOWN,-40.94,1501,4
2026-05,1_2_1,UNKNOWN,-3.43,132400,8
2026-05,1_2_1_3,UNKNOWN,-69.75,257,2
2026-05,1_4_3,UNKNOWN,-7.51,633,4
2026-05,1_4_6,UNKNOWN,22.65,633,2
2026-05,1_7,UNKNOWN,-8.09,1911,4
2026-05,1_7_5_3,UNKNOWN,3.68,297,4
2026-05,1_8,UNKNOWN,-8.82,431,3
2026-05,1_8_2_4,UNKNOWN,35.13,374,3
2026-05,1_8_6_1,UNKNOWN,-4.01,494,4
2026-05,2_1,UNKNOWN,-5.94,477,5
2026-05,2_2,UNKNOWN,-19.18,1619,4
2026-05,3_1,UNKNOWN,9.92,46635,9
2026-05,3_3_1,UNKNOWN,4.91,59013,8
2026-05,3_4_1,UNKNOWN,-30.42,126,4
2026-05,3_4_2,UNKNOWN,16.63,643,1
2026-05,40,Other fishes,10.3,22,2
2026-05,42,Canned fish,0.0,72,2
2026-05,458,Purchase of vehicles,0.0,36,2
2026-05,4_1,UNKNOWN,4.46,307986,9
2026-05,4_2_2,UNKNOWN,-0.7,3947,4
2026-05,4_3_1_3,UNKNOWN,850.18,79,3
2026-05,5_1_1,UNKNOWN,140.97,621,6
2026-05,5_3_1,UNKNOWN,52.74,750,2
2026-05,6_1_1,UNKNOWN,0.18,1689,3
2026-05,8_1_2,UNKNOWN,30.97,84,2
2026-05,8_2_1,UNKNOWN,0.0,3,2
2026-05,8_4_1,UNKNOWN,-10.96,517,5
