YearMonth,TUFE_Code,TUFE_Name,Inflation_%,NumProducts,NumStores
2026-03,100,Peanuts,-18.33,235,11
2026-03,101,Pumpkin seeds,30.38,368,18
2026-03,102,Roasted chickpeas (leblebi),-5.02,100,9
2026-03,103,Sunflower seeds,133.11,80,6
2026-03,106,Cabbage,62.14,98,13
2026-03,107,Cauliflower,37.73,104,12
2026-03,108,Leaf lettuce (curly),-37.14,144,13
2026-03,109,Spinach,-0.84,145,9
2026-03,111,Long green pepper (çarliston),30.69,199,16
2026-03,112,Other peppers,-16.67,88,8
2026-03,113,Cucumber,-12.94,215,18
2026-03,114,Eggplant (aubergine),18.08,171,17
2026-03,116,Zucchini (courgette),-0.31,74,6
2026-03,120,Carrots,-10.4,124,17
2026-03,121,Radish,-0.23,14,2
2026-03,122,Dried garlic (bulb),-27.27,155,12
2026-03,123,Onions (dry),-20.83,114,14
2026-03,124,Leek,7.02,96,8
2026-03,125,Cultivated mushrooms,15.39,31,1
2026-03,132,Lentils,-9.51,36,2
2026-03,136,Tomato paste,87.49,6,1
2026-03,139,Cane sugar and beet sugar,27.36,21,2
2026-03,14,Baklava,5.18,52,5
2026-03,140,Granulated sugar,8.39,316,36
2026-03,141,Sugar cubes,-17.63,102,11
2026-03,144,Jam,0.0,28,2
2026-03,147,Hazelnut paste,0.74,328,39
2026-03,150,Chocolate,-52.99,123,16
2026-03,151,Chocolate spread,163.61,157,15
2026-03,153,Ice cream,0.0,14,1
2026-03,155,Halva (tahini halva),-32.43,98,10
2026-03,162,Instant soups,0.0,8,1
2026-03,168,Salt,0.0,6,1
2026-03,169,Vinegar,0.0,16,1
2026-03,17,Breakfast cereal,-7.82,89,11
2026-03,174,Spices,-0.0,8,1
2026-03,177,Instant dessert powders,-75.31,13,1
2026-03,189,Iced tea,99.06,29,8
2026-03,194,Soft drinks,-14.02,13,2
2026-03,1_1,UNKNOWN,19.32,875072,48
2026-03,1_10_2,UNKNOWN,0.89,17327,42
2026-03,1_11_3,UNKNOWN,-3.59,21,12
2026-03,1_1_1_3,UNKNOWN,11.98,3748,44
2026-03,1_1_3_1,UNKNOWN,20.2,3429,44
2026-03,1_1_4_1,UNKNOWN,6.0,11400,44
2026-03,1_2_1,UNKNOWN,11.73,191126,46
2026-03,1_2_1_1,UNKNOWN,-7.09,4285,19
2026-03,1_2_1_2,UNKNOWN,-11.66,1548,16
2026-03,1_2_1_3,UNKNOWN,25.0,4161,43
2026-03,1_4_3,UNKNOWN,16.0,23895,44
2026-03,1_4_6,UNKNOWN,26.18,2308,42
2026-03,1_7,UNKNOWN,-3.69,14013,45
2026-03,1_7_5_3,UNKNOWN,0.14,16185,44
2026-03,1_8,UNKNOWN,31.71,1204,43
2026-03,1_8_2_4,UNKNOWN,9.65,4850,44
2026-03,1_8_6_1,UNKNOWN,6.62,2172,20
2026-03,2_1,UNKNOWN,11.46,3736,42
2026-03,2_2,UNKNOWN,87.67,801,42
2026-03,3_1,UNKNOWN,48.9,17706,46
2026-03,3_3_1,UNKNOWN,43.12,96659,46
2026-03,3_4_1,UNKNOWN,-10.08,932,7
2026-03,3_4_2,UNKNOWN,9.94,2622,19
2026-03,4_1,UNKNOWN,10.04,1048,42
2026-03,4_2_2,UNKNOWN,-0.29,96,4
2026-03,4_3_1_3,UNKNOWN,-1.3,801,3
2026-03,5_1_1,UNKNOWN,73.17,1239,42
2026-03,5_2_2_1,UNKNOWN,0.0,8,1
2026-03,5_3_1,UNKNOWN,36.04,165,7
2026-03,6_1_1,UNKNOWN,66.85,968,42
2026-03,77,Orange,-8.84,10,11
2026-03,78,Mandarin (tangerine),29.1,55,12
2026-03,8_1_2,UNKNOWN,43.94,1015,18
2026-03,8_2_1,UNKNOWN,-2.3,475,40
2026-03,8_4_1,UNKNOWN,70.82,210,12
2026-04,100,Peanuts,7.41,222,4
2026-04,101,Pumpkin seeds,14.81,302,25
2026-04,102,Roasted chickpeas (leblebi),5.13,87,2
2026-04,103,Sunflower seeds,-1.67,152,23
2026-04,106,Cabbage,-3.76,76,4
2026-04,107,Cauliflower,-2.09,73,4
2026-04,108,Leaf lettuce (curly),-4.09,95,1
2026-04,109,Spinach,-8.83,72,4
2026-04,111,Long green pepper (çarliston),5.69,148,3
2026-04,112,Other peppers,9.16,75,1
2026-04,113,Cucumber,-1.23,186,4
2026-04,114,Eggplant (aubergine),-54.74,127,4
2026-04,116,Zucchini (courgette),-18.14,53,2
2026-04,120,Carrots,6.63,77,3
2026-04,122,Dried garlic (bulb),34.09,131,3
2026-04,123,Onions (dry),3.48,29,2
2026-04,124,Leek,-1.9,59,4
2026-04,125,Cultivated mushrooms,1.98,9,1
2026-04,132,Lentils,296.98,52,2
2026-04,139,Cane sugar and beet sugar,-13.27,30,1
2026-04,14,Baklava,-0.94,30,2
