tuik_category,sector,product_key,price,store,basic_inflation_15d,basic_inflation_30d
05,construction,! ANL 4466 SARI MASKELEME BANTI 18X35 (180190015031.Y),30.45,Afeks,0.0,
05,construction,! Apel PF212 Polüretan Pipetli Köpük ( 600 gr ) (APEL.212),94.9,Afeks,0.0,
05,construction,! Aquanil Napoli 85 cm Dorado-Antrasit Beyaz Lavabolu Takım Banyo Dolabı (41400001049),7499.0,Afeks,0.0,
05,construction,! Eraks 192 mm Nadir 25 Mat Siyah Kulp (6029 064 192),84.9,Afeks,0.0,
05,construction,! JUMBO AYAK 12 CM KREM (LİZ.012),22.0,Afeks,0.0,
05,construction,! JUMBO AYAK 5 CM KREM (LİZ.015),18.0,Afeks,0.0,
05,construction,! JUMBO AYAK 8 CM KREM (LİZ.005),18.75,Afeks,0.0,
05,construction,! KULP 0160 MM KROM (SY6875 0160 CR),50.99,Afeks,0.0,
05,construction,! Natura 80 Cm Antrasit Alt-Üst Modül Takım ( Lavabosuz ) (10000110326),18000.0,Afeks,0.0,
05,construction,! Natura 80 Cm Bordo Alt-Üst Modül Takım ( Lavabosuz ) (10000110327),5150.0,Afeks,0.0,
05,construction,! Natura 80 Cm Yeşil Alt-Üst Modül Takım ( Lavabosuz ) (10000110324),18000.0,Afeks,0.0,
05,construction,! Natura Boy Dolabı Antrasit (10000110328),8999.0,Afeks,0.0,
05,construction,! Natura Boy Dolabı Bordo (10000110332),8999.0,Afeks,0.0,
05,construction,! Natura Boy Dolabı Mavi (10000110331),8999.0,Afeks,0.0,
05,construction,! Natura Boy Dolabı Yeşil (10000110330),8999.0,Afeks,0.0,
05,construction,! Serel Rita 52 cm Kanalsız Asma Klozet (RT26ADS110H),7999.9,Afeks,0.0,
05,construction,! SYSTEM PLUS SY4025 0160 AL6 KULP (SY4025 0160 AL6),99.4,Afeks,0.0,
05,construction,! VALTEMO Maxima Royal Altın Yağmur Tepe Duşlu Duş Seti (VS-2693),4499.9,Afeks,0.0,
05,construction,"""Makel Makel """"I"""" Tipi Üçlü Topraklı Golyat"" (MAKEL.10033)",166.5,Afeks,0.0,
05,construction,(TEŞHİRDİR.)Einhell GE-CM 36/36 Li Kit Çift Akülü 4 Ah Çim Biçme Makinası (EİNHEL.3413230),17689.9,Afeks,0.0,
05,construction,***KAPANYA*** VİTRA ÇAMAŞIR MAK.DOLABI ALTIN KİRAZ 70cm,1490.0,FiltasYapi,0.0,
01,market,+Arko Nem Değerli Yağlar Zeytinyağı 60 ml,109.95,Arden,0.0,
01,market,"+Cola Turka Kola 1,5 lt - DELİST",55.0,Arden,0.0,
01,market,+Dalan D'Olive Saç Kremi Doğal Zeytinyağlı Onarıcı Bakım Besleyici 200 ml,99.95,Arden,0.0,
01,market,+Dalan Gliserinli Banyo Sabunu Zeytinyağlı 4x150 g,139.95,Arden,0.0,
01,market,+Kızılay Elmalı Maden Suyu 200 ml,12.5,Arden,0.0,
01,market,+Kızılay Karpuz & Çilek Aromalı Meyveli Soda 200 ml,12.5,Arden,0.0,
01,market,+Kızılay Limonlu Maden Suyu 200 ml,12.5,Arden,0.0,
01,market,+Lav Sedef Su Bardağı 6'lı,59.95,Arden,0.0,
01,market,+Pakmaya Yaş Hamur Mayası 4x42 g,45.0,Arden,0.0,
01,market,+Piknik P. Eldiven Medium 10'lu,129.95,Arden,0.0,
01,market,+Selpak Collection Peçete,49.95,Arden,0.0,
01,market,+Şölen Madlen Sütlü Bitter Çikolata 250 g,339.95,Arden,-5.556327267676067,
01,market,+Tat Köy Antep Tadı Biber Salçası Ev Usulü Cam 550 g,159.95,Arden,0.0,
05,construction,0.30 TRP MAHYA,137.5,Yapimaks,,
05,construction,0.30*875*200 OLUKLU,276.0,Yapimaks,,
05,construction,0.30*875*250 OLUKLU,343.75,Yapimaks,,
05,construction,0.30*875*300 OLUKLU,412.5,Yapimaks,,
05,construction,0.40*86*200 TRAPEZ,365.0,Yapimaks,,
05,construction,0.40*86*2000 (BORDO),370.0,Yapimaks,,
05,construction,0.40*86*2000 (GRİ),380.0,Yapimaks,,
05,construction,0.40*86*250 TRAPEZ,456.25,Yapimaks,,
05,construction,0.40*86*2500 (GRİ),475.0,Yapimaks,,
05,construction,0.40*86*30*30 TRAPEZ MAHYA GLV.,144.0,Yapimaks,0.0,
05,construction,0.40*86*300 TRAPEZ,547.5,Yapimaks,,
05,construction,0.40*86*3000 (GRİ),570.0,Yapimaks,,
05,construction,0.40*86*400 TRAPEZ,730.0,Yapimaks,,
05,construction,0.50*15*200 KAR TUTUCU AKSESUAR ANTRASİT,110.0,Yapimaks,,
05,construction,0.50*15*200 KAR TUTUCU AKSESUAR BORDO,110.0,Yapimaks,,
05,construction,0.50*15*200 L KÖŞE AKSESUAR ANTRASİT,110.0,Yapimaks,,
05,construction,0.50*15*200 L KÖŞE AKSESUAR BORDO,110.0,Yapimaks,,
05,construction,0.50*25*25*2000 DÜZ MAHYA (BORDO),352.0,Yapimaks,,
05,construction,0.50*25*25*2000 DÜZ MAHYA (GRİ),350.0,Yapimaks,,
05,construction,0.50*30*200 ALIN KAPAMA AKSESUAR BORDO,195.0,Yapimaks,,
05,construction,0.50*3009 RULO SAC 30-CM,57.5,Yapimaks,,
05,construction,0.50*50*200 DERE AKSESUAR ANTRASİT,330.0,Yapimaks,,
05,construction,0.50*50*200 DERE AKSESUAR BORDO,330.0,Yapimaks,,
05,construction,0.50*86*1250 (BORDO),262.5,Yapimaks,,
05,construction,0.50*86*2000 (GRİ),430.0,Yapimaks,,
05,construction,0.50*86*30*30 TRAPEZ MAHYA GLV.,192.5,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA (BORDO),220.0,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA 7016-(A.GRİ),215.0,Yapimaks,,
05,construction,0.50*86*30*30 TRP MAHYA 9002-(BEYAZ),220.0,Yapimaks,,
05,construction,0.50*86*3000 (BORDO),630.0,Yapimaks,,
05,construction,0.50*86*3000 (GRİ),645.0,Yapimaks,,
05,construction,0.50*86*4500 (BORDO),945.0,Yapimaks,,
05,construction,0.50*86*5000 (BORDO),1050.0,Yapimaks,,
05,construction,"05002 MMSS Komple Plastik Tekerlek, Metal Tablalı, Siyah (05002MMS)",15.5,Afeks,0.0,
05,construction,1 İnç Kendinden Vanalı 4'lü Kollektör,697.72,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 5'li Kollektör,872.44,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 6'lı Kollektör,1047.16,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 7'li Kollektör,1221.88,TasciYapi,,
05,construction,1 İnç Kendinden Vanalı 8'li Kollektör,1396.6,TasciYapi,,
