canonical_key,tuik_category,sector,product_key,store,relative_compare
0.30 trp mahya,05,construction,0.30 TRP MAHYA,yapimaks,0.0
0.30*875*200 oluklu,05,construction,0.30*875*200 OLUKLU,yapimaks,0.0
0.30*875*250 oluklu,05,construction,0.30*875*250 OLUKLU,yapimaks,0.0
0.40*86*200 trapez,05,construction,0.40*86*200 TRAPEZ,yapimaks,0.0
0.40*86*2000 (beyaz),05,construction,0.40*86*2000 (BEYAZ),yapimaks,
0.40*86*2000 (gri),05,construction,0.40*86*2000 (GRİ),yapimaks,0.0
0.40*86*250 trapez,05,construction,0.40*86*250 TRAPEZ,yapimaks,0.0
0.40*86*2500 (gri),05,construction,0.40*86*2500 (GRİ),yapimaks,0.0
0.40*86*300 trapez,05,construction,0.40*86*300 TRAPEZ,yapimaks,0.0
0.40*86*3000 (gri),05,construction,0.40*86*3000 (GRİ),yapimaks,0.0
0.40*86*400 trapez,05,construction,0.40*86*400 TRAPEZ,yapimaks,0.0
0.50*15*200 kar tutucu aksesuar antrasit,05,construction,0.50*15*200 KAR TUTUCU AKSESUAR ANTRASİT,yapimaks,0.0
0.50*15*200 kar tutucu aksesuar bordo,05,construction,0.50*15*200 KAR TUTUCU AKSESUAR BORDO,yapimaks,0.0
0.50*15*200 l kose aksesuar antrasit,05,construction,0.50*15*200 L KÖŞE AKSESUAR ANTRASİT,yapimaks,0.0
0.50*15*200 l kose aksesuar bordo,05,construction,0.50*15*200 L KÖŞE AKSESUAR BORDO,yapimaks,0.0
0.50*25*25*2000 duz mahya (bordo),05,construction,0.50*25*25*2000 DÜZ MAHYA (BORDO),yapimaks,0.0
0.50*25*25*2000 duz mahya (gri),05,construction,0.50*25*25*2000 DÜZ MAHYA (GRİ),yapimaks,0.0
0.50*30*200 alin kapama aksesuar bordo,05,construction,0.50*30*200 ALIN KAPAMA AKSESUAR BORDO,yapimaks,0.0
0.50*3009 rulo sac 30-cm,05,construction,0.50*3009 RULO SAC 30-CM,yapimaks,0.0
0.50*50*200 dere aksesuar antrasit,05,construction,0.50*50*200 DERE AKSESUAR ANTRASİT,yapimaks,0.0
0.50*50*200 dere aksesuar bordo,05,construction,0.50*50*200 DERE AKSESUAR BORDO,yapimaks,0.0
0.50*86*1250 (bordo),05,construction,0.50*86*1250 (BORDO),yapimaks,0.0
0.50*86*2000 (gri),05,construction,0.50*86*2000 (GRİ),yapimaks,0.0
0.50*86*30*30 trapez mahya glv.,05,construction,0.50*86*30*30 TRAPEZ MAHYA GLV.,yapimaks,0.0
0.50*86*30*30 trp mahya (bordo),05,construction,0.50*86*30*30 TRP MAHYA (BORDO),yapimaks,0.0
0.50*86*30*30 trp mahya 7016-(a.gri),05,construction,0.50*86*30*30 TRP MAHYA 7016-(A.GRİ),yapimaks,0.0
0.50*86*30*30 trp mahya 9002-(beyaz),05,construction,0.50*86*30*30 TRP MAHYA 9002-(BEYAZ),yapimaks,0.0
0.50*86*3000 (bordo),05,construction,0.50*86*3000 (BORDO),yapimaks,7.14285714285714
0.50*86*3000 (gri),05,construction,0.50*86*3000 (GRİ),yapimaks,0.0
0.50*86*4500 (bordo),05,construction,0.50*86*4500 (BORDO),yapimaks,0.0
0.50*86*5000 (bordo),05,construction,0.50*86*5000 (BORDO),yapimaks,0.0
1 kuresel vana sanayi tipi kalde,05,construction,1 KÜRESEL VANA SANAYİ TİPİ KALDE,Hausmart,0.0
100 es pis su pvc kalde 110x87,05,construction,100 ES PİS SU PVC KALDE 110X87,yapimaks,0.0
100 kayar manson pis su pvc kalde,05,construction,100 KAYAR MANŞON PİS SU PVC KALDE,yapimaks,0.0
100 kelepce pis su pvc kalde,05,construction,100 KELEPÇE PİS SU PVC KALDE,yapimaks,0.0
100 lik conta kalde,05,construction,100 LİK CONTA KALDE,yapimaks,0.0
100 tapa pis su kalde,05,construction,100 TAPA PİS SU KALDE,yapimaks,0.0
100 temizleme pis su kalde,05,construction,100 TEMİZLEME PİS SU KALDE,yapimaks,0.0
100/100 catal pis su pvc kalde,05,construction,100/100 ÇATAL PİS SU PVC KALDE,yapimaks,0.0
100/100 te pis su pvc kalde,05,construction,100/100 TE PİS SU PVC KALDE,yapimaks,0.0
100/100/100 cift catal pis su pvc kalde,05,construction,100/100/100 ÇİFT ÇATAL PİS SU PVC KALDE,yapimaks,0.0
100/1000 pis su boru kalde,05,construction,100/1000 PİS SU BORU KALDE,yapimaks,0.0
