category,product_name,price,date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Banyo,Albie Banyo Seti Şeffaf,2999.99,2026-05-01,05,,,,
Banyo,Aluna Suni Deri Çamaşır Sepeti Siyah,719.99,2026-05-01,05,,,,
Banyo,"Anna Banyo Sıvı Sabunluk 14,5 cm Pembe",251.99,2026-05-01,05,,,,
Banyo,"Anna Banyo Sıvı Sabunluk 14,5 cm Şeffaf",1499.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Fildişi,719.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Gri,899.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Banyo Havlusu 90x150 cm Yeşil,899.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Fildişi,1999.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Gri,1999.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Lacivert,1999.99,2026-05-01,05,,,,
Banyo,Aqua Pamuk Yüz Havlusu 50x80 cm Yeşil,1999.99,2026-05-01,05,,,,
Banyo,Areka 3’lü Set Banyo Seti Şeffaf,629.99,2026-05-01,05,,,,
Banyo,Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru - Yeşil,2199.99,2026-05-01,05,,,,
Banyo,Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru-Sarı,1999.99,2026-05-01,05,,,,
Banyo,"Ashle Banyo Sıvı Sabunluk 14,5 cm Beyaz",300.99,2026-05-01,05,,,,
Banyo,"Ashle Banyo Sıvı Sabunluk 14,5 cm Pembe",1999.99,2026-05-01,05,,,,
Banyo,Ava Pamuklu Banyo Paspası Açık Gri,3999.99,2026-05-01,05,,,,
Banyo,Ava Pamuklu Banyo Paspası Ekru,4499.99,2026-05-01,05,,,,
Banyo,Avin Temizlik Fırçası Pudra,999.99,2026-05-01,05,,,,
Banyo,Bamboo Bambu Duş Kaydırmazı Bej,4999.99,2026-05-01,05,,,,
Banyo,Bamboo Bambu Duş Kaydırmazı Kahve,5999.99,2026-05-01,05,,,,
Banyo,Barbara Müslin %100 Pamuklu Bornoz Antrasit,6999.99,2026-05-01,05,,,,
Banyo,"Barton 3lü Banyo Seti 14,5 cm Şeffaf",3499.99,2026-05-01,05,,,,
Banyo,Becca Duş Kaydırmazı 50x70 cm Kahve,489.99,2026-05-01,05,,,,
Banyo,Becca Duş Kaydırmazı 50x70 cm Kahverengi,3499.99,2026-05-01,05,,,,
Banyo,Becky Duş Kaydırmazı 40x60 cm Açık Kahverengi,575.99,2026-05-01,05,,,,
Banyo,"Bega 3lü Banyo Seti 14,5 cm Şeffaf",2999.99,2026-05-01,05,,,,
Banyo,Betty Duş Kaydırmazı 40x60 cm Açık Kahverengi,419.99,2026-05-01,05,,,,
Banyo,Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Bej,6499.99,2026-05-01,05,,,,
Banyo,Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Beyaz,4999.99,2026-05-01,05,,,,
Banyo,Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Mavi,5999.99,2026-05-01,05,,,,
Banyo,Bohem Line Pamuklu Peştemal 90x150 cm Açık Bej-Koyu Lacivert,2499.99,2026-05-01,05,,,,
Banyo,Bony Rejenere Peştemal Bornoz Standart Lacivert-Turuncu,584.99,2026-05-01,05,,,,
Banyo,Bony Rejenere Çizgili Peştamal 90x150 cm Mavi-Turuncu,1399.99,2026-05-01,05,,,,
Banyo,Bony Çizgili Çizgili Peştamal 90x150 cm Lacivert-Turuncu,1399.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk Banyo Havlusu 70x140 cm Fildişi,2399.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk Banyo Havlusu 70x140 cm Petrol,2249.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk Banyo Havlusu 70x140 cm Sarı,1749.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk Banyo Havlusu 70x140 cm Somon,2499.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk El Havlusu 30x40 cm Fildişi,999.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk El Havlusu 30x40 cm Petrol,999.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk El Havlusu 30x40 cm Sarı,999.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk El Havlusu 30x40 cm Somon,999.99,2026-05-01,05,,,,
Banyo,Border Check Pamuk Yüz Havlusu 50x80 cm Fildişi,1049.95,2026-05-01,05,,,,
