item_name,price,category,date,tuik_category,per_item_inflation_2026-05-23
Anemone Kaydırmaz Taban Banyo Paspası 50x80 cm Lacivert,559.99,Banyo,2026-05-24,05,0.0
"Anna Banyo Sıvı Sabunluk 14,5 cm Pembe",287.99,Banyo,2026-05-24,05,0.0
"Anna Banyo Sıvı Sabunluk 14,5 cm Şeffaf",1499.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Banyo Havlusu 90x150 cm Fildişi,719.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Banyo Havlusu 90x150 cm Gri,699.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Banyo Havlusu 90x150 cm Lacivert,899.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Banyo Havlusu 90x150 cm Yeşil,699.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Yüz Havlusu 50x80 cm Fildişi,1999.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Yüz Havlusu 50x80 cm Gri,1999.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Yüz Havlusu 50x80 cm Lacivert,1999.99,Banyo,2026-05-24,05,0.0
Aqua Pamuk Yüz Havlusu 50x80 cm Yeşil,1999.99,Banyo,2026-05-24,05,0.0
Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru-Sarı,1999.99,Banyo,2026-05-24,05,0.0
"Ashle Banyo Sıvı Sabunluk 14,5 cm Beyaz",300.99,Banyo,2026-05-24,05,0.0
Ava Pamuklu Banyo Paspası Açık Gri,3999.99,Banyo,2026-05-24,05,0.0
Bamboo Bambu Duş Kaydırmazı Bej,4999.99,Banyo,2026-05-24,05,0.0
Bamboo Bambu Duş Kaydırmazı Kahve,5999.99,Banyo,2026-05-24,05,0.0
Barbara Müslin %100 Pamuklu Bornoz Antrasit,6999.99,Banyo,2026-05-24,05,0.0
"Barton 3lü Banyo Seti 14,5 cm Şeffaf",3499.99,Banyo,2026-05-24,05,0.0
Becca Duş Kaydırmazı 50x70 cm Kahve,489.99,Banyo,2026-05-24,05,0.0
Becca Duş Kaydırmazı 50x70 cm Kahverengi,629.99,Banyo,2026-05-24,05,0.0
Becky Duş Kaydırmazı 40x60 cm Açık Kahverengi,447.99,Banyo,2026-05-24,05,0.0
Betty Duş Kaydırmazı 40x60 cm Açık Kahverengi,2999.99,Banyo,2026-05-24,05,0.0
Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Bej,909.99,Banyo,2026-05-24,05,0.0
Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Beyaz,4999.99,Banyo,2026-05-24,05,0.0
Big and Tiny Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Mavi,839.99,Banyo,2026-05-24,05,0.0
Bohem Line Pamuklu Peştemal 90x150 cm Açık Bej-Koyu Lacivert,2499.99,Banyo,2026-05-24,05,0.0
Bony Rejenere Peştemal Bornoz Standart Lacivert-Turuncu,3249.99,Banyo,2026-05-24,05,0.0
Bony Rejenere Çizgili Peştamal 90x150 cm Mavi-Turuncu,1399.99,Banyo,2026-05-24,05,0.0
Bony Çizgili Çizgili Peştamal 90x150 cm Lacivert-Turuncu,1399.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Banyo Havlusu 70x140 cm Fildişi,2399.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Banyo Havlusu 70x140 cm Petrol,2249.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Banyo Havlusu 70x140 cm Sarı,1749.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Banyo Havlusu 70x140 cm Somon,2499.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk El Havlusu 30x40 cm Fildişi,999.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk El Havlusu 30x40 cm Petrol,999.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk El Havlusu 30x40 cm Sarı,999.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk El Havlusu 30x40 cm Somon,999.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Yüz Havlusu 50x80 cm Fildişi,1049.95,Banyo,2026-05-24,05,0.0
Border Check Pamuk Yüz Havlusu 50x80 cm Petrol,1299.99,Banyo,2026-05-24,05,0.0
Border Check Pamuk Yüz Havlusu 50x80 cm Sarı,1049.95,Banyo,2026-05-24,05,0.0
Border Check Pamuk Yüz Havlusu 50x80 cm Somon,1399.99,Banyo,2026-05-24,05,0.0
Bubble %100 Pamuk Banyo Havlusu 70x140 cm Ekru,1499.99,Banyo,2026-05-24,05,0.0
Bubble %100 Pamuk Banyo Havlusu 70x140 cm Lila,1749.99,Banyo,2026-05-24,05,0.0
Bubble %100 Pamuk Yüz Havlusu 50x80 cm Ekru,1049.99,Banyo,2026-05-24,05,0.0
Bubble %100 Pamuk Yüz Havlusu 50x80 cm Lila,1299.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Banyo Havlusu 70x140 cm Açık Yeşil,1599.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Banyo Havlusu 70x140 cm Mint,1749.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Bornoz Açık Yeşil,4499.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Bornoz Ekru,799.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Bornoz Mint,5749.99,Banyo,2026-05-24,05,27.777839506310016
Bubble Pamuk El Havlusu 30x40 cm Açık Yeşil,999.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk El Havlusu 30x40 cm Ekru,999.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk El Havlusu 30x40 cm Lila,999.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk El Havlusu 30x40 cm Mint,999.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Yüz Havlusu 50x80 cm Açık Yeşil,1049.99,Banyo,2026-05-24,05,0.0
Bubble Pamuk Yüz Havlusu 50x80 cm Mint,1299.99,Banyo,2026-05-24,05,0.0
Calm Daisy Pamuk Yüz Havlusu 50x80 cm Beyaz,1999.99,Banyo,2026-05-24,05,0.0
Calm Daisy Pamuk Yüz Havlusu 50x80 cm Sarı,1999.99,Banyo,2026-05-24,05,0.0
Candy Cane Pamuk Nakışlı Yüz Havlusu 50x80 cm Beyaz,1399.95,Banyo,2026-05-24,05,0.0
Candy Rejenere Çizgili Peştamal 90x150 cm Turuncu-Açık Mavi,1499.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Ayak Havlusu 50x70 cm Bej,1249.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Ayak Havlusu 50x70 cm Beyaz,1199.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Ayak Havlusu 50x70 cm Gri,1249.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Banyo Havlusu 80x150 cm Gri,559.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Yüz Havlusu 50x80 cm Bej,1749.99,Banyo,2026-05-24,05,0.0
Chequer %100 Pamuk Yüz Havlusu 50x80 cm Gri,239.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Ayak Havlusu 50x70 cm Mavi,1199.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Banyo Havlusu 80x150 cm Bej,479.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Banyo Havlusu 80x150 cm Beyaz,2499.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Banyo Havlusu 80x150 cm Mavi,2999.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Bornoz Bej,1079.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Bornoz Beyaz,959.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Bornoz Gri,5999.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Bornoz Mavi,6999.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk El Havlusu 30x45 cm Bej,1249.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk El Havlusu 30x45 cm Beyaz,1149.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk El Havlusu 30x45 cm Gri,1149.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk El Havlusu 30x45 cm Mavi,1149.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Yüz Havlusu 50x80 cm Beyaz,1399.99,Banyo,2026-05-24,05,0.0
Chequer Pamuk Yüz Havlusu 50x80 cm Mavi,223.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Ayak Havlusu 50x70 cm Açık Yeşil,1499.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Ayak Havlusu 50x70 cm Fildişi,1499.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Banyo Havlusu 80x150 cm Açık Yeşil,4249.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Banyo Havlusu 80x150 cm Fildişi,479.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Bornoz Açık Yeşil,6999.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Bornoz Fildişi,1259.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk El Havlusu 30x45 cm Açık Yeşil,1049.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk El Havlusu 30x45 cm Fildişi,1049.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Yüz Havlusu 50x80 cm Açık Yeşil,287.99,Banyo,2026-05-24,05,0.0
Chic Diamond Pamuk Yüz Havlusu 50x80 cm Fildişi,1499.99,Banyo,2026-05-24,05,0.0
Classy Diamond Pamuklu Bukle Banyo Paspası Seti Bej,2499.99,Banyo,2026-05-24,05,0.0
CloudSoft Pamuk Banyo Havlusu 90x150 cm Beyaz,4999.99,Banyo,2026-05-24,05,0.0
CloudSoft Pamuk Yüz Havlusu 50x80 cm Beyaz,349.99,Banyo,2026-05-24,05,0.0
Color Wave Pamuklu İpliği Boyalı Plaj Havlusu 90x150 cm Yeşil,719.99,Banyo,2026-05-24,05,0.0
Colorful Lines Pamuklu El Havlusu Ekru - Yeşil,999.99,Banyo,2026-05-24,05,0.0
Colorful Lines Pamuklu Yüz Havlusu 50x80 cm Ekru - Mavi,1249.99,Banyo,2026-05-24,05,0.0
Coral Pamuklu Torba Peştemal 90x150 cm Fuşya-Turuncu,2499.99,Banyo,2026-05-24,05,0.0
Corallo Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Mavi-Beyaz,4499.99,Banyo,2026-05-24,05,0.0
Crispy Colorful Pamuklu Yüz Havlusu 50x80 cm Mavi,1999.99,Banyo,2026-05-24,05,0.0
Curve Pamuk Bornoz Bej,909.99,Banyo,2026-05-24,05,0.0
