product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
AF-G Sepet Grubu Siyah,1399.99,05,0.0,0.0,0.0,
AF-G Sepet Grubu Siyah-Bakır,1499.99,05,0.0,0.0,0.0,
AF-G Sepet Grubu Siyah-Krom,1499.99,05,0.0,0.0,0.0,
AQUA OPTIMA Su Arıtma Filtresi Beyaz,799.99,05,0.0,0.0,0.0,
Abrazo Yılbaşı Ağacı Süsü 8 cm Kırmızı,999.99,05,0.0,0.0,0.0,
Abstract Flowers Kolay Ütülenir Tek Kişilik Çarşaflı Nevresim Takımı 160x220 cm Yeşil-Mavi,839.99,05,0.0,0.0,0.0,
Acorn Branch Tek Dal Yapay Çiçek 76 cm Yeşil,2499.99,05,0.0,0.0,0.0,
Adara Mum Siyah-Gold,1274.9,05,0.0,0.0,0.0,
Adel Pamuk Runner Bej,2249.99,05,0.0,0.0,0.0,
Adela Ahşap Masa Saati Naturel,1439.99,05,0.0,0.0,-84.00009333343704,
Adelaide Sedefli Rattan Tepsi Kahverengi,5999.99,05,0.0,0.0,0.0,
Adelina 2li Misafir Peçetesi Beyaz-Gold,1999.99,05,0.0,0.0,0.0,
Adelina Masa Örtüsü 150x200 cm Beyaz-Gold,1439.99,05,0.0,0.0,33.33364197816646,
Adelina Runner 40x140 cm Beyaz-Gold,479.99,05,0.0,0.0,-84.00028000093334,
Aden Pamuk Runner Bej,2249.99,05,0.0,0.0,0.0,
"Aden Yılbaşı Ağacı Süsü 11,5 cm Kırmızı",999.99,05,0.0,0.0,0.0,
"Adly 3 Parça Saklama Kabı 700 ml – 1,4 L – 2 L Yeşil-Krem",2249.99,05,0.0,0.0,0.0,
"Ador Yılbaşı Ağacı Süsü 11,5 cm Kırmızı",999.99,05,0.0,0.0,0.0,
Adora Cam Vazo 23 cm Kahverengi,6999.99,05,0.0,0.0,0.0,
"Adora Cam Vazo 28,5 cm Krem",1049.99,05,0.0,0.0,-12.500104167534728,
Adora Metal Dekoratif Tepsi Gold,639.99,05,0.0,0.0,-84.00021000052502,
Adora Metal Dekoratif Tepsi Silver,5999.99,05,0.0,0.0,0.0,
Adra Cam Vazo Amber,1439.99,05,0.0,0.0,-11.111179698640115,
"Adra Rende 12x8,2x18,5 cm Turuncu",1999.99,05,0.0,0.0,0.0,
"Adra Rende 12x8,2x18,5 cm Yeşil",1999.99,05,0.0,0.0,0.0,
Adrea Paslanmaz Çelik Süzgeç 40 cm Gri,539.99,05,0.0,0.0,-82.00027333424445,
Adrian Yılbaşı Ağacı Süsü 11 cm Kırmızı,999.99,05,0.0,0.0,0.0,
After Rain Çubuklu Oda Kokusu 100 ml,3199.99,05,0.0,0.0,0.0,
Agolde Cam 2li Meşrubat Bardağı Şeffaf,1999.99,05,0.0,0.0,0.0,
Aidan Rattan Peçete Halkası Kahve,749.95,05,0.0,0.0,0.0,
Air Plus Klimalı Yastık 50x70 cm Beyaz-Gold,1749.99,05,0.0,0.0,0.0,
Airy Serin Tutan Yastık 50x70 cm Mavi,8999.99,05,0.0,0.0,0.0,
Akasya Dekoratif Tepsi Koyu Kahverengi,359.99,05,0.0,0.0,-84.00037333499259,
Akuante Dekoratif Tepsi 30x42 cm Multicolor,639.99,05,0.0,0.0,-84.00021000052502,
Alas Fırın Eldiveni ve Tutacak Seti Bej,2249.99,05,0.0,0.0,0.0,
Alas Pamuk Mutfak Önlüğü Lacivert,2499.99,05,0.0,0.0,0.0,
Alba Bloom King Size Çok Amaçlı Örtü 220x240 cm Mavi,4499.99,05,0.0,0.0,0.0,
Alba Bloom Tek Kişilik Çok Amaçlı Örtü 160x220 cm Mavi,3499.99,05,0.0,0.0,525.0093751674137,
Alba Bloom Çift Kişilik Çok Amaçlı Örtü 200x220 cm Mavi,3999.99,05,0.0,0.0,0.0,
Alba Cam Şamdan Kırmızı,2199.99,05,0.0,0.0,0.0,
Alba Dekoratif Aydınlatma Naturel,7999.99,05,0.0,,,
Alba Metal Çerçeve Gold,1749.99,05,0.0,0.0,0.0,
Alba Metal Çerçeve Silver,1999.99,05,14.285795918833822,0.0,0.0,
Albero Yılbaşı Ağacı Süsü 12.5 cm Yeşil,999.99,05,0.0,0.0,0.0,
Albus Dekoratif Jüt Kilim 100 cm Beyaz,1439.99,05,0.0,0.0,-84.00009333343704,
Alder Mdf Dekoratif 30x14 cm Kahverengi,7499.99,05,0.0,0.0,,
Alena Mdf Dekoratif 40x14 cm Kahverengi,7999.99,05,0.0,,,
Alena Mdf Dekoratif Kahve,4999.99,05,0.0,,,
Ales Dokuma Kilim 80x150 cm Bej,6999.99,05,0.0,0.0,0.0,
Alesa Cam Vazo Multicolor,6999.99,05,0.0,0.0,0.0,
Alesa Cam Şamdan Turuncu,1499.99,05,0.0,0.0,0.0,
Alesta Yılbaşı Ağacı Süsü 12.5 cm Siyah,999.99,05,0.0,0.0,0.0,
Alexi Mutfak Gereci Yeşil,279.99,05,0.0,0.0,0.0,
"Alexi Salata Kurutucu Mutfak Gereci 25,6x25,6x14,2 cm Turuncu",1749.99,05,0.0,0.0,0.0,
Alexy Soyacak 20 cm Mavi,1999.99,05,0.0,0.0,0.0,
Alfred Plastik Kavanoz Yeşil,699.95,05,0.0,0.0,0.0,
Alice Müzik Kutusu 17 cm Kırmızı,12499.99,05,0.0,0.0,,
Alice Polyresin Çerçeve 10x15 cm Krem,479.99,05,0.0,0.0,14.286054429867379,
Alice Saklama Kabı Turuncu,1999.99,05,0.0,0.0,0.0,
Alice Saklama Kabı Zeytin Yeşili,1199.99,05,0.0,0.0,0.0,
"Alicia Cam Vazo 20,5 cm Kahverengi",1259.99,05,0.0,0.0,0.0,
Alicia Polyresin Çerçeve 10x15 cm Krem,584.99,05,0.0,0.0,12.500240389238254,
Aligne Pamuk Kurulama Bezi 30x50 cm Antrasit,999.99,05,0.0,0.0,0.0,
Aligne Pamuklu Bukle Kilim Krem,719.99,05,0.0,0.0,-84.0001866670815,
Alina Cam 4lü Baharatlık Şeffaf,494.99,05,0.0,0.0,-82.00029818290248,
Alina Cam Baharatlık Bordo,649.95,05,0.0,0.0,0.0,
Alina Dokuma Kırlent Kılıfı Tarçın,1499.99,05,0.0,0.0,0.0,
Alina Polyresin Çerçeve 10x15 cm Krem,584.99,05,0.0,0.0,12.500240389238254,
Aline 3lü Ölçü Kabı Mutfak Gereci 8x8x9 cm Şeffaf,1299.95,05,0.0,0.0,0.0,
Aline 5’li Ölçü Kaşığı Mutfak Gereci 23X16 cm Yeşil,849.95,05,0.0,0.0,0.0,
Aline Dekoratif Kutu Krem,1139.99,05,0.0,0.0,0.0,
Aline Plastik 4lü Saklama Kabı 280 ml Yeşil-Mavi,1049.99,05,0.0,0.0,0.0,
Aline Soyacak 28 cm Mavi,1999.99,05,0.0,0.0,0.0,
Alisia Polyresin Çerçeve 10x15 cm Bej,2999.99,05,0.0,0.0,455.56399192577646,
Alissa 5li Rende 24x11 cm Renkli,1999.99,05,0.0,0.0,0.0,
Alissa Polyresin Çerçeve 10x15 cm Beyaz,389.99,05,0.0,0.0,0.0,
Alissa Soyacak 14 cm Turuncu,1999.99,05,0.0,0.0,0.0,
Alissa Soyacak 14 cm Yeşil,1999.99,05,0.0,0.0,0.0,
Alisya Polyresin Çerçeve 10x15 cm Bej,3249.99,05,,0.0,525.0100963480068,
Alita Polyresin Çerçeve 10x15 cm Bej – Bordo,3249.99,05,0.0,,0.0,
Alium Tek Dal Yapay Çiçek 94 cm Pembe,1399.99,05,0.0,0.0,0.0,
All Fresh Inox Paslanmaz Çelik Erzak Kabı Silver,2499.99,05,0.0,0.0,-9.090942148880542,
All Stripe New Bone China Kupa 345 ml Siyah - Beyaz,399.99,05,0.0,0.0,0.0,
Allegra Kandil Şeffaf,1749.99,05,0.0,0.0,0.0,
Allure Hasır Ekmek Sepeti Bej,419.99,05,0.0,0.0,0.0,
Almina Dekoratif Tepsi 33x33 cm Krem,479.99,05,0.0,0.0,-84.00028000093334,
Aloe Vera Maske 25 ml Yeşil,699.95,05,0.0,0.0,0.0,
Aloe Vera – Ylang Ylang 5li Aromaterapi Set,559.99,05,0.0,0.0,-84.00024000068572,
Aloha Yılbaşı Ağaç Süsü Multicolor,3499.99,05,0.0,0.0,0.0,
Alonza Dekoratif Tepsi Gold,3999.99,05,0.0,0.0,0.0,
Alonza Yılbaşı Ağaç Süsü Multicolor,1499.99,05,0.0,0.0,0.0,
Aluna Metal Ekmek Sepeti Bej,1749.99,05,0.0,0.0,0.0,
