tarih,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-05-01,,,,,,,,
2026-05-02,0.004398,-0.088024,,,,,,
2026-05-03,0.063972,0.040972,,,,,,
2026-05-04,0.002029,0.001299,,,,,,
2026-05-05,0.693487,0.444321,,,,,,
2026-05-06,0.416634,0.266938,,,,,,
2026-05-07,1.646058,2.687286,,,,,,
2026-05-08,0.308768,0.197866,2.902946,1.859427,,,,
2026-05-09,-1.097985,-0.703643,1.455718,2.823839,,,,
2026-05-10,0.0798,0.051148,1.309037,2.729696,,,,
2026-05-11,0.31563,0.209032,1.734247,3.002009,,,,
2026-05-12,0.948241,0.607614,1.678496,2.871237,,,,
