product_name,price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
"Porselen Priz, İkili, Zeytin Yeşili",3949.0,5,0.0,0.0,,
"Ayaklı Çerçeveli Seperatör, Ahşap",2890.0,5,0.0,0.0,,
"Porselen Priz, Antrasit",1999.0,5,0.0,0.0,,
"Çerçeveli Seperatör, Ahşap",2640.0,5,0.0,0.0,,
"Petite Çocuk Odası Takımı, Mavi, 2 Kapaklı",18138.0,5,0.0,0.0,,
Solina Genç Odası Takımı,22549.0,5,0.0,0.0,,
"Eti Genç Odası Takımı, 3 Kapaklı",24899.0,5,0.0,0.0,,
"Franz Genç Odası Takımı, 3 Kapaklı",32399.0,5,0.0,0.0,,
"Bien Genç Odası Takımı, 3 Kapaklı",14449.0,5,0.0,0.0,,
Lora Divan Genç Odası Takımı,51999.0,5,0.0,,,
Oliv Genç Odası Takımı,37849.0,5,0.0,0.0,,
Latre Genç Odası Takımı,17347.0,5,0.0,0.0,,
"Milas Genç Odası Takımı, 3 Kapaklı",17398.0,5,0.0,0.0,,
"Life Genç Odası Takımı, 3 Kapaklı",25099.0,5,0.0,0.0,,
"Mokido Genç Odası Takımı, 3 Kapaklı",31079.0,5,0.0,0.0,,
"Luna Nox Genç Odası Takımı, Beyaz Gardırop, 3 Kapaklı",41569.0,5,0.0,0.0,,
Joy Divan Çocuk Odası Takımı,26999.0,5,0.0,0.0,,
Capra Bohem Çocuk Odası Takımı,46699.0,5,0.0,0.0,,
"Zita Genç Odası Takımı, 3 Kapaklı",17178.0,5,0.0,0.0,,
"Ravon Genç Odası Takımı, 3 Kapaklı",43486.0,5,0.0,0.0,,
Lora Çocuk Odası Takımı,42798.0,5,0.0,0.0,,
"Capra Bohem Genç Odası Takımı, 3 Kapaklı",50798.0,5,0.0,0.0,,
"Strada Genç Odası Takımı, 3 Kapaklı",18680.0,5,0.0,0.0,,
"Vita Bohem Ranzalı Genç Odası Takımı, Beyaz, 4 Kapaklı",76999.0,5,0.0,0.9174432168180447,,
Dünya Çocuk Odası,74898.0,5,0.0,0.0,,
Aura Genç Odası Takımı,71198.0,5,0.0,2.7417818696066263,,
