Location,Rooms,Daily Inflation(%)
Aksu,1+1,-0.2219520915042079
Aksu,1.5+1,29.824561403508774
Aksu,2+1,-0.6042904072946049
Aksu,2.5+1,0.0
Aksu,3+1,-5.5090399870962
Aksu,4+1,-0.43731778425655343
Aksu,4+2,0.0
Aksu,5+1,34.210526315789465
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,0.0
Aksu/Köyler,2+1,-5.332320207392825
Aksu/Köyler,3+1,-2.4232633279483036
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,30.443974630021142
Aksu/Köyler,4+2,20.30075187969925
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,12.5
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,1.8948005463705615
Alanya,2+0,0.0
Alanya,2+1,1.1951099304710813
Alanya,2+2,0.0
Alanya,3+1,0.9857142554305535
Alanya,3+2,0.0
Alanya,3.5+1,0.0
Alanya,4+1,-2.3072132930799296
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,-4.962852897474001
Alanya,6+1,0.0
Alanya,6+2,0.0
Alanya,8+1,0.0
Alanya,Stüdyo (1+0),13.61344537815126
Alanya/Beldeler,1+1,-2.6826772801417693
Alanya/Beldeler,2+1,3.362481462815591
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,-2.968628467721031
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,0.0
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-9.173553719008268
Alanya/Demirtaş,1+1,-26.139088729016784
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,25.0
Alanya/Köyler,3+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,0.0
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,-32.94117647058824
Demre/Kale(Demre),2+0,-83.4862385321101
Demre/Kale(Demre),2+1,0.0
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,-12.5
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+0,0.0
Demre/Köyler,2+1,0.0
Demre/Köyler,3+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Köyler,Stüdyo (1+0),0.0
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,0.23633043291439573
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,-0.7047216349541952
Döşemealtı/Merkez,3+1,-1.6734527687296399
Döşemealtı/Merkez,4+1,-7.048458149779731
Döşemealtı/Merkez,5+1,2.636419374616807
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,-11.11111111111111
Döşemealtı/Merkez,6+2,0.0
Döşemealtı/Merkez,7+1,16.666666666666664
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Yeniköy,1+1,-0.24846229566959102
Döşemealtı/Yeniköy,2+0,0.0
Döşemealtı/Yeniköy,2+1,1.2887874387165368
Döşemealtı/Yeniköy,3+1,-0.6851331578706019
Döşemealtı/Yeniköy,4+1,-3.0420711974110075
Döşemealtı/Yeniköy,5+1,22.105263157894736
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,0.0
Döşemealtı/Yeşilbayır,2+1,4.043545878693624
Döşemealtı/Yeşilbayır,3+1,6.666666666666667
Döşemealtı/Yeşilbayır,3.5+1,0.0
Döşemealtı/Yeşilbayır,4+1,-6.069846230270517
Döşemealtı/Yeşilbayır,5+1,0.0
Döşemealtı/Yeşilbayır,6+1,0.0
Döşemealtı/Yeşilbayır,7+1,0.0
Döşemealtı/Yeşilbayır,Stüdyo (1+0),0.0
Elmalı,2+1,-4.651162790697675
Elmalı,3+1,2.0905923344947683
Finike,1+1,-7.023233301064861
Finike,1.5+1,0.0
Finike,2+0,0.0
Finike,2+1,1.8639528655597204
Finike,3+1,-0.36761284318287407
Finike,3.5+1,0.0
Finike/Beldeler,1+1,7.193149381541386
Finike/Beldeler,2+1,0.7338026488485925
Finike/Beldeler,3+1,1.3227513227513228
Finike/Beldeler,4+1,0.0
Gazipaşa,1+1,4.715275600603005
Gazipaşa,2+1,2.640522170676435
Gazipaşa,3+1,-2.400689428759032
Gazipaşa,3+2,0.0
Gazipaşa,4+1,0.0
Gazipaşa/Köyler,2+1,0.0
Gazipaşa/Köyler,3+1,0.0
Kaş,1+1,0.9878704514192815
Kaş,2+1,2.738973818309605
Kaş,3+1,-1.733413030484161
Kaş,4+1,0.0
Kaş,5+1,0.0
Kaş,Stüdyo (1+0),0.0
Kaş/Kalkan,1+1,0.0
Kaş/Kalkan,2+1,0.23949238363732564
Kaş/Kalkan,2.5+1,0.0
Kaş/Kalkan,3+1,-8.112606107569299
Kaş/Kalkan,4+1,-5.562809731172526
Kaş/Kalkan,5+1,-12.366436203645513
Kaş/Kalkan,5+2,-27.142857142857142
