Location,Rooms,Monthly Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,2.194563699828339
Aksu,1.5+1,10.44776119402985
Aksu,2+1,-0.524947666079773
Aksu,2.5+1,0.0
Aksu,3+1,-12.003701265452419
Aksu,3+3,0.0
Aksu,4+1,10.510510510510516
Aksu,4+2,0.0
Aksu,5+1,55.017301038062286
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,0.6868586560741363
Aksu/Köyler,2+1,5.646942800788951
Aksu/Köyler,3+1,-6.845930232558146
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,11.137440758293844
Aksu/Köyler,4+2,43.75
Aksu/Köyler,5+1,0.0
Aksu/Köyler,6+2,-3.125
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Pınarlı,3+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,1+1,3.4482758620689653
Aksu/Çalkaya,2+1,-7.4074074074074066
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,1.6757299543376374
Alanya,1.5+1,0.0
Alanya,2+0,0.0
Alanya,2+1,-3.3262414763494474
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,-13.615449850390702
Alanya,3.5+1,-16.666666666666664
Alanya,4+1,-2.617329639614242
Alanya,4+2,-58.2089552238806
Alanya,4.5+2,0.0
Alanya,5+1,8.220443349753701
Alanya,6+1,-29.03225806451613
Alanya,Stüdyo (1+0),21.794871794871796
Alanya/Beldeler,1+1,0.8648222846537034
Alanya/Beldeler,1.5+1,0.0
Alanya/Beldeler,2+1,-3.7231452697309924
Alanya/Beldeler,2.5+1,70.0
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,16.36048478780103
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,7.683166506695911
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,20.000000000000007
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-3.048780487804878
Alanya/Demirtaş,1+1,16.27906976744186
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,14.130434782608692
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,-54.05714285714286
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-3.7037037037037033
Alanya/İncekum (Yeşilköy),3+1,16.171617161716167
Alanya/İncekum (Yeşilköy),4+1,-34.92063492063492
