Location,Rooms,Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,1.2655338349321064
Aksu,1.5+1,-5.128205128205128
Aksu,2+0,0.0
Aksu,2+1,0.7440314893631428
Aksu,2.5+1,0.0
Aksu,3+1,0.10888902137517403
Aksu,4+1,1.6574585635359236
Aksu,4+2,0.0
Aksu,5+1,55.017301038062286
Aksu,Stüdyo (1+0),26.666666666666668
Aksu/Köyler,1+1,-3.895004233700254
Aksu/Köyler,2+1,9.648424166571845
Aksu/Köyler,3+1,-3.741119005328592
Aksu/Köyler,3.5+1,24.285714285714285
Aksu/Köyler,4+1,-10.064239828693784
Aksu/Köyler,4+2,43.75
Aksu/Köyler,6+2,-3.125
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,-8.333333333333332
Aksu/Pınarlı,3+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,1+1,-25.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-3.0297237658313327
Alanya,2+0,0.0
Alanya,2+1,2.5439667472969423
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,5.627175905141287
Alanya,3.5+1,0.0
Alanya,4+1,-10.841359976998271
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,-5.4498548855208035
Alanya,6+1,0.0
Alanya,6+2,0.0
Alanya,Stüdyo (1+0),2.721088435374155
Alanya/Beldeler,1+1,4.649210977834404
Alanya/Beldeler,1.5+1,0.0
Alanya/Beldeler,2+1,0.17625997190854698
Alanya/Beldeler,2.5+1,-2.3728813559322033
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,-0.6640673016149784
Alanya/Beldeler,3+2,7.999999999999992
Alanya/Beldeler,3.5+1,7.142857142857142
Alanya/Beldeler,4+1,-1.6694490818030137
Alanya/Beldeler,4+2,17.647058823529413
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-6.050955414012739
Alanya/Demirtaş,1+1,0.0
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,6.25
Alanya/Köyler,3+1,29.838709677419356
Alanya/Köyler,4+1,0.0
