Monthly Inflation(%),Date
5.3251017822975815,4-3
5.950576701953419,4-4
4.712670690551879,4-5
4.745974213381418,4-6
10.749606366880549,4-7
4.6525748456913805,4-8
8.70027383986043,4-9
5.561649922920777,4-10
3.7937405101172024,4-11
6.110972478392638,4-12
5.535670360160142,4-13
5.833884146254951,4-14
5.45486780700937,4-15
5.091216975530298,4-16
4.645550855784052,4-17
4.3678091121246805,4-18
3.5575585789316704,4-19
3.5778411746037855,4-20
4.7229654402339545,4-21
4.816095677562657,4-22
4.6406378980955845,4-23
4.629182579013041,4-24
5.091268559172514,4-25
4.4386020931306565,4-26
5.346346519775046,4-27
5.671772446712285,4-28
3.175575509328796,4-29
3.7888625897044217,4-30
5.671772446712285,4-28
3.175575509328796,4-29
3.7888625897044217,4-30
4.74958692644882,5-1
4.192125262821921,5-2
4.041163776539212,5-3
4.010912815245932,5-4
3.8971723596365506,5-5
2.828870239081757,5-6
4.794017928000616,5-7
3.917471004271434,5-8
6.287376852830824,5-9
