Weekly Inflation(%),Date
1.168718509477232,3-10
2.3038817193285888,3-11
0.979254591291639,3-12
1.9337172015933468,3-13
0.3609115862713785,3-14
-0.1941065273177081,3-15
1.2990367257685695,3-16
3.247047789656157,3-17
1.7631937405186977,3-18
4.563100457899492,3-19
2.530919368924106,3-20
3.1419913801519086,3-21
2.5906049810814062,3-22
2.1571575279781414,3-23
1.6290644078331342,3-24
0.9226927662513728,3-25
0.8837542387779831,3-26
1.0135082804993871,3-27
1.475544419192698,3-28
1.4935622170863796,3-29
1.6779049299577036,3-30
