Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,15728.57,,0.0
2026-03-08,15953.33,1.43,1.02
2026-03-09,16031.11,0.49,1.2
2026-03-11,15675.56,-2.22,-1.83
2026-03-12,15693.48,0.11,1.39
2026-03-13,15951.16,1.64,0.9
2026-03-14,15814.63,-0.86,-0.36
2026-03-15,15753.66,-0.39,-0.59
2026-03-16,15935.0,1.15,1.22
2026-03-17,16259.52,2.04,2.15
2026-03-18,16176.92,-0.51,-1.01
2026-03-19,16240.54,0.39,0.15
2026-03-20,16064.86,-1.08,-1.09
2026-03-21,15843.59,-1.38,-0.34
2026-03-22,15802.78,-0.26,-0.68
2026-03-23,15859.52,0.36,1.0
2026-03-24,15944.19,0.53,0.76
2026-03-25,15902.38,-0.26,-0.57
2026-03-26,15676.19,-1.42,-1.17
2026-03-27,15817.5,0.9,1.26
2026-03-28,15953.85,0.86,0.37
2026-03-29,15821.95,-0.83,-0.97
2026-03-30,16120.51,1.89,1.89
2026-04-01,16240.0,0.74,-0.99
2026-04-02,15585.71,-4.03,-0.91
2026-04-03,15540.54,-0.29,-1.02
2026-04-05,15700.0,1.03,1.64
2026-04-06,15602.7,-0.62,-0.84
2026-04-07,15720.51,0.76,0.8
2026-04-08,15587.8,-0.84,-0.69
2026-04-09,15707.69,0.77,-0.84
2026-04-10,15435.71,-1.73,-0.31
2026-04-11,15411.9,-0.15,0.53
2026-04-12,15500.0,0.57,0.81
2026-04-13,15378.05,-0.79,-0.96
2026-04-14,15543.9,1.08,0.66
2026-04-15,15571.43,0.18,0.17
2026-04-16,15500.0,-0.46,-0.56
2026-04-17,15804.88,1.97,2.37
2026-04-18,15823.75,0.12,0.34
2026-04-19,15650.0,-1.1,-0.45
2026-04-20,15567.05,-0.53,-1.22
2026-04-21,15638.37,0.46,0.59
2026-04-22,15605.95,-0.21,1.1
2026-04-23,15796.43,1.22,1.73
2026-04-24,15598.89,-1.25,-1.87
2026-04-25,15591.86,-0.05,-0.88
2026-04-26,15690.7,0.63,0.68
2026-04-27,15620.93,-0.44,-0.45
2026-04-28,15788.64,1.07,0.77
2026-04-29,15615.91,-1.09,-0.83
2026-04-30,15804.55,1.21,0.84
2026-05-01,15831.11,0.17,-0.07
2026-05-02,16145.65,1.99,0.03
2026-05-03,15837.78,-1.91,-1.65
2026-05-04,15804.0,-0.21,-0.69
2026-05-05,15695.74,-0.68,-0.27
2026-05-06,15840.82,0.92,0.93
2026-05-07,15868.75,0.18,-0.09
2026-05-08,15891.84,0.15,-0.02
2026-05-09,15894.0,0.01,0.51
2026-05-10,15497.87,-2.49,-1.09
2026-05-11,15482.61,-0.1,-0.05
2026-05-12,15648.89,1.07,0.76
2026-05-13,15709.09,0.38,0.28
2026-05-16,15342.5,-2.33,-1.63
2026-05-17,15443.9,0.66,0.61
2026-05-18,15463.95,0.13,-0.1
2026-05-19,15815.85,2.28,1.69
2026-05-20,15678.21,-0.87,-0.13
2026-05-21,16255.56,3.68,2.84
2026-05-22,16088.89,-1.03,-0.92
2026-05-23,16420.0,2.06,2.16
2026-05-24,16382.35,-0.23,0.77
2026-05-25,16235.29,-0.9,-0.92
2026-05-26,15965.79,-1.66,-2.71
