Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,15286.42,,0.0
2026-03-08,15309.65,0.15,0.03
2026-03-09,15331.16,0.14,0.19
2026-03-11,15505.64,1.14,0.9
2026-03-12,15537.08,0.2,-0.01
2026-03-13,15566.75,0.19,0.45
2026-03-14,15781.36,1.38,1.29
2026-03-15,15736.53,-0.28,-0.34
2026-03-16,15871.1,0.86,0.79
2026-03-17,15908.94,0.24,0.43
2026-03-18,15910.16,0.01,0.21
2026-03-19,15919.09,0.06,-0.22
2026-03-20,15970.91,0.33,-0.01
2026-03-21,15939.97,-0.19,-0.13
2026-03-22,15755.77,-1.16,-1.3
2026-03-23,15878.97,0.78,0.91
2026-03-24,15878.86,-0.0,-0.18
2026-03-25,15855.53,-0.15,-0.06
2026-03-26,15903.16,0.3,0.27
2026-03-27,15822.48,-0.51,-0.36
2026-03-28,15673.95,-0.94,-0.31
2026-03-29,15588.42,-0.55,-0.59
2026-03-30,15631.78,0.28,0.19
2026-04-01,15739.22,0.69,0.64
2026-04-02,15756.84,0.11,0.29
2026-04-03,15612.65,-0.92,-1.1
2026-04-05,15688.31,0.48,0.83
2026-04-06,15779.97,0.58,0.63
2026-04-07,15800.63,0.13,0.16
2026-04-08,15781.17,-0.12,-0.32
2026-04-09,15828.56,0.3,0.37
2026-04-10,15886.71,0.37,0.23
2026-04-11,16024.92,0.87,0.99
2026-04-12,16020.73,-0.03,4.83
2026-04-13,16018.17,-0.02,-0.14
2026-04-14,16013.09,-0.03,0.68
2026-04-15,15972.62,-0.25,0.11
2026-04-16,15920.48,-0.33,-0.5
2026-04-17,15944.72,0.15,0.39
2026-04-18,15924.62,-0.13,-0.19
2026-04-19,16017.27,0.58,0.42
2026-04-20,16013.28,-0.02,-0.12
2026-04-21,16083.2,0.44,0.59
2026-04-22,15997.5,-0.53,-0.63
2026-04-23,15973.42,-0.15,-0.08
2026-04-24,15952.53,-0.13,0.05
2026-04-25,15996.03,0.27,0.43
2026-04-26,15934.41,-0.39,-0.56
2026-04-27,15875.51,-0.37,-0.23
2026-04-28,15856.81,-0.12,-0.19
2026-04-29,15836.43,-0.13,0.05
2026-04-30,15882.58,0.29,0.16
2026-05-01,15877.34,-0.03,-0.26
2026-05-02,15976.82,0.63,0.56
2026-05-03,16046.76,0.44,0.73
2026-05-04,15855.53,-1.19,-1.05
2026-05-05,16093.1,1.5,1.31
2026-05-06,16014.96,-0.49,-0.39
2026-05-07,15992.05,-0.14,-0.24
2026-05-08,16159.32,1.05,0.79
2026-05-09,15937.48,-1.37,-1.19
2026-05-10,15919.86,-0.11,-0.13
2026-05-11,16025.68,0.66,0.58
2026-05-12,16126.05,0.63,0.22
2026-05-13,16037.35,-0.55,-0.48
2026-05-16,16548.94,3.19,2.64
2026-05-17,16401.92,-0.89,-0.85
2026-05-18,16416.31,0.09,0.07
2026-05-19,16305.93,-0.67,-0.46
2026-05-20,16223.35,-0.51,-0.31
2026-05-21,16073.21,-0.93,-1.01
2026-05-22,16116.03,0.27,0.62
2026-05-23,16070.53,-0.28,-0.44
2026-05-24,16167.37,0.6,0.75
2026-05-25,16188.81,0.13,-0.07
2026-05-26,16324.04,0.84,5.96
