Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,16436.53,,0.0
2026-03-08,16497.52,0.37,0.19
2026-03-09,16510.48,0.08,0.04
2026-03-11,16469.1,-0.25,0.26
2026-03-12,16343.09,-0.77,-0.37
2026-03-13,16385.33,0.26,0.18
2026-03-14,16424.22,0.24,0.1
2026-03-15,16397.24,-0.16,-0.09
2026-03-16,16391.69,-0.03,-0.06
2026-03-17,16430.0,0.23,0.34
2026-03-18,16441.6,0.07,0.26
2026-03-19,16483.8,0.26,0.25
2026-03-20,16545.85,0.38,-0.03
2026-03-21,16563.63,0.11,0.08
2026-03-22,16525.15,-0.23,-0.2
2026-03-23,16479.47,-0.28,-0.4
2026-03-24,16499.28,0.12,-0.09
2026-03-25,16497.31,-0.01,-0.1
2026-03-26,16522.27,0.15,0.28
2026-03-27,16498.42,-0.14,-0.17
2026-03-28,16438.23,-0.36,-0.17
2026-03-29,16355.63,-0.5,-0.67
2026-03-30,16399.59,0.27,0.1
2026-04-01,16448.88,0.3,0.38
2026-04-02,16546.2,0.59,0.47
2026-04-03,16504.76,-0.25,0.17
2026-04-05,16584.93,0.49,0.32
2026-04-06,16490.57,-0.57,-0.62
2026-04-07,16538.26,0.29,0.29
2026-04-08,16483.1,-0.33,-0.26
2026-04-09,16476.31,-0.04,-0.24
2026-04-10,16485.23,0.05,0.13
2026-04-11,16564.27,0.48,0.2
2026-04-12,16591.05,0.16,-0.04
2026-04-13,16561.82,-0.18,-0.14
2026-04-14,16694.06,0.8,0.7
2026-04-15,16652.94,-0.25,-0.14
2026-04-16,16658.42,0.03,-0.31
2026-04-17,16575.96,-0.5,-0.21
2026-04-18,16593.43,0.11,-0.09
2026-04-19,16691.66,0.59,0.8
2026-04-20,16723.64,0.19,0.11
2026-04-21,16719.47,-0.02,-0.02
2026-04-22,16758.68,0.23,0.12
2026-04-23,16720.56,-0.23,-0.16
2026-04-24,16710.59,-0.06,0.01
2026-04-25,16813.85,0.62,0.54
2026-04-26,16789.3,-0.15,0.09
2026-04-27,16759.01,-0.18,-0.15
2026-04-28,16731.34,-0.17,-0.29
2026-04-29,16750.66,0.12,-0.02
2026-04-30,16737.93,-0.08,-0.11
2026-05-01,16716.34,-0.13,-0.09
2026-05-02,16695.23,-0.13,-0.24
2026-05-03,16730.87,0.21,0.43
2026-05-04,16724.97,-0.04,-0.19
2026-05-05,16708.54,-0.1,0.23
2026-05-06,16745.88,0.22,-0.09
2026-05-07,16692.42,-0.32,0.58
2026-05-08,16676.51,-0.1,0.06
2026-05-09,16716.34,0.24,0.33
2026-05-10,16757.53,0.25,0.35
2026-05-11,16900.79,0.85,0.24
2026-05-12,16852.68,-0.28,-0.16
2026-05-13,16842.1,-0.06,0.13
2026-05-16,16827.46,-0.09,-0.06
2026-05-17,16870.95,0.26,0.05
2026-05-18,16837.18,-0.2,-0.04
2026-05-19,16810.17,-0.16,0.14
2026-05-20,16814.75,0.03,0.02
2026-05-21,16801.39,-0.08,0.01
2026-05-22,16856.76,0.33,0.54
2026-05-23,16812.43,-0.26,-0.12
2026-05-24,16767.67,-0.27,-0.26
2026-05-25,16796.67,0.17,0.07
2026-05-26,16826.93,0.18,0.28
