Product Name,Rooms,Product Cost,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Aziziye / Dadaşkent,1+1,15750.0,04,0.0,-7.352941176470589,-5.688622754491018,4.651162790697675
Aziziye / Dadaşkent,2+0,20000.0,04,0.0,0.0,25.984251968503933,
Aziziye / Dadaşkent,2+1,19250.0,04,0.0,7.943925233644868,-4.545454545454551,8.146067415730338
Aziziye / Dadaşkent,3+1,17500.0,04,0.0,-16.666666666666664,-14.634146341463413,-14.634146341463413
Aziziye / Dadaşkent,Stüdyo (1+0),8500.0,04,0.0,0.0,0.0,0.0
Aziziye / Merkez,1+1,17544.326241134753,04,0.31515209863146554,0.2376306766910711,1.4541790069750382,5.671833352183948
Aziziye / Merkez,2+0,21125.0,04,-1.3913824057450577,-0.7827788649706515,3.893442622950826,2.690972222222217
Aziziye / Merkez,2+1,17496.268656716416,04,-0.8156554568792412,3.4233073779892784,3.384021100759653,3.180550682576945
Aziziye / Merkez,2.5+1,22000.0,04,0.0,0.0,0.0,
Aziziye / Merkez,3+0,21250.0,04,0.0,0.0,1.1904761904761905,
Aziziye / Merkez,3+1,15392.2,04,0.31204917425757606,-2.1865055136751543,-2.7544655677445236,-0.09431442301691027
Aziziye / Merkez,4+1,24250.0,04,-4.096045197740115,-10.185185185185185,-4.634831460674153,1.8669778296382764
Aziziye / Merkez,Stüdyo (1+0),17000.0,04,1.4925373134328357,0.0,0.0,0.0
Aşkale,2+1,10166.666666666666,04,0.0,-1.6129032258064633,-1.6129032258064633,5.172413793103449
Aşkale,3+1,11166.666666666666,04,-8.84353741496599,-8.84353741496599,31.37254901960784,8.064516129032246
Horasan,2+1,15000.0,04,0.0,3.4482758620689653,3.4482758620689653,3.4482758620689653
Horasan,3+1,15125.0,04,0.0,-3.2,-2.4193548387096775,21.0
Horasan / Bağbaşı,3+1,15857.142857142857,04,0.0,2.9684601113172526,-16.54135338345865,
Hınıs,2+1,15000.0,04,0.0,0.0,0.0,7.142857142857142
Hınıs,3+1,14000.0,04,0.0,0.0,0.0,0.0
Karaçoban / Göksu,2+1,30000.0,04,0.0,0.0,,
Narman,3+1,15000.0,04,0.0,0.0,0.0,
Oltu,1+1,19000.0,04,0.0,-1.2987012987012987,-1.2987012987012987,2.7027027027027026
Oltu,2+0,16000.0,04,0.0,0.0,,
Oltu,2+1,16000.0,04,0.0,,68.42105263157895,100.0
Oltu,3+1,14000.0,04,0.0,-9.67741935483871,,-3.4482758620689653
Oltu / Yağan,2+1,21000.0,04,0.0,0.0,,40.0
Palandöken,1+1,13125.0,04,0.0,-6.625166740773677,-6.625166740773677,8.921161825726141
Palandöken,2+1,14544.117647058823,04,0.6900452488687719,4.37226972989914,-0.713333593606213,-0.9481204513587549
Palandöken,3+1,16272.5,04,0.30680862986831453,3.01106390259203,2.7680476250887027,2.5154685566430386
Palandöken,3.5+1,8500.0,04,0.0,0.0,0.0,-63.04347826086957
Palandöken,4+1,22767.391304347828,04,0.8522316914632462,-0.527365569269861,3.5597745476119935,-1.2837198510725407
Palandöken,5+1,24166.666666666668,04,0.0,-7.936507936507932,89.54248366013073,89.54248366013073
Palandöken,6+1,30000.0,04,0.0,0.0,,
Palandöken / Köyler,4+1,27500.0,04,0.0,,0.0,0.0
Palandöken / Yenişehir,1+1,9000.0,04,-16.27906976744186,0.0,,
Palandöken / Yenişehir,2+1,13300.0,04,0.4676258992805722,-2.295684113865932,5.807478122513922,-3.983957219251339
Palandöken / Yenişehir,2.5+1,19500.0,04,0.0,,85.71428571428571,85.71428571428571
Palandöken / Yenişehir,3+1,14033.333333333334,04,1.5419071410112875,2.200516928700966,2.7339689999548105,6.344117361313523
Palandöken / Yenişehir,3.5+1,32000.0,04,0.0,0.0,,
Palandöken / Yenişehir,4+1,25333.333333333332,04,0.0,-0.4909983633387889,-4.3040293040293065,0.05265929436545072
Palandöken / Yıldızkent,1+1,20411.11111111111,04,-0.7827095563170153,-0.6189635145671302,-1.0541705140043118,0.12697350899033913
Palandöken / Yıldızkent,10+2,7000.0,04,0.0,0.0,0.0,
