District,Rooms,Median_Price_Today,inflation_1d_pct,inflation_7d_pct,inflation_15d_pct,inflation_30d_pct
İstanbulArnavutköy,1+1,20000.0,0.0,,,
İstanbulArnavutköy,2+1,23000.0,0.0,,,
İstanbulArnavutköy,2+2,27500.0,0.0,,,
İstanbulArnavutköy,3+1,30000.0,0.0,,,
İstanbulArnavutköy,3+2,30000.0,0.0,,,
İstanbulArnavutköy,3.5+1,42500.0,0.0,,,
İstanbulArnavutköy,4+1,50000.0,4.166666666666666,,,
İstanbulArnavutköy,4+2,45000.0,0.0,,,
İstanbulArnavutköy,5+1,60000.0,0.0,,,
İstanbulArnavutköy,5+2,107000.0,-14.399999999999999,,,
İstanbulArnavutköy,6+1,170000.0,0.0,,,
İstanbulArnavutköy,6+2,121500.0,-19.0,,,
İstanbulArnavutköy,7+3,90000.0,0.0,,,
İstanbulArnavutköy,8+3,200000.0,0.0,,,
İstanbulArnavutköy,9+1,85000.0,0.0,,,
İstanbulArnavutköy,Stüdyo (1+0),20000.0,0.0,,,
İstanbulAvcılar,1+1,28000.0,0.0,,,
İstanbulAvcılar,2+0,12600.0,0.0,,,
İstanbulAvcılar,2+1,32250.0,0.78125,,,
İstanbulAvcılar,2+2,50000.0,0.0,,,
İstanbulAvcılar,3+1,48500.0,1.0416666666666665,,,
İstanbulAvcılar,3+2,40000.0,-2.4390243902439024,,,
İstanbulAvcılar,3.5+1,85000.0,0.0,,,
İstanbulAvcılar,4+1,62750.0,2.0325203252032518,,,
İstanbulAvcılar,4+2,60000.0,9.090909090909092,,,
İstanbulAvcılar,5+1,37500.0,0.0,,,
İstanbulAvcılar,5+2,44000.0,0.0,,,
İstanbulAvcılar,5.5+1,110000.0,0.0,,,
İstanbulAvcılar,6+2,180000.0,0.0,,,
İstanbulAvcılar,Stüdyo (1+0),15250.0,0.0,,,
İstanbulBahçelievler,1+1,36250.0,-1.3605442176870748,,,
İstanbulBahçelievler,1.5+1,55000.0,0.0,,,
İstanbulBahçelievler,2+0,7000.0,0.0,,,
İstanbulBahçelievler,2+1,42000.0,-1.1764705882352942,,,
İstanbulBahçelievler,2+2,80000.0,0.0,,,
İstanbulBahçelievler,2.5+1,56500.0,-2.586206896551724,,,
İstanbulBahçelievler,3+0,10000.0,,,,
İstanbulBahçelievler,3+1,55000.0,0.0,,,
İstanbulBahçelievler,3+2,75000.0,-9.63855421686747,,,
İstanbulBahçelievler,3.5+1,102500.0,0.0,,,
İstanbulBahçelievler,4+1,105000.0,-4.545454545454546,,,
İstanbulBahçelievler,4+2,101500.0,0.0,,,
İstanbulBahçelievler,4+3,60000.0,0.0,,,
İstanbulBahçelievler,4.5+1,115000.0,0.0,,,
İstanbulBahçelievler,5+1,82500.0,0.0,,,
İstanbulBahçelievler,5+2,122500.0,2.083333333333333,,,
İstanbulBahçelievler,6+2,125000.0,0.0,,,
İstanbulBahçelievler,Stüdyo (1+0),26750.0,-4.464285714285714,,,
İstanbulBakırköy,1+1,46000.0,1.098901098901099,,,
İstanbulBakırköy,1.5+1,60000.0,0.0,,,
İstanbulBakırköy,10+1,300000.0,0.0,,,
İstanbulBakırköy,2+1,72500.0,0.6944444444444444,,,
İstanbulBakırköy,2.5+1,147500.0,-4.838709677419355,,,
İstanbulBakırköy,3+1,95000.0,0.0,,,
İstanbulBakırköy,3+2,140000.0,0.0,,,
İstanbulBakırköy,3.5+1,87500.0,0.0,,,
İstanbulBakırköy,4+1,130000.0,0.0,,,
İstanbulBakırköy,4+2,195000.0,0.0,,,
İstanbulBakırköy,4.5+1,187500.0,-8.536585365853659,,,
İstanbulBakırköy,4.5+2,210000.0,0.0,,,
İstanbulBakırköy,5+1,192500.0,-3.75,,,
İstanbulBakırköy,5+2,135000.0,0.0,,,
İstanbulBakırköy,5.5+1,480000.0,0.0,,,
İstanbulBakırköy,6+1,320000.0,0.0,,,
İstanbulBakırköy,6+2,260000.0,0.0,,,
İstanbulBakırköy,7+2,372500.0,-20.74468085106383,,,
İstanbulBakırköy,8+1,90000.0,0.0,,,
İstanbulBakırköy,8+2,290000.0,0.0,,,
İstanbulBakırköy,9+2,600000.0,0.0,,,
İstanbulBakırköy,Stüdyo (1+0),14250.0,0.0,,,
İstanbulBayrampaşa,1+1,25250.0,-0.9803921568627451,,,
İstanbulBayrampaşa,1.5+1,27000.0,,,,
İstanbulBayrampaşa,2+0,20000.0,0.0,,,
İstanbulBayrampaşa,2+1,33500.0,-1.4705882352941175,,,
İstanbulBayrampaşa,2+2,55000.0,0.0,,,
İstanbulBayrampaşa,3+1,56000.0,-1.7543859649122806,,,
İstanbulBayrampaşa,3+2,60000.0,0.0,,,
İstanbulBayrampaşa,4+1,67000.0,0.0,,,
İstanbulBayrampaşa,4+2,55000.0,0.0,,,
İstanbulBayrampaşa,4+3,10000.0,0.0,,,
İstanbulBayrampaşa,5+1,36000.0,0.0,,,
İstanbulBayrampaşa,5+2,56000.0,0.0,,,
İstanbulBayrampaşa,Stüdyo (1+0),27500.0,0.0,,,
İstanbulBağcılar,1+1,32000.0,0.0,,,
İstanbulBağcılar,1.5+1,18000.0,0.0,,,
İstanbulBağcılar,2+1,34000.0,1.4925373134328357,,,
İstanbulBağcılar,2+2,35000.0,0.0,,,
İstanbulBağcılar,2.5+1,39750.0,0.0,,,
İstanbulBağcılar,3+1,45000.0,-2.1739130434782608,,,
İstanbulBağcılar,3+2,50000.0,0.0,,,
İstanbulBağcılar,3.5+1,55000.0,0.0,,,
İstanbulBağcılar,4+1,70000.0,0.0,,,
İstanbulBağcılar,4+2,53000.0,0.0,,,
İstanbulBağcılar,4.5+1,82500.0,0.0,,,
İstanbulBağcılar,5+1,46000.0,0.0,,,
İstanbulBağcılar,6+1,6500.0,15.04424778761062,,,
İstanbulBağcılar,Stüdyo (1+0),24000.0,0.0,,,
İstanbulBaşakşehir,1+1,30000.0,0.0,,,
İstanbulBaşakşehir,1.5+1,50000.0,0.0,,,
İstanbulBaşakşehir,10+2,135000.0,,,,
İstanbulBaşakşehir,2+1,35000.0,0.0,,,
İstanbulBaşakşehir,2+2,16600.0,-0.5988023952095809,,,
İstanbulBaşakşehir,2.5+1,70000.0,-3.4482758620689653,,,
İstanbulBaşakşehir,3+1,50000.0,0.0,,,
İstanbulBaşakşehir,3+2,34000.0,-1.4492753623188406,,,
İstanbulBaşakşehir,3.5+1,100000.0,0.0,,,
İstanbulBaşakşehir,4+0,8000.0,0.0,,,
İstanbulBaşakşehir,4+1,80000.0,0.0,,,
İstanbulBaşakşehir,4+2,100000.0,-2.4390243902439024,,,
İstanbulBaşakşehir,4+3,140000.0,0.0,,,
İstanbulBaşakşehir,4.5+1,85000.0,0.0,,,
İstanbulBaşakşehir,5+1,115000.0,0.0,,,
İstanbulBaşakşehir,5+2,100000.0,-2.4390243902439024,,,
İstanbulBaşakşehir,5+3,115000.0,0.0,,,
İstanbulBaşakşehir,5.5+1,135000.0,0.0,,,
İstanbulBaşakşehir,6+1,155000.0,26.53061224489796,,,
İstanbulBaşakşehir,6+2,140000.0,0.0,,,
İstanbulBaşakşehir,6+3,110000.0,0.0,,,
İstanbulBaşakşehir,7+2,110000.0,-8.333333333333332,,,
İstanbulBaşakşehir,8+1,250000.0,0.0,,,
İstanbulBaşakşehir,8+3,370000.0,0.0,,,
İstanbulBaşakşehir,Stüdyo (1+0),25000.0,13.636363636363635,,,
İstanbulBeylikdüzü,1+1,27000.0,0.0,,,
İstanbulBeylikdüzü,1.5+1,20500.0,-2.380952380952381,,,
İstanbulBeylikdüzü,10 Üzeri,180000.0,0.0,,,
İstanbulBeylikdüzü,2+0,25000.0,0.0,,,
İstanbulBeylikdüzü,2+1,33500.0,0.7518796992481203,,,
İstanbulBeylikdüzü,2+2,42500.0,6.25,,,
İstanbulBeylikdüzü,2.5+1,40000.0,0.0,,,
İstanbulBeylikdüzü,3+1,45000.0,0.0,,,
İstanbulBeylikdüzü,3+2,45000.0,0.0,,,
İstanbulBeylikdüzü,3.5+1,52500.0,0.9615384615384616,,,
İstanbulBeylikdüzü,4+1,60000.0,0.0,,,
İstanbulBeylikdüzü,4+2,47750.0,0.0,,,
İstanbulBeylikdüzü,4.5+1,61000.0,0.0,,,
İstanbulBeylikdüzü,5+1,82500.0,17.857142857142858,,,
İstanbulBeylikdüzü,5+2,75000.0,3.4482758620689653,,,
İstanbulBeylikdüzü,6+1,90000.0,0.0,,,
İstanbulBeylikdüzü,6+2,138000.0,2.2222222222222223,,,
İstanbulBeylikdüzü,6+3,100000.0,0.0,,,
İstanbulBeylikdüzü,6.5+1,85000.0,0.0,,,
İstanbulBeylikdüzü,7+1,100000.0,0.0,,,
İstanbulBeylikdüzü,7+2,135000.0,0.0,,,
İstanbulBeylikdüzü,7+3,215000.0,0.0,,,
İstanbulBeylikdüzü,8+1,155000.0,0.0,,,
İstanbulBeylikdüzü,8+2,160000.0,0.0,,,
İstanbulBeylikdüzü,8+3,140000.0,,,,
İstanbulBeylikdüzü,Stüdyo (1+0),17000.0,0.0,,,
İstanbulBeyoğlu,1+1,40000.0,0.0,,,
İstanbulBeyoğlu,1.5+1,17000.0,-42.3728813559322,,,
İstanbulBeyoğlu,2+0,22000.0,0.0,,,
İstanbulBeyoğlu,2+1,36500.0,-3.9473684210526314,,,
İstanbulBeyoğlu,2+2,30000.0,0.0,,,
İstanbulBeyoğlu,2.5+1,55000.0,0.0,,,
İstanbulBeyoğlu,3+1,65000.0,0.0,,,
İstanbulBeyoğlu,3+2,61500.0,0.0,,,
İstanbulBeyoğlu,3.5+1,90000.0,0.0,,,
İstanbulBeyoğlu,4+1,97500.0,0.0,,,
İstanbulBeyoğlu,4+2,520000.0,0.0,,,
İstanbulBeyoğlu,4+3,20000.0,0.0,,,
İstanbulBeyoğlu,4.5+1,65000.0,0.0,,,
İstanbulBeyoğlu,5+1,167500.0,0.0,,,
İstanbulBeyoğlu,5+2,110000.0,0.0,,,
İstanbulBeyoğlu,Stüdyo (1+0),21500.0,7.5,,,
İstanbulBeşiktaş,1+1,45000.0,0.0,,,
İstanbulBeşiktaş,1.5+1,195000.0,34.48275862068966,,,
İstanbulBeşiktaş,10+1,340000.0,0.0,,,
İstanbulBeşiktaş,2+0,35500.0,0.0,,,
İstanbulBeşiktaş,2+1,60000.0,0.0,,,
İstanbulBeşiktaş,2+2,130000.0,0.0,,,
