product_name,price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
İstanbul / Arnavutköy - 1+1,22000.0,4,6.024096385542169,10.0,10.0,10.0
İstanbul / Arnavutköy - 1.5+1,25000.0,4,0.0,,,26.582278481012654
İstanbul / Arnavutköy - 2+0,15000.0,4,0.0,0.0,-6.25,0.0
İstanbul / Arnavutköy - 2+1,24500.0,4,0.0,3.1578947368421053,4.25531914893617,7.929515418502203
İstanbul / Arnavutköy - 2+2,35750.0,4,0.0,0.0,30.0,43.0
İstanbul / Arnavutköy - 3+1,30500.0,4,-0.8130081300813009,1.6666666666666667,1.6666666666666667,1.6666666666666667
İstanbul / Arnavutköy - 3+2,34000.0,4,0.0,13.333333333333334,13.333333333333334,13.333333333333334
İstanbul / Arnavutköy - 3.5+1,57500.0,4,-4.166666666666666,15.0,35.294117647058826,35.294117647058826
İstanbul / Arnavutköy - 4+1,49000.0,4,0.0,2.083333333333333,-6.666666666666667,-2.0
İstanbul / Arnavutköy - 4+2,42000.0,4,5.0,13.513513513513514,5.0,2.4390243902439024
İstanbul / Arnavutköy - 5+1,43750.0,4,0.0,-2.7777777777777777,-18.98148148148148,-27.083333333333332
İstanbul / Arnavutköy - 5+2,60000.0,4,0.0,-3.225806451612903,-3.225806451612903,-63.07692307692307
İstanbul / Arnavutköy - 6+1,177500.0,4,0.0,0.0,7.575757575757576,4.411764705882353
İstanbul / Arnavutköy - 6+2,93000.0,4,0.0,0.0,-8.374384236453201,-38.0
İstanbul / Arnavutköy - 7+3,90000.0,4,0.0,0.0,,0.0
İstanbul / Arnavutköy - 8+3,200000.0,4,0.0,0.0,0.0,0.0
İstanbul / Arnavutköy - 9+1,85000.0,4,0.0,0.0,0.0,0.0
İstanbul / Arnavutköy - Stüdyo (1+0),19000.0,4,-13.636363636363637,-9.523809523809524,-5.0,-5.0
İstanbul / Avcılar - 1+1,29000.0,4,1.7543859649122806,-3.330111003700123,-3.331722195369923,7.4074074074074066
İstanbul / Avcılar - 1.5+1,28000.0,4,0.0,0.0,0.0,
İstanbul / Avcılar - 2+1,36000.0,4,0.6993006993006993,0.0,2.857142857142857,12.5
İstanbul / Avcılar - 3+1,49000.0,4,2.083333333333333,2.083333333333333,-2.0,4.25531914893617
İstanbul / Avcılar - 3+2,42000.0,4,2.4390243902439024,5.0,5.0,-3.4482758620689653
İstanbul / Avcılar - 4+1,60000.0,4,0.0,-2.4390243902439024,-4.761904761904762,-4.761904761904762
İstanbul / Avcılar - 4+2,63000.0,4,0.0,5.0,5.0,5.0
İstanbul / Avcılar - 5+1,67500.0,4,0.0,0.0,92.85714285714286,68.75
İstanbul / Avcılar - 5+2,45000.0,4,0.0,0.0,2.272727272727273,4.651162790697675
