Date,Overall_Avg_Price,Normal_Inflation_%,Weighted_Inflation_%
2026-03-07,17264.11,,0.0
2026-03-08,17252.74,-0.07,-0.02
2026-03-09,17304.31,0.3,0.19
2026-03-11,17224.2,-0.46,-0.65
2026-03-12,17355.93,0.76,0.79
2026-03-13,17333.47,-0.13,-0.39
2026-03-14,17259.7,-0.43,-0.15
2026-03-15,17303.55,0.25,-0.01
2026-03-16,17213.44,-0.52,-0.37
2026-03-17,17270.31,0.33,0.29
2026-03-18,17273.55,0.02,0.12
2026-03-19,17197.12,-0.44,-0.46
2026-03-20,17189.62,-0.04,0.13
2026-03-21,17279.93,0.53,0.01
2026-03-22,17345.48,0.38,0.54
2026-03-23,17210.34,-0.78,-0.2
2026-03-24,17271.03,0.35,0.4
2026-03-25,17315.67,0.26,0.07
2026-03-26,17425.92,0.64,0.27
2026-03-27,17379.28,-0.27,0.02
2026-03-28,17381.98,0.02,-0.01
2026-03-29,17451.89,0.4,0.15
2026-03-30,17374.39,-0.44,-0.46
2026-04-01,17406.41,0.18,0.17
2026-04-02,17519.66,0.65,0.58
2026-04-03,17412.09,-0.61,-0.44
2026-04-05,17365.04,-0.27,-0.25
2026-04-06,17543.95,1.03,0.19
2026-04-07,17472.06,-0.41,-0.14
2026-04-08,17493.59,0.12,0.37
2026-04-09,17502.08,0.05,0.04
2026-04-10,17448.99,-0.3,-0.13
2026-04-11,17441.06,-0.05,0.36
2026-04-12,17474.41,0.19,0.23
2026-04-13,17440.74,-0.19,-0.19
2026-04-14,17435.06,-0.03,0.24
2026-04-15,17466.79,0.18,-0.22
2026-04-16,17444.75,-0.13,0.13
2026-04-17,17433.22,-0.07,-0.03
2026-04-18,17463.47,0.17,0.2
2026-04-19,17502.2,0.22,0.34
2026-04-20,17555.07,0.3,0.19
2026-04-21,17453.49,-0.58,-0.26
2026-04-22,17583.52,0.74,0.26
2026-04-23,17619.62,0.21,0.34
2026-04-24,17644.67,0.14,0.06
2026-04-25,17567.32,-0.44,-0.13
2026-04-26,17550.2,-0.1,-0.07
2026-04-27,17566.11,0.09,0.19
2026-04-28,17618.82,0.3,0.28
2026-04-29,17682.33,0.36,0.27
2026-04-30,17779.01,0.55,0.47
2026-05-01,17689.25,-0.5,-0.11
2026-05-02,17723.84,0.2,0.42
2026-05-03,17722.26,-0.01,-0.01
2026-05-04,17599.45,-0.69,-0.47
2026-05-05,17610.18,0.06,-0.24
2026-05-06,17643.02,0.19,0.44
2026-05-07,17747.28,0.59,0.14
2026-05-08,17788.61,0.23,0.38
2026-05-09,17840.61,0.29,0.16
2026-05-10,17849.24,0.05,0.23
2026-05-11,17841.83,-0.04,-0.12
2026-05-12,17976.33,0.75,0.83
2026-05-13,17967.08,-0.05,0.06
2026-05-16,17819.75,-0.82,-0.39
2026-05-17,17869.87,0.28,0.26
2026-05-18,17902.05,0.18,0.17
2026-05-19,18044.67,0.8,0.42
2026-05-20,18239.94,1.08,0.78
2026-05-21,18169.88,-0.38,0.26
2026-05-22,18206.98,0.2,0.71
2026-05-23,18213.52,0.04,-0.08
2026-05-24,18149.56,-0.35,-0.12
2026-05-25,18205.15,0.31,0.04
2026-05-26,18221.37,0.09,-0.05
