item_name,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akçadağ - 2+1,110000.0,malatya,04,0.0,0.0,-11.11111111111111,-12.871287128712872
Akçadağ - 3+1,100000.0,malatya,04,0.0,25.0,,
Akçadağ / Köyler - 3+1,100000.0,malatya,04,8.108108108108109,11.11111111111111,14.285714285714285,14.285714285714285
Arapgir - 3+1,300000.0,malatya,04,0.0,0.0,0.0,39.53488372093023
Battalgazi - 2+1,200000.0,malatya,04,,,,42.857142857142854
Battalgazi - 3+1,140000.0,malatya,04,0.0,12.0,7.6923076923076925,0.0
Battalgazi - 9+3,400000.0,malatya,04,0.0,,,
Battalgazi / Merkez - 1+1,190000.0,malatya,04,0.0,2.7027027027027026,4.10958904109589,4.10958904109589
Battalgazi / Merkez - 1.5+1,197500.0,malatya,04,0.0,,0.0,0.0
Battalgazi / Merkez - 2+0,200000.0,malatya,04,6.666666666666667,0.0,5.263157894736842,11.11111111111111
Battalgazi / Merkez - 2+1,160000.0,malatya,04,0.0,-5.88235294117647,0.0,4.918032786885246
Battalgazi / Merkez - 2.5+1,120000.0,malatya,04,0.0,,-32.3943661971831,-31.428571428571427
Battalgazi / Merkez - 3+1,167500.0,malatya,04,0.0,4.6875,1.5151515151515151,4.6875
Battalgazi / Merkez - 3.5+1,155000.0,malatya,04,0.0,0.0,-18.421052631578945,-18.421052631578945
Battalgazi / Merkez - 4+1,230000.0,malatya,04,-3.1578947368421053,-6.122448979591836,0.0,9.523809523809524
Battalgazi / Merkez - 4.5+1,280000.0,malatya,04,0.0,0.0,0.0,0.0
Battalgazi / Merkez - 5+1,217500.0,malatya,04,0.0,-20.18348623853211,-21.62162162162162,-21.62162162162162
Battalgazi / Merkez - Stüdyo (1+0),140000.0,malatya,04,0.0,0.0,-12.5,-12.5
Darende - 2+1,190000.0,malatya,04,0.0,11.76470588235294,11.76470588235294,
Darende - 3+1,200000.0,malatya,04,-11.11111111111111,0.0,14.285714285714285,14.285714285714285
Doğanşehir - 2+1,200000.0,malatya,04,0.0,0.0,,0.0
Doğanşehir - 3+1,105000.0,malatya,04,0.0,-12.5,-12.5,
Doğanşehir / Köyler - 3+1,120000.0,malatya,04,0.0,,,
Hekimhan - 2+1,130000.0,malatya,04,0.0,0.0,0.0,
Kale / Köyler - 2+1,80000.0,malatya,04,0.0,0.0,-5.88235294117647,-5.88235294117647
Pütürge - 2+1,130000.0,malatya,04,0.0,,0.0,0.0
Yeşilyurt - 2+1,180000.0,malatya,04,0.0,0.0,1.4084507042253522,0.0
Yeşilyurt - 3+1,180000.0,malatya,04,0.0,-2.7027027027027026,-5.263157894736842,-5.263157894736842
Yeşilyurt - 3.5+1,180000.0,malatya,04,0.0,0.0,0.0,0.0
Yeşilyurt - 4+1,220000.0,malatya,04,0.0,-6.382978723404255,-8.333333333333332,-8.333333333333332
